name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1963 British Grand Prix 🇬🇧,5,17,78,Lotus-Climax 🇬🇧,1963-07-20,8,,1963,Jim Clark 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,18,82,Lotus-Climax 🇬🇧,1963-09-08,10,,1963,Jim Clark 🇬🇧
1963 South African Grand Prix 🇿🇦,10,0,0,Lotus-Climax 🇬🇧,1963-12-28,W,,1963,Jim Clark 🇬🇧
1964 Austrian Grand Prix 🇦🇹,7,18,95,Ferrari 🇮🇹,1964-08-23,8,,1964,Lorenzo Bandini 🇮🇹
1964 British Grand Prix 🇬🇧,5,12,17,Lotus-Climax 🇬🇧,1964-07-11,R,,1964,Jim Clark 🇬🇧
1964 Dutch Grand Prix 🇳🇱,2,14,57,Lotus-Climax 🇬🇧,1964-05-24,12,,1964,Jim Clark 🇬🇧
1964 French Grand Prix 🇫🇷,4,13,56,Brabham-Climax 🇬🇧,1964-06-28,8,,1964,Dan Gurney 🇺🇸
1964 German Grand Prix 🇩🇪,6,13,0,Ferrari 🇮🇹,1964-08-02,R,,1964,John Surtees 🇬🇧
1964 Italian Grand Prix 🇮🇹,8,17,5,Ferrari 🇮🇹,1964-09-06,R,,1964,John Surtees 🇬🇧
1964 Mexican Grand Prix 🇲🇽,10,17,12,Brabham-Climax 🇬🇧,1964-10-25,R,,1964,Dan Gurney 🇺🇸
1964 Monaco Grand Prix 🇲🇨,1,15,96,BRM 🇬🇧,1964-05-10,6,,1964,Graham Hill 🇬🇧
1964 United States Grand Prix 🇺🇸,9,15,101,BRM 🇬🇧,1964-10-04,8,,1964,Graham Hill 🇬🇧
1965 Monaco Grand Prix 🇲🇨,2,12,12,BRM 🇬🇧,1965-05-30,R,,1965,Graham Hill 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,17,55,BRM 🇬🇧,1971-09-05,4,+0.18,1971,Peter Gethin 🇬🇧
1971 United States Grand Prix 🇺🇸,11,14,54,Tyrrell 🇬🇧,1971-10-03,15,,1971,François Cevert 🇫🇷
1972 Austrian Grand Prix 🇦🇹,9,12,54,Team Lotus 🇬🇧,1972-08-13,4,+44.76,1972,Emerson Fittipaldi 🇧🇷
1972 Belgian Grand Prix 🇧🇪,5,8,85,Team Lotus 🇬🇧,1972-06-04,4,+1:12.0,1972,Emerson Fittipaldi 🇧🇷
1972 British Grand Prix 🇬🇧,7,7,31,Team Lotus 🇬🇧,1972-07-15,R,,1972,Emerson Fittipaldi 🇧🇷
1972 French Grand Prix 🇫🇷,6,10,38,Tyrrell 🇬🇧,1972-07-02,6,+1:36.1,1972,Jackie Stewart 🇬🇧
1972 German Grand Prix 🇩🇪,8,16,8,Ferrari 🇮🇹,1972-07-30,R,,1972,Jacky Ickx 🇧🇪
