name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1991 Australian Grand Prix 🇦🇺,11,25,1991-11-03T00:00:00.000Z,19,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,16,21,13,,0.0
1991 Belgian Grand Prix 🇧🇪,7,24,1991-08-25T00:00:00.000Z,R,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,11,21,25,,0.0
1991 Brazilian Grand Prix 🇧🇷,F,22,1991-03-24T00:00:00.000Z,9,1991,Julian Bailey 🇬🇧,Team Lotus 🇬🇧,2,0,68,,0.0
1991 British Grand Prix 🇬🇧,14,25,1991-07-14T00:00:00.000Z,12,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,8,24,57,,0.0
1991 Canadian Grand Prix 🇨🇦,F,24,1991-06-02T00:00:00.000Z,R,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,5,0,21,,0.0
1991 French Grand Prix 🇫🇷,10,0,1991-07-07T00:00:00.000Z,F,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,7,20,0,,0.0
1991 German Grand Prix 🇩🇪,F,23,1991-07-28T00:00:00.000Z,R,1991,Michael Bartels 🇩🇪,Team Lotus 🇬🇧,9,0,19,,0.0
1991 Hungarian Grand Prix 🇭🇺,F,26,1991-08-11T00:00:00.000Z,14,1991,Michael Bartels 🇩🇪,Team Lotus 🇬🇧,10,0,74,,0.0
1991 Italian Grand Prix 🇮🇹,F,25,1991-09-08T00:00:00.000Z,14,1991,Michael Bartels 🇩🇪,Team Lotus 🇬🇧,12,0,49,,0.0
1991 Japanese Grand Prix 🇯🇵,R,21,1991-10-20T00:00:00.000Z,R,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,15,23,4,,0.0
1991 Mexican Grand Prix 🇲🇽,10,24,1991-06-16T00:00:00.000Z,9,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,6,25,65,,0.0
1991 Monaco Grand Prix 🇲🇨,F,25,1991-05-12T00:00:00.000Z,R,1991,Julian Bailey 🇬🇧,Team Lotus 🇬🇧,4,0,64,,0.0
1991 Portuguese Grand Prix 🇵🇹,R,24,1991-09-22T00:00:00.000Z,14,1991,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,13,26,68,,0.0
1991 San Marino Grand Prix 🇮🇹,6,25,1991-04-28T00:00:00.000Z,5,1991,Julian Bailey 🇬🇧,Team Lotus 🇬🇧,3,26,58,,2.0
1991 Spanish Grand Prix 🇪🇸,F,21,1991-09-29T00:00:00.000Z,R,1991,Michael Bartels 🇩🇪,Team Lotus 🇬🇧,14,0,5,,0.0
1991 United States Grand Prix 🇺🇸,F,13,1991-03-10T00:00:00.000Z,13,1991,Julian Bailey 🇬🇧,Team Lotus 🇬🇧,1,0,59,,0.0
1992 Australian Grand Prix 🇦🇺,13,10,1992-11-08T00:00:00.000Z,7,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,16,12,80,,0.0
1992 Belgian Grand Prix 🇧🇪,13,8,1992-08-30T00:00:00.000Z,6,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,12,10,44,+1:10.030,1.0
1992 Brazilian Grand Prix 🇧🇷,R,24,1992-04-05T00:00:00.000Z,10,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,3,26,67,,0.0
1992 British Grand Prix 🇬🇧,R,9,1992-07-12T00:00:00.000Z,6,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,9,7,59,+1:20.138,1.0
1992 Canadian Grand Prix 🇨🇦,R,10,1992-06-14T00:00:00.000Z,R,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,7,6,35,,0.0
1992 French Grand Prix 🇫🇷,6,11,1992-07-05T00:00:00.000Z,4,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,8,12,68,,3.0
1992 German Grand Prix 🇩🇪,R,13,1992-07-26T00:00:00.000Z,R,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,10,11,21,,0.0
1992 Hungarian Grand Prix 🇭🇺,R,16,1992-08-16T00:00:00.000Z,4,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,11,13,77,+54.313,3.0
1992 Italian Grand Prix 🇮🇹,R,11,1992-09-13T00:00:00.000Z,R,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,13,13,5,,0.0
1992 Japanese Grand Prix 🇯🇵,R,7,1992-10-25T00:00:00.000Z,R,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,15,6,44,,0.0
1992 Mexican Grand Prix 🇲🇽,7,18,1992-03-22T00:00:00.000Z,6,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,2,12,68,,1.0
1992 Monaco Grand Prix 🇲🇨,R,14,1992-05-31T00:00:00.000Z,R,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,6,9,30,,0.0
1992 Portuguese Grand Prix 🇵🇹,R,7,1992-09-27T00:00:00.000Z,5,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,14,9,70,,2.0
1992 San Marino Grand Prix 🇮🇹,R,0,1992-05-17T00:00:00.000Z,F,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,5,26,0,,0.0
1992 South African Grand Prix 🇿🇦,6,21,1992-03-01T00:00:00.000Z,9,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,1,11,70,,0.0
1992 Spanish Grand Prix 🇪🇸,R,21,1992-05-03T00:00:00.000Z,R,1992,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,4,26,56,,0.0
1993 Australian Grand Prix 🇦🇺,1,5,1993-11-07T00:00:00.000Z,R,1993,Ayrton Senna 🇧🇷,McLaren 🇬🇧,16,1,28,,0.0
1993 Japanese Grand Prix 🇯🇵,1,3,1993-10-24T00:00:00.000Z,3,1993,Ayrton Senna 🇧🇷,McLaren 🇬🇧,15,2,53,+26.129,4.0
1993 Portuguese Grand Prix 🇵🇹,R,3,1993-09-26T00:00:00.000Z,R,1993,Ayrton Senna 🇧🇷,McLaren 🇬🇧,14,4,32,,0.0
1994 Australian Grand Prix 🇦🇺,3,4,1994-11-13T00:00:00.000Z,12,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,16,9,76,,0.0
1994 Belgian Grand Prix 🇧🇪,R,8,1994-08-28T00:00:00.000Z,2,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,11,13,44,+51.381,6.0
1994 Brazilian Grand Prix 🇧🇷,R,8,1994-03-27T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,1,18,13,,0.0
1994 British Grand Prix 🇬🇧,R,5,1994-07-10T00:00:00.000Z,3,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,8,9,60,+1:40.659,4.0
1994 Canadian Grand Prix 🇨🇦,R,7,1994-06-12T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,6,12,61,,0.0
1994 European Grand Prix 🇪🇸,R,9,1994-10-16T00:00:00.000Z,3,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,14,15,69,+1:09.648,4.0
1994 French Grand Prix 🇫🇷,R,9,1994-07-03T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,7,12,48,,0.0
1994 German Grand Prix 🇩🇪,R,8,1994-07-31T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,9,13,0,,0.0
1994 Italian Grand Prix 🇮🇹,5,7,1994-09-11T00:00:00.000Z,3,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,12,15,53,+25.64,4.0
1994 Japanese Grand Prix 🇯🇵,R,8,1994-11-06T00:00:00.000Z,7,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,15,9,50,+2:02.985,0.0
1994 Monaco Grand Prix 🇲🇨,2,2,1994-05-15T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,4,8,0,,0.0
1994 Pacific Grand Prix 🇯🇵,R,4,1994-04-17T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,2,6,19,,0.0
1994 Portuguese Grand Prix 🇵🇹,6,4,1994-09-25T00:00:00.000Z,3,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,13,7,71,+20.193,4.0
1994 San Marino Grand Prix 🇮🇹,8,8,1994-05-01T00:00:00.000Z,3,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,3,13,58,+70.679,4.0
1994 Spanish Grand Prix 🇪🇸,11,3,1994-05-29T00:00:00.000Z,R,1994,Martin Brundle 🇬🇧,McLaren 🇬🇧,5,8,48,,0.0
1995 Argentine Grand Prix 🇦🇷,R,5,1995-04-09T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,2,17,0,,0.0
1995 Australian Grand Prix 🇦🇺,4,24,1995-11-12T00:00:00.000Z,W,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,17,10,0,,0.0
1995 Belgian Grand Prix 🇧🇪,5,3,1995-08-27T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,11,6,1,,0.0
1995 Brazilian Grand Prix 🇧🇷,6,7,1995-03-26T00:00:00.000Z,4,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,1,9,70,,3.0
1995 British Grand Prix 🇬🇧,5,8,1995-07-16T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,8,10,20,,0.0
1995 Canadian Grand Prix 🇨🇦,R,7,1995-06-11T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,6,10,0,,0.0
1995 European Grand Prix 🇩🇪,R,9,1995-10-01T00:00:00.000Z,8,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,14,10,65,,0.0
1995 French Grand Prix 🇫🇷,11,8,1995-07-02T00:00:00.000Z,7,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,7,13,71,,0.0
1995 German Grand Prix 🇩🇪,R,7,1995-07-30T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,9,8,33,,0.0
1995 Hungarian Grand Prix 🇭🇺,R,5,1995-08-13T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,10,13,3,,0.0
1995 Italian Grand Prix 🇮🇹,4,7,1995-09-10T00:00:00.000Z,2,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,12,9,53,+17.779,6.0
1995 Japanese Grand Prix 🇯🇵,7,3,1995-10-29T00:00:00.000Z,2,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,16,23,53,+19.337,6.0
1995 Monaco Grand Prix 🇲🇨,5,6,1995-05-28T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,5,10,8,,0.0
1995 Portuguese Grand Prix 🇵🇹,9,13,1995-09-24T00:00:00.000Z,R,1995,Mark Blundell 🇬🇧,McLaren 🇬🇧,13,12,44,,0.0
1995 San Marino Grand Prix 🇮🇹,10,6,1995-04-30T00:00:00.000Z,5,1995,Nigel Mansell 🇬🇧,McLaren 🇬🇧,3,9,62,,2.0
1995 Spanish Grand Prix 🇪🇸,R,9,1995-05-14T00:00:00.000Z,R,1995,Nigel Mansell 🇬🇧,McLaren 🇬🇧,4,10,53,,0.0
1996 Argentine Grand Prix 🇦🇷,7,8,1996-04-07T00:00:00.000Z,R,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,3,9,19,,0.0
1996 Australian Grand Prix 🇦🇺,R,5,1996-03-10T00:00:00.000Z,5,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,1,13,58,+1:35.071,2.0
1996 Belgian Grand Prix 🇧🇪,R,6,1996-08-25T00:00:00.000Z,3,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,13,4,44,+15.710,4.0
1996 Brazilian Grand Prix 🇧🇷,R,7,1996-03-31T00:00:00.000Z,4,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,2,14,70,,3.0
1996 British Grand Prix 🇬🇧,5,4,1996-07-14T00:00:00.000Z,3,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,10,9,61,+50.830,4.0
1996 Canadian Grand Prix 🇨🇦,4,6,1996-06-16T00:00:00.000Z,5,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,8,10,68,,2.0
1996 European Grand Prix 🇩🇪,3,9,1996-04-28T00:00:00.000Z,8,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,4,6,67,+1:18.438,0.0
1996 French Grand Prix 🇫🇷,6,5,1996-06-30T00:00:00.000Z,5,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,9,7,72,+62.774,2.0
1996 German Grand Prix 🇩🇪,5,4,1996-07-28T00:00:00.000Z,R,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,11,7,13,,0.0
1996 Hungarian Grand Prix 🇭🇺,R,7,1996-08-11T00:00:00.000Z,4,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,12,9,76,,3.0
1996 Italian Grand Prix 🇮🇹,R,4,1996-09-08T00:00:00.000Z,3,1996,David Coulthard 🇬🇧,McLaren 🇬🇧,14,5,53,+66.635,4.0
