name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1952 Italian Grand Prix 🇮🇹,1,0,1952-09-07,F,1952,Alberto Ascari 🇮🇹,Ferrari 🇮🇹,8,1,0,,0.0
1952 Italian Grand Prix 🇮🇹,3,0,1952-09-07,F,1952,Luigi Villoresi 🇮🇹,Ferrari 🇮🇹,8,2,0,,0.0
1952 Italian Grand Prix 🇮🇹,4,0,1952-09-07,F,1952,Nino Farina 🇮🇹,Ferrari 🇮🇹,8,3,0,,0.0
1952 Italian Grand Prix 🇮🇹,6,0,1952-09-07,F,1952,André Simon 🇫🇷,Ferrari 🇮🇹,8,8,0,,0.0
1952 Italian Grand Prix 🇮🇹,7,0,1952-09-07,F,1952,Piero Taruffi 🇮🇹,Ferrari 🇮🇹,8,6,0,,0.0
1952 Italian Grand Prix 🇮🇹,10,0,1952-09-07,F,1952,Louis Rosier 🇫🇷,Ferrari 🇮🇹,8,17,0,,0.0
1952 Italian Grand Prix 🇮🇹,R,0,1952-09-07,F,1952,Rudi Fischer 🇨🇭,Ferrari 🇮🇹,8,16,0,,0.0
1952 Italian Grand Prix 🇮🇹,F,0,1952-09-07,F,1952,Charles de Tornaco 🇧🇪,Ferrari 🇮🇹,8,0,0,,0.0
1952 Italian Grand Prix 🇮🇹,F,0,1952-09-07,F,1952,Peter Whitehead 🇬🇧,Ferrari 🇮🇹,8,0,0,,0.0
1953 German Grand Prix 🇩🇪,R,23,1953-08-02,R,1953,Theo Fitzau 🇩🇪,AFM 🇩🇪,7,21,0,,0.0
1953 German Grand Prix 🇩🇪,R,23,1953-08-02,R,1953,Günther Bechem 🇩🇪,AFM 🇩🇪,7,30,0,,0.0
