name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2016 Australian Grand Prix 🇦🇺,16,22,2016-03-20,R,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,1,21,17,,0.0
2016 Austrian Grand Prix 🇦🇹,10,20,2016-07-03,16,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,9,12,70,,0.0
2016 Bahrain Grand Prix 🇧🇭,13,20,2016-04-03,17,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,2,16,56,,0.0
2016 British Grand Prix 🇬🇧,R,19,2016-07-10,R,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,10,20,24,,0.0
2016 Canadian Grand Prix 🇨🇦,17,19,2016-06-12,19,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,7,17,68,,0.0
2016 Chinese Grand Prix 🇨🇳,18,20,2016-04-17,21,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,3,21,55,,0.0
2016 European Grand Prix 🇦🇿,R,16,2016-06-19,18,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,8,17,49,,0.0
2016 German Grand Prix 🇩🇪,17,19,2016-07-31,20,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,12,17,65,,0.0
2016 Hungarian Grand Prix 🇭🇺,19,21,2016-07-24,21,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,11,20,68,,0.0
2016 Monaco Grand Prix 🇲🇨,14,19,2016-05-29,15,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,6,20,74,,0.0
2016 Russian Grand Prix 🇷🇺,18,21,2016-05-01,R,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,4,20,0,,0.0
2016 Spanish Grand Prix 🇪🇸,16,22,2016-05-15,17,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,5,21,65,,0.0
