name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2000 Australian Grand Prix 🇦🇺,1,15,56,Ferrari 🇮🇹,2000-03-12,9,,2000,Michael Schumacher 🇩🇪
2000 Austrian Grand Prix 🇦🇹,10,13,41,McLaren 🇬🇧,2000-07-16,R,,2000,Mika Häkkinen 🇫🇮
2000 Belgian Grand Prix 🇧🇪,13,14,12,McLaren 🇬🇧,2000-08-27,R,,2000,Mika Häkkinen 🇫🇮
2000 Brazilian Grand Prix 🇧🇷,2,19,9,Ferrari 🇮🇹,2000-03-26,R,,2000,Michael Schumacher 🇩🇪
2000 British Grand Prix 🇬🇧,4,17,51,McLaren 🇬🇧,2000-04-23,R,,2000,David Coulthard 🇬🇧
2000 Canadian Grand Prix 🇨🇦,8,21,34,Ferrari 🇮🇹,2000-06-18,R,,2000,Michael Schumacher 🇩🇪
2000 French Grand Prix 🇫🇷,9,16,71,McLaren 🇬🇧,2000-07-02,12,,2000,David Coulthard 🇬🇧
2000 German Grand Prix 🇩🇪,11,13,40,Ferrari 🇮🇹,2000-07-30,12,,2000,Rubens Barrichello 🇧🇷
2000 Hungarian Grand Prix 🇭🇺,12,19,22,McLaren 🇬🇧,2000-08-13,R,,2000,Mika Häkkinen 🇫🇮
2000 Italian Grand Prix 🇮🇹,14,20,15,Ferrari 🇮🇹,2000-09-10,R,,2000,Michael Schumacher 🇩🇪
2000 Japanese Grand Prix 🇯🇵,16,16,41,Ferrari 🇮🇹,2000-10-08,R,,2000,Michael Schumacher 🇩🇪
2000 Malaysian Grand Prix 🇲🇾,17,19,0,Ferrari 🇮🇹,2000-10-22,R,,2000,Michael Schumacher 🇩🇪
2000 Monaco Grand Prix 🇲🇨,7,18,77,McLaren 🇬🇧,2000-06-04,8,,2000,David Coulthard 🇬🇧
2000 San Marino Grand Prix 🇮🇹,3,22,22,Ferrari 🇮🇹,2000-04-09,R,,2000,Michael Schumacher 🇩🇪
2000 Spanish Grand Prix 🇪🇸,5,19,62,McLaren 🇬🇧,2000-05-07,16,,2000,Mika Häkkinen 🇫🇮
2000 United States Grand Prix 🇺🇸,15,16,72,Ferrari 🇮🇹,2000-09-24,9,,2000,Michael Schumacher 🇩🇪
2001 Australian Grand Prix 🇦🇺,1,10,58,Ferrari 🇮🇹,2001-03-04,4,+1:11.479,2001,Michael Schumacher 🇩🇪
2001 Austrian Grand Prix 🇦🇹,6,6,69,McLaren 🇬🇧,2001-05-13,9,,2001,David Coulthard 🇬🇧
2001 Belgian Grand Prix 🇧🇪,14,14,0,Ferrari 🇮🇹,2001-09-02,R,,2001,Michael Schumacher 🇩🇪
2001 Brazilian Grand Prix 🇧🇷,3,9,70,McLaren 🇬🇧,2001-04-01,3,,2001,David Coulthard 🇬🇧
2001 British Grand Prix 🇬🇧,11,9,59,McLaren 🇬🇧,2001-07-15,6,,2001,Mika Häkkinen 🇫🇮
2001 Canadian Grand Prix 🇨🇦,8,11,1,Williams 🇬🇧,2001-06-10,R,,2001,Ralf Schumacher 🇩🇪
2001 European Grand Prix 🇩🇪,9,10,54,Ferrari 🇮🇹,2001-06-24,R,,2001,Michael Schumacher 🇩🇪
2001 French Grand Prix 🇫🇷,10,9,71,Ferrari 🇮🇹,2001-07-01,6,,2001,Michael Schumacher 🇩🇪
2001 German Grand Prix 🇩🇪,12,7,0,Williams 🇬🇧,2001-07-29,R,,2001,Ralf Schumacher 🇩🇪
2001 Hungarian Grand Prix 🇭🇺,13,7,76,Ferrari 🇮🇹,2001-08-19,6,,2001,Michael Schumacher 🇩🇪
2001 Italian Grand Prix 🇮🇹,15,8,52,Williams 🇬🇧,2001-09-16,11,,2001,Juan Pablo Montoya 🇨🇴
2001 Japanese Grand Prix 🇯🇵,17,10,52,Ferrari 🇮🇹,2001-10-14,9,,2001,Michael Schumacher 🇩🇪
2001 Malaysian Grand Prix 🇲🇾,2,11,3,Ferrari 🇮🇹,2001-03-18,R,,2001,Michael Schumacher 🇩🇪
2001 Monaco Grand Prix 🇲🇨,7,16,0,Ferrari 🇮🇹,2001-05-27,R,,2001,Michael Schumacher 🇩🇪
2001 San Marino Grand Prix 🇮🇹,4,12,61,Williams 🇬🇧,2001-04-15,7,,2001,Ralf Schumacher 🇩🇪
2001 Spanish Grand Prix 🇪🇸,5,10,65,Ferrari 🇮🇹,2001-04-29,6,+1:01.893,2001,Michael Schumacher 🇩🇪
2001 United States Grand Prix 🇺🇸,16,6,73,McLaren 🇬🇧,2001-09-30,6,+1:12.996,2001,Mika Häkkinen 🇫🇮
2002 Australian Grand Prix 🇦🇺,1,10,0,Ferrari 🇮🇹,2002-03-03,R,,2002,Michael Schumacher 🇩🇪
2002 Austrian Grand Prix 🇦🇹,6,5,27,Ferrari 🇮🇹,2002-05-12,R,,2002,Michael Schumacher 🇩🇪
2002 Belgian Grand Prix 🇧🇪,14,18,43,Ferrari 🇮🇹,2002-09-01,10,,2002,Michael Schumacher 🇩🇪
2002 Brazilian Grand Prix 🇧🇷,3,9,61,Ferrari 🇮🇹,2002-03-31,R,,2002,Michael Schumacher 🇩🇪
2002 British Grand Prix 🇬🇧,10,10,59,Ferrari 🇮🇹,2002-07-07,6,,2002,Michael Schumacher 🇩🇪
2002 Canadian Grand Prix 🇨🇦,8,7,69,Ferrari 🇮🇹,2002-06-09,12,,2002,Michael Schumacher 🇩🇪
2002 European Grand Prix 🇩🇪,9,9,59,Ferrari 🇮🇹,2002-06-23,7,,2002,Rubens Barrichello 🇧🇷
2002 French Grand Prix 🇫🇷,11,10,71,Ferrari 🇮🇹,2002-07-21,7,,2002,Michael Schumacher 🇩🇪
2002 German Grand Prix 🇩🇪,12,10,66,Ferrari 🇮🇹,2002-07-28,6,,2002,Michael Schumacher 🇩🇪
2002 Hungarian Grand Prix 🇭🇺,13,8,76,Ferrari 🇮🇹,2002-08-18,9,,2002,Rubens Barrichello 🇧🇷
2002 Italian Grand Prix 🇮🇹,15,15,53,Ferrari 🇮🇹,2002-09-15,10,+1:22.046,2002,Rubens Barrichello 🇧🇷
2002 Japanese Grand Prix 🇯🇵,17,12,52,Ferrari 🇮🇹,2002-10-13,7,,2002,Michael Schumacher 🇩🇪
2002 Malaysian Grand Prix 🇲🇾,2,7,55,Williams 🇬🇧,2002-03-17,5,,2002,Ralf Schumacher 🇩🇪
2002 Monaco Grand Prix 🇲🇨,7,15,76,McLaren 🇬🇧,2002-05-26,8,,2002,David Coulthard 🇬🇧
2002 San Marino Grand Prix 🇮🇹,4,7,61,Ferrari 🇮🇹,2002-04-14,10,,2002,Michael Schumacher 🇩🇪
2002 Spanish Grand Prix 🇪🇸,5,8,65,Ferrari 🇮🇹,2002-04-28,4,+1:06.697,2002,Michael Schumacher 🇩🇪
