name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,1,26,1950-05-30T00:00:00.000Z,13,1950,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,5,132,,0.0
1950 Indianapolis 500 🇺🇸,4,26,1950-05-30T00:00:00.000Z,13,1950,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,3,12,132,,0.0
1950 Indianapolis 500 🇺🇸,5,26,1950-05-30T00:00:00.000Z,13,1950,Joie Chitwood 🇺🇸,Kurtis Kraft 🇺🇸,3,9,132,,0.0
1950 Indianapolis 500 🇺🇸,7,26,1950-05-30T00:00:00.000Z,13,1950,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,1,132,,0.0
1950 Indianapolis 500 🇺🇸,10,26,1950-05-30T00:00:00.000Z,13,1950,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,3,11,132,,0.0
1950 Indianapolis 500 🇺🇸,14,26,1950-05-30T00:00:00.000Z,13,1950,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,6,132,,0.0
1950 Indianapolis 500 🇺🇸,18,26,1950-05-30T00:00:00.000Z,13,1950,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,3,33,132,,0.0
1950 Indianapolis 500 🇺🇸,19,26,1950-05-30T00:00:00.000Z,13,1950,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,3,20,132,,0.0
1950 Indianapolis 500 🇺🇸,21,26,1950-05-30T00:00:00.000Z,13,1950,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,3,15,132,,0.0
1950 Indianapolis 500 🇺🇸,R,26,1950-05-30T00:00:00.000Z,13,1950,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,2,132,,0.0
1950 Indianapolis 500 🇺🇸,R,26,1950-05-30T00:00:00.000Z,13,1950,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,3,32,132,,0.0
1950 Indianapolis 500 🇺🇸,R,26,1950-05-30T00:00:00.000Z,13,1950,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,25,132,,0.0
1950 Indianapolis 500 🇺🇸,R,26,1950-05-30T00:00:00.000Z,13,1950,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,7,132,,0.0
1950 Indianapolis 500 🇺🇸,5,26,1950-05-30T00:00:00.000Z,13,1950,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,9,132,,0.0
1951 Indianapolis 500 🇺🇸,8,23,1951-05-30T00:00:00.000Z,R,1951,Duane Carter 🇺🇸,Deidt 🇺🇸,2,4,18,,0.0
1951 Indianapolis 500 🇺🇸,R,23,1951-05-30T00:00:00.000Z,R,1951,Tony Bettenhausen 🇺🇸,Deidt 🇺🇸,2,9,18,,0.0
1951 Indianapolis 500 🇺🇸,R,23,1951-05-30T00:00:00.000Z,R,1951,Mauri Rose 🇺🇸,Deidt 🇺🇸,2,5,18,,0.0
