name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1975 Austrian Grand Prix 🇦🇹,5,22,1975-08-17,N,1975,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,12,13,0,,0.0
1975 British Grand Prix 🇬🇧,R,21,1975-07-19,16,1975,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,10,16,53,,0.0
1975 British Grand Prix 🇬🇧,R,21,1975-07-19,16,1975,Jim Crawford 🇬🇧,Team Lotus 🇬🇧,10,25,53,,0.0
1975 United States Grand Prix 🇺🇸,5,19,1975-10-05,N,1975,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,14,14,49,,0.0
1977 Austrian Grand Prix 🇦🇹,F,0,1977-08-14,F,1977,Alex Ribeiro 🇧🇷,March 🇬🇧,12,0,0,,0.0
1977 Austrian Grand Prix 🇦🇹,R,0,1977-08-14,F,1977,Ian Scheckter 🇿🇦,March 🇬🇧,12,24,0,,0.0
1977 Austrian Grand Prix 🇦🇹,9,0,1977-08-14,F,1977,Patrick Nève 🇧🇪,March 🇬🇧,12,22,0,,0.0
1977 British Grand Prix 🇬🇧,10,0,1977-07-16,F,1977,Patrick Nève 🇧🇪,March 🇬🇧,10,26,0,,0.0
1977 British Grand Prix 🇬🇧,R,0,1977-07-16,F,1977,Arturo Merzario 🇮🇹,March 🇬🇧,10,17,0,,0.0
1977 British Grand Prix 🇬🇧,R,0,1977-07-16,F,1977,Ian Scheckter 🇿🇦,March 🇬🇧,10,24,0,,0.0
1977 British Grand Prix 🇬🇧,F,0,1977-07-16,F,1977,Alex Ribeiro 🇧🇷,March 🇬🇧,10,0,0,,0.0
1977 British Grand Prix 🇬🇧,F,0,1977-07-16,F,1977,Andy Sutcliffe 🇬🇧,March 🇬🇧,10,0,0,,0.0
1977 British Grand Prix 🇬🇧,F,0,1977-07-16,F,1977,Mikko Kozarowitzky 🇫🇮,March 🇬🇧,10,0,0,,0.0
1977 Spanish Grand Prix 🇪🇸,10,0,1977-05-08,F,1977,Brett Lunger 🇺🇸,March 🇬🇧,5,28,0,,0.0
1977 Spanish Grand Prix 🇪🇸,11,0,1977-05-08,F,1977,Ian Scheckter 🇿🇦,March 🇬🇧,5,17,0,,0.0
1977 Spanish Grand Prix 🇪🇸,12,0,1977-05-08,F,1977,Patrick Nève 🇧🇪,March 🇬🇧,5,22,0,,0.0
1977 Spanish Grand Prix 🇪🇸,F,0,1977-05-08,F,1977,Alex Ribeiro 🇧🇷,March 🇬🇧,5,0,0,,0.0
1977 Spanish Grand Prix 🇪🇸,R,0,1977-05-08,F,1977,Arturo Merzario 🇮🇹,March 🇬🇧,5,21,0,,0.0
1977 Spanish Grand Prix 🇪🇸,F,0,1977-05-08,F,1977,Boy Lunger 🇳🇱,March 🇬🇧,5,0,0,,0.0
