name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1958 Belgian Grand Prix 🇧🇪,5,15,12,Vanwall 🇬🇧,1958-06-15,R,,1958,Tony Brooks 🇬🇧
1958 British Grand Prix 🇬🇧,7,14,17,Ferrari 🇮🇹,1958-07-19,R,,1958,Peter Collins 🇬🇧
1958 Dutch Grand Prix 🇳🇱,3,13,40,Vanwall 🇬🇧,1958-05-26,R,,1958,Stirling Moss 🇬🇧
1958 French Grand Prix 🇫🇷,6,19,33,Ferrari 🇮🇹,1958-07-06,R,,1958,Mike Hawthorn 🇬🇧
1958 German Grand Prix 🇩🇪,8,22,4,Vanwall 🇬🇧,1958-08-03,R,,1958,Tony Brooks 🇬🇧
1958 Italian Grand Prix 🇮🇹,10,12,62,Vanwall 🇬🇧,1958-09-07,6,,1958,Tony Brooks 🇬🇧
1958 Monaco Grand Prix 🇲🇨,2,15,69,Cooper 🇬🇧,1958-05-18,R,,1958,Maurice Trintignant 🇫🇷
1958 Moroccan Grand Prix 🇲🇦,11,12,45,Vanwall 🇬🇧,1958-10-19,16,,1958,Stirling Moss 🇬🇧
1958 Portuguese Grand Prix 🇵🇹,9,12,25,Vanwall 🇬🇧,1958-08-24,R,,1958,Stirling Moss 🇬🇧
1959 British Grand Prix 🇬🇧,5,9,70,Cooper-Climax 🇬🇧,1959-07-18,9,,1959,Jack Brabham 🇦🇺
1959 Dutch Grand Prix 🇳🇱,3,5,73,BRM 🇬🇧,1959-05-31,7,,1959,Jo Bonnier 🇸🇪
1959 French Grand Prix 🇫🇷,4,14,7,Ferrari 🇮🇹,1959-07-05,R,,1959,Tony Brooks 🇬🇧
1959 German Grand Prix 🇩🇪,6,10,10,Ferrari 🇮🇹,1959-08-02,R,,1959,Tony Brooks 🇬🇧
1959 Italian Grand Prix 🇮🇹,8,10,1,Cooper-Climax 🇬🇧,1959-09-13,R,,1959,Stirling Moss 🇬🇧
1959 Monaco Grand Prix 🇲🇨,1,14,21,Cooper-Climax 🇬🇧,1959-05-10,R,,1959,Jack Brabham 🇦🇺
1959 Portuguese Grand Prix 🇵🇹,7,15,5,Cooper-Climax 🇬🇧,1959-08-23,R,,1959,Stirling Moss 🇬🇧
1960 Argentine Grand Prix 🇦🇷,1,3,37,Cooper-Climax 🇬🇧,1960-02-07,R,,1960,Bruce McLaren 🇳🇿
1960 Belgian Grand Prix 🇧🇪,5,6,35,Cooper-Climax 🇬🇧,1960-06-19,R,,1960,Jack Brabham 🇦🇺
1960 British Grand Prix 🇬🇧,7,2,71,Cooper-Climax 🇬🇧,1960-07-16,R,,1960,Jack Brabham 🇦🇺
1960 Dutch Grand Prix 🇳🇱,4,5,75,Cooper-Climax 🇬🇧,1960-06-06,3,+56.6,1960,Jack Brabham 🇦🇺
1960 French Grand Prix 🇫🇷,6,3,0,Cooper-Climax 🇬🇧,1960-07-03,R,,1960,Jack Brabham 🇦🇺
1960 Monaco Grand Prix 🇲🇨,2,6,66,Team Lotus 🇬🇧,1960-05-29,7,,1960,Stirling Moss 🇬🇧
1960 Portuguese Grand Prix 🇵🇹,8,5,9,Cooper-Climax 🇬🇧,1960-08-14,R,,1960,Jack Brabham 🇦🇺
1960 United States Grand Prix 🇺🇸,10,11,34,Team Lotus 🇬🇧,1960-11-20,R,,1960,Stirling Moss 🇬🇧
1961 Belgian Grand Prix 🇧🇪,3,6,24,Ferrari 🇮🇹,1961-06-18,R,,1961,Phil Hill 🇺🇸
1961 British Grand Prix 🇬🇧,5,11,43,Ferrari 🇮🇹,1961-07-15,R,,1961,Wolfgang von Trips 🇩🇪
1961 Dutch Grand Prix 🇳🇱,2,5,75,Ferrari 🇮🇹,1961-05-22,8,+1:29.8,1961,Wolfgang von Trips 🇩🇪
1961 French Grand Prix 🇫🇷,4,6,52,Ferrari 🇮🇹,1961-07-02,6,+1:41.9,1961,Giancarlo Baghetti 🇮🇹
1961 German Grand Prix 🇩🇪,6,16,1,Lotus-Climax 🇬🇧,1961-08-06,R,,1961,Stirling Moss 🇬🇧
1961 Italian Grand Prix 🇮🇹,7,5,10,Ferrari 🇮🇹,1961-09-10,R,,1961,Phil Hill 🇺🇸
1961 Monaco Grand Prix 🇲🇨,1,4,11,Lotus-Climax 🇬🇧,1961-05-14,R,,1961,Stirling Moss 🇬🇧
1961 United States Grand Prix 🇺🇸,8,2,99,Lotus-Climax 🇬🇧,1961-10-08,5,,1961,Innes Ireland 🇬🇧
1962 Belgian Grand Prix 🇧🇪,3,1,32,Lotus-Climax 🇬🇧,1962-06-17,2,+44.1,1962,Jim Clark 🇬🇧
1962 British Grand Prix 🇬🇧,5,5,75,Lotus-Climax 🇬🇧,1962-07-21,4,+1:56.8,1962,Jim Clark 🇬🇧
1962 Dutch Grand Prix 🇳🇱,1,2,80,BRM 🇬🇧,1962-05-20,1,2:11:02.1,1962,Graham Hill 🇬🇧
1962 French Grand Prix 🇫🇷,4,2,44,Porsche 🇩🇪,1962-07-08,9,,1962,Dan Gurney 🇺🇸
1962 German Grand Prix 🇩🇪,6,2,15,BRM 🇬🇧,1962-08-05,1,2:38:45.3,1962,Graham Hill 🇬🇧
1962 Italian Grand Prix 🇮🇹,7,2,86,BRM 🇬🇧,1962-09-16,1,2:29:08.4,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,2,92,Cooper-Climax 🇬🇧,1962-06-03,6,,1962,Bruce McLaren 🇳🇿
1962 South African Grand Prix 🇿🇦,9,2,82,BRM 🇬🇧,1962-12-29,1,2:08:03.3,1962,Graham Hill 🇬🇧
1962 United States Grand Prix 🇺🇸,8,3,100,Lotus-Climax 🇬🇧,1962-10-07,2,+9.2,1962,Jim Clark 🇬🇧
1963 Belgian Grand Prix 🇧🇪,2,1,17,Lotus-Climax 🇬🇧,1963-06-09,R,,1963,Jim Clark 🇬🇧
1963 British Grand Prix 🇬🇧,5,3,82,Lotus-Climax 🇬🇧,1963-07-20,3,+37.6,1963,Jim Clark 🇬🇧
1963 Dutch Grand Prix 🇳🇱,3,2,69,Lotus-Climax 🇬🇧,1963-06-23,R,,1963,Jim Clark 🇬🇧
1963 French Grand Prix 🇫🇷,4,2,53,Lotus-Climax 🇬🇧,1963-06-30,3,+1:13.9,1963,Jim Clark 🇬🇧
1963 German Grand Prix 🇩🇪,6,4,2,Ferrari 🇮🇹,1963-08-04,R,,1963,John Surtees 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,2,59,Lotus-Climax 🇬🇧,1963-09-08,16,,1963,Jim Clark 🇬🇧
1963 Mexican Grand Prix 🇲🇽,9,3,64,Lotus-Climax 🇬🇧,1963-10-27,4,,1963,Jim Clark 🇬🇧
1963 Monaco Grand Prix 🇲🇨,1,2,100,BRM 🇬🇧,1963-05-26,1,2:41:49.7,1963,Graham Hill 🇬🇧
1963 South African Grand Prix 🇿🇦,10,6,84,Lotus-Climax 🇬🇧,1963-12-28,3,,1963,Jim Clark 🇬🇧
1963 United States Grand Prix 🇺🇸,8,1,110,BRM 🇬🇧,1963-10-06,1,2:19:22.1,1963,Graham Hill 🇬🇧
1964 Austrian Grand Prix 🇦🇹,7,1,5,Ferrari 🇮🇹,1964-08-23,R,,1964,Lorenzo Bandini 🇮🇹
1964 Belgian Grand Prix 🇧🇪,3,2,31,Lotus-Climax 🇬🇧,1964-06-14,5,,1964,Jim Clark 🇬🇧
1964 British Grand Prix 🇬🇧,5,2,80,Lotus-Climax 🇬🇧,1964-07-11,2,+2.8,1964,Jim Clark 🇬🇧
1964 Dutch Grand Prix 🇳🇱,2,3,79,Lotus-Climax 🇬🇧,1964-05-24,4,,1964,Jim Clark 🇬🇧
1964 French Grand Prix 🇫🇷,4,6,57,Brabham-Climax 🇬🇧,1964-06-28,2,+24.1,1964,Dan Gurney 🇺🇸
1964 German Grand Prix 🇩🇪,6,5,15,Ferrari 🇮🇹,1964-08-02,2,+1:15.6,1964,John Surtees 🇬🇧
1964 Italian Grand Prix 🇮🇹,8,3,0,Ferrari 🇮🇹,1964-09-06,R,,1964,John Surtees 🇬🇧
1964 Mexican Grand Prix 🇲🇽,10,6,63,Brabham-Climax 🇬🇧,1964-10-25,11,,1964,Dan Gurney 🇺🇸
1964 Monaco Grand Prix 🇲🇨,1,3,100,BRM 🇬🇧,1964-05-10,1,2:41:19.5,1964,Graham Hill 🇬🇧
1964 United States Grand Prix 🇺🇸,9,4,110,BRM 🇬🇧,1964-10-04,1,2:16:38.0,1964,Graham Hill 🇬🇧
1965 Belgian Grand Prix 🇧🇪,3,1,31,Lotus-Climax 🇬🇧,1965-06-13,5,,1965,Jim Clark 🇬🇧
1965 British Grand Prix 🇬🇧,5,2,80,Lotus-Climax 🇬🇧,1965-07-10,2,+3.2,1965,Jim Clark 🇬🇧
1965 Dutch Grand Prix 🇳🇱,6,1,80,Lotus-Climax 🇬🇧,1965-07-18,4,+45.1,1965,Jim Clark 🇬🇧
1965 French Grand Prix 🇫🇷,4,13,39,Lotus-Climax 🇬🇧,1965-06-27,5,,1965,Jim Clark 🇬🇧
1965 German Grand Prix 🇩🇪,7,3,15,Lotus-Climax 🇬🇧,1965-08-01,2,+15.9,1965,Jim Clark 🇬🇧
1965 Italian Grand Prix 🇮🇹,8,4,76,BRM 🇬🇧,1965-09-12,2,+3.3,1965,Jackie Stewart 🇬🇧
1965 Mexican Grand Prix 🇲🇽,10,5,56,Honda 🇯🇵,1965-10-24,R,,1965,Richie Ginther 🇺🇸
1965 Monaco Grand Prix 🇲🇨,2,1,100,BRM 🇬🇧,1965-05-30,1,2:37:39.6,1965,Graham Hill 🇬🇧
1965 South African Grand Prix 🇿🇦,1,5,85,Lotus-Climax 🇬🇧,1965-01-01,3,+31.8,1965,Jim Clark 🇬🇧
