name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1967 German Grand Prix 🇩🇪,R,18,1967-08-06,R,1967,Jo Schlesser 🇫🇷,Matra 🇫🇷,7,21,12,,0.0
1967 Italian Grand Prix 🇮🇹,R,15,1967-09-10,6,1967,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,9,13,66,,1.0
1967 Italian Grand Prix 🇮🇹,4,15,1967-09-10,6,1967,Jochen Rindt 🇦🇹,Cooper-Maserati 🇬🇧,9,11,66,,1.0
1967 Italian Grand Prix 🇮🇹,R,15,1967-09-10,6,1967,Jo Bonnier 🇸🇪,Cooper-Maserati 🇬🇧,9,14,66,,1.0
1967 United States Grand Prix 🇺🇸,R,16,1967-10-01,R,1967,Jochen Rindt 🇦🇹,Cooper-Maserati 🇬🇧,10,8,45,,0.0
1967 United States Grand Prix 🇺🇸,6,16,1967-10-01,R,1967,Jo Bonnier 🇸🇪,Cooper-Maserati 🇬🇧,10,15,45,,0.0
1967 United States Grand Prix 🇺🇸,4,16,1967-10-01,R,1967,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,10,12,45,,0.0
1968 Belgian Grand Prix 🇧🇪,R,3,1968-06-09,3,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,4,1,28,+39.6,4.0
1968 British Grand Prix 🇬🇧,2,12,1968-07-20,3,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,7,3,79,,4.0
1968 Canadian Grand Prix 🇨🇦,R,0,1968-09-22,W,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,10,2,0,,0.0
1968 Dutch Grand Prix 🇳🇱,6,6,1968-06-23,4,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,5,1,88,,3.0
1968 French Grand Prix 🇫🇷,10,3,1968-07-07,1,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,6,5,60,2:25:40.9,9.0
1968 German Grand Prix 🇩🇪,R,1,1968-08-04,4,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,8,2,14,+5:55.2,3.0
1968 Italian Grand Prix 🇮🇹,R,4,1968-09-08,3,1968,Derek Bell 🇬🇧,Ferrari 🇮🇹,9,8,68,+1:28.6,4.0
1968 Italian Grand Prix 🇮🇹,R,4,1968-09-08,3,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,9,3,68,+1:28.6,4.0
1968 Mexican Grand Prix 🇲🇽,R,15,1968-11-03,R,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,12,2,3,,0.0
1968 South African Grand Prix 🇿🇦,R,11,1968-01-01,R,1968,Andrea de Adamich 🇮🇹,Ferrari 🇮🇹,1,7,51,,0.0
1968 South African Grand Prix 🇿🇦,4,11,1968-01-01,R,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,1,8,51,,0.0
1968 Spanish Grand Prix 🇪🇸,R,8,1968-05-12,R,1968,Chris Amon 🇳🇿,Ferrari 🇮🇹,2,1,13,,0.0
1969 British Grand Prix 🇬🇧,5,4,1969-07-19,2,1969,Piers Courage 🇬🇧,Brabham-Ford 🇬🇧,6,10,83,,6.0
1969 Canadian Grand Prix 🇨🇦,R,1,1969-09-20,1,1969,Silvio Moser 🇨🇭,Brabham-Ford 🇬🇧,9,20,90,1:59:25.7,9.0
1969 Canadian Grand Prix 🇨🇦,R,1,1969-09-20,1,1969,Piers Courage 🇬🇧,Brabham-Ford 🇬🇧,9,10,90,1:59:25.7,9.0
