name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1994 Japanese Grand Prix 🇯🇵,15,26,3,Williams 🇬🇧,1994-11-06,R,,1994,Damon Hill 🇬🇧
1995 Argentine Grand Prix 🇦🇷,2,26,40,Williams 🇬🇧,1995-04-09,R,,1995,Damon Hill 🇬🇧
1995 Australian Grand Prix 🇦🇺,17,19,15,Williams 🇬🇧,1995-11-12,R,,1995,Damon Hill 🇬🇧
1995 Belgian Grand Prix 🇧🇪,11,18,43,Benetton 🇮🇹,1995-08-27,12,,1995,Michael Schumacher 🇩🇪
1995 Brazilian Grand Prix 🇧🇷,1,21,48,Benetton 🇮🇹,1995-03-26,R,,1995,Michael Schumacher 🇩🇪
1995 British Grand Prix 🇬🇧,8,19,16,Benetton 🇮🇹,1995-07-16,R,,1995,Johnny Herbert 🇬🇧
1995 Canadian Grand Prix 🇨🇦,6,22,66,Ferrari 🇮🇹,1995-06-11,9,,1995,Jean Alesi 🇫🇷
1995 European Grand Prix 🇩🇪,14,21,0,Benetton 🇮🇹,1995-10-01,R,,1995,Michael Schumacher 🇩🇪
1995 French Grand Prix 🇫🇷,7,18,0,Benetton 🇮🇹,1995-07-02,R,,1995,Michael Schumacher 🇩🇪
1995 German Grand Prix 🇩🇪,9,19,9,Benetton 🇮🇹,1995-07-30,R,,1995,Michael Schumacher 🇩🇪
1995 Hungarian Grand Prix 🇭🇺,10,18,13,Williams 🇬🇧,1995-08-13,R,,1995,Damon Hill 🇬🇧
1995 Italian Grand Prix 🇮🇹,12,20,52,Benetton 🇮🇹,1995-09-10,8,,1995,Johnny Herbert 🇬🇧
1995 Japanese Grand Prix 🇯🇵,16,18,51,Benetton 🇮🇹,1995-10-29,12,,1995,Michael Schumacher 🇩🇪
1995 Monaco Grand Prix 🇲🇨,5,26,27,Benetton 🇮🇹,1995-05-28,R,,1995,Michael Schumacher 🇩🇪
1995 Pacific Grand Prix 🇯🇵,15,20,38,Benetton 🇮🇹,1995-10-22,R,,1995,Michael Schumacher 🇩🇪
1995 Portuguese Grand Prix 🇵🇹,13,19,68,Williams 🇬🇧,1995-09-24,15,,1995,David Coulthard 🇬🇧
1995 San Marino Grand Prix 🇮🇹,3,19,12,Williams 🇬🇧,1995-04-30,R,,1995,Damon Hill 🇬🇧
1995 Spanish Grand Prix 🇪🇸,4,18,43,Benetton 🇮🇹,1995-05-14,R,,1995,Michael Schumacher 🇩🇪
