name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1959 Dutch Grand Prix 🇳🇱,7,9,1959-05-31T00:00:00.000Z,4,1959,Graham Hill 🇬🇧,Team Lotus 🇬🇧,3,5,74,,3.0
1959 French Grand Prix 🇫🇷,R,15,1959-07-05T00:00:00.000Z,R,1959,Graham Hill 🇬🇧,Team Lotus 🇬🇧,4,14,14,,0.0
1959 German Grand Prix 🇩🇪,R,13,1959-08-02T00:00:00.000Z,R,1959,Graham Hill 🇬🇧,Team Lotus 🇬🇧,6,10,7,,0.0
1959 Italian Grand Prix 🇮🇹,R,14,1959-09-13T00:00:00.000Z,R,1959,Graham Hill 🇬🇧,Team Lotus 🇬🇧,8,10,14,,0.0
1959 Portuguese Grand Prix 🇵🇹,R,16,1959-08-23T00:00:00.000Z,R,1959,Graham Hill 🇬🇧,Team Lotus 🇬🇧,7,15,3,,0.0
1959 United States Grand Prix 🇺🇸,R,9,1959-12-12T00:00:00.000Z,5,1959,Alan Stacey 🇬🇧,Team Lotus 🇬🇧,9,12,39,,2.0
1960 Argentine Grand Prix 🇦🇷,R,2,1960-02-07T00:00:00.000Z,6,1960,Alan Stacey 🇬🇧,Team Lotus 🇬🇧,1,14,79,,1.0
1960 Argentine Grand Prix 🇦🇷,9,2,1960-02-07T00:00:00.000Z,6,1960,Alberto Rodriguez Larreta 🇦🇷,Team Lotus 🇬🇧,1,15,79,,1.0
1960 Belgian Grand Prix 🇧🇪,R,8,1960-06-19T00:00:00.000Z,R,1960,Alan Stacey 🇬🇧,Team Lotus 🇬🇧,5,17,13,,0.0
1960 Belgian Grand Prix 🇧🇪,W,8,1960-06-19T00:00:00.000Z,R,1960,Stirling Moss 🇬🇧,Team Lotus 🇬🇧,5,3,13,,0.0
1960 Belgian Grand Prix 🇧🇪,W,8,1960-06-19T00:00:00.000Z,R,1960,Mike Taylor 🇬🇧,Team Lotus 🇬🇧,5,19,13,,0.0
1960 Belgian Grand Prix 🇧🇪,5,8,1960-06-19T00:00:00.000Z,R,1960,Jim Clark 🇬🇧,Team Lotus 🇬🇧,5,10,13,,0.0
1960 British Grand Prix 🇬🇧,2,5,1960-07-16T00:00:00.000Z,3,1960,John Surtees 🇬🇧,Team Lotus 🇬🇧,7,11,77,+1:29.6,4.0
1960 British Grand Prix 🇬🇧,16,5,1960-07-16T00:00:00.000Z,3,1960,Jim Clark 🇬🇧,Team Lotus 🇬🇧,7,8,77,+1:29.6,4.0
1960 British Grand Prix 🇬🇧,12,5,1960-07-16T00:00:00.000Z,3,1960,David Piper 🇬🇧,Team Lotus 🇬🇧,7,24,77,+1:29.6,4.0
1960 Dutch Grand Prix 🇳🇱,R,3,1960-06-06T00:00:00.000Z,2,1960,Alan Stacey 🇬🇧,Team Lotus 🇬🇧,4,8,75,+24.0,6.0
