name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1966 British Grand Prix 🇬🇧,4,12,78,Brabham-Repco 🇬🇧,1966-07-16,7,,1966,Jack Brabham 🇦🇺
1967 Belgian Grand Prix 🇧🇪,4,15,1,Eagle-Weslake 🇺🇸,1967-06-18,R,,1967,Dan Gurney 🇺🇸
1967 British Grand Prix 🇬🇧,6,13,77,Lotus-Ford 🇬🇧,1967-07-15,7,,1967,Jim Clark 🇬🇧
1967 Canadian Grand Prix 🇨🇦,8,11,18,Brabham-Repco 🇬🇧,1967-08-27,R,,1967,Jack Brabham 🇦🇺
1967 Dutch Grand Prix 🇳🇱,3,13,88,Lotus-Ford 🇬🇧,1967-06-04,7,,1967,Jim Clark 🇬🇧
1967 French Grand Prix 🇫🇷,5,9,76,Brabham-Repco 🇬🇧,1967-07-02,5,,1967,Jack Brabham 🇦🇺
1967 German Grand Prix 🇩🇪,7,15,13,Brabham-Repco 🇬🇧,1967-08-06,9,,1967,Denny Hulme 🇳🇿
1967 Italian Grand Prix 🇮🇹,9,16,16,Honda 🇯🇵,1967-09-10,R,,1967,John Surtees 🇬🇧
1967 Mexican Grand Prix 🇲🇽,11,15,33,Lotus-Ford 🇬🇧,1967-10-22,R,,1967,Jim Clark 🇬🇧
1967 United States Grand Prix 🇺🇸,10,14,41,Lotus-Ford 🇬🇧,1967-10-01,R,,1967,Jim Clark 🇬🇧
