name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1974 Austrian Grand Prix 🇦🇹,F,0,1974-08-18,F,1974,Derek Bell 🇬🇧,Surtees 🇬🇧,12,0,0,,0.0
1974 Austrian Grand Prix 🇦🇹,F,0,1974-08-18,F,1974,Leo Kinnunen 🇫🇮,Surtees 🇬🇧,12,0,0,,0.0
1974 Austrian Grand Prix 🇦🇹,9,0,1974-08-18,F,1974,Dieter Quester 🇦🇹,Surtees 🇬🇧,12,25,0,,0.0
1974 French Grand Prix 🇫🇷,9,0,1974-07-07,F,1974,Arturo Merzario 🇮🇹,Iso Marlboro 🇬🇧,9,15,0,,0.0
1975 French Grand Prix 🇫🇷,6,21,1975-07-06,12,1975,Patrick Depailler 🇫🇷,Tyrrell 🇬🇧,9,13,54,+1:37.13,0.0
1975 French Grand Prix 🇫🇷,9,21,1975-07-06,12,1975,Jody Scheckter 🇿🇦,Tyrrell 🇬🇧,9,2,54,+1:37.13,0.0
1979 Argentine Grand Prix 🇦🇷,R,12,1979-01-21,R,1979,René Arnoux 🇫🇷,Renault 🇫🇷,1,25,15,,0.0
1979 Austrian Grand Prix 🇦🇹,6,3,1979-08-12,R,1979,René Arnoux 🇫🇷,Renault 🇫🇷,11,1,16,,0.0
1979 Belgian Grand Prix 🇧🇪,R,17,1979-05-13,R,1979,René Arnoux 🇫🇷,Renault 🇫🇷,6,18,13,,0.0
1979 Brazilian Grand Prix 🇧🇷,R,7,1979-02-04,10,1979,René Arnoux 🇫🇷,Renault 🇫🇷,2,11,39,,0.0
1979 British Grand Prix 🇬🇧,2,2,1979-07-14,R,1979,René Arnoux 🇫🇷,Renault 🇫🇷,9,5,21,,0.0
1979 Canadian Grand Prix 🇨🇦,R,7,1979-09-30,R,1979,René Arnoux 🇫🇷,Renault 🇫🇷,14,8,24,,0.0
1979 Dutch Grand Prix 🇳🇱,R,4,1979-08-26,R,1979,René Arnoux 🇫🇷,Renault 🇫🇷,12,1,26,,0.0
