name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1956 British Grand Prix 🇬🇧,R,28,1956-07-14T00:00:00.000Z,R,1956,Umberto Maglioli 🇮🇹,Maserati 🇮🇹,6,24,3,,0.0
1956 British Grand Prix 🇬🇧,R,28,1956-07-14T00:00:00.000Z,R,1956,Bruce Halford 🇬🇧,Maserati 🇮🇹,6,20,3,,0.0
1956 British Grand Prix 🇬🇧,R,28,1956-07-14T00:00:00.000Z,R,1956,Louis Rosier 🇫🇷,Maserati 🇮🇹,6,27,3,,0.0
1956 British Grand Prix 🇬🇧,R,28,1956-07-14T00:00:00.000Z,R,1956,Roy Salvadori 🇬🇧,Maserati 🇮🇹,6,7,3,,0.0
1956 British Grand Prix 🇬🇧,R,28,1956-07-14T00:00:00.000Z,R,1956,Stirling Moss 🇬🇧,Maserati 🇮🇹,6,1,3,,0.0
1956 British Grand Prix 🇬🇧,8,28,1956-07-14T00:00:00.000Z,R,1956,Paco Godia 🇪🇸,Maserati 🇮🇹,6,25,3,,0.0
1956 British Grand Prix 🇬🇧,7,28,1956-07-14T00:00:00.000Z,R,1956,Cesare Perdisa 🇮🇹,Maserati 🇮🇹,6,15,3,,0.0
1956 British Grand Prix 🇬🇧,3,28,1956-07-14T00:00:00.000Z,R,1956,Jean Behra 🇫🇷,Maserati 🇮🇹,6,13,3,,0.0
1956 British Grand Prix 🇬🇧,6,28,1956-07-14T00:00:00.000Z,R,1956,Luigi Villoresi 🇮🇹,Maserati 🇮🇹,6,19,3,,0.0
1956 British Grand Prix 🇬🇧,5,28,1956-07-14T00:00:00.000Z,R,1956,Horace Gould 🇬🇧,Maserati 🇮🇹,6,14,3,,0.0
1957 British Grand Prix 🇬🇧,5,13,1957-07-20T00:00:00.000Z,R,1957,Roy Salvadori 🇬🇧,Cooper 🇬🇧,5,15,74,,0.0
1957 British Grand Prix 🇬🇧,6,13,1957-07-20T00:00:00.000Z,R,1957,Bob Gerard 🇬🇧,Cooper 🇬🇧,5,18,74,,0.0
1957 French Grand Prix 🇫🇷,7,15,1957-07-07T00:00:00.000Z,7,1957,Mike MacDowel 🇬🇧,Cooper 🇬🇧,4,15,68,,0.0
1957 French Grand Prix 🇫🇷,7,13,1957-07-07T00:00:00.000Z,R,1957,Mike MacDowel 🇬🇧,Cooper 🇬🇧,4,15,4,,0.0
1957 French Grand Prix 🇫🇷,7,15,1957-07-07T00:00:00.000Z,7,1957,Mike MacDowel 🇬🇧,Cooper 🇬🇧,4,15,68,,0.0
1957 French Grand Prix 🇫🇷,7,13,1957-07-07T00:00:00.000Z,R,1957,Mike MacDowel 🇬🇧,Cooper 🇬🇧,4,15,4,,0.0
1957 German Grand Prix 🇩🇪,R,18,1957-08-04T00:00:00.000Z,R,1957,Roy Salvadori 🇬🇧,Cooper 🇬🇧,6,14,6,,0.0
1957 German Grand Prix 🇩🇪,15,18,1957-08-04T00:00:00.000Z,R,1957,Tony Marsh 🇬🇧,Cooper 🇬🇧,6,22,6,,0.0
1957 German Grand Prix 🇩🇪,13,18,1957-08-04T00:00:00.000Z,R,1957,Brian Naylor 🇬🇧,Cooper 🇬🇧,6,17,6,,0.0
1957 German Grand Prix 🇩🇪,R,18,1957-08-04T00:00:00.000Z,R,1957,Dick Gibson 🇬🇧,Cooper 🇬🇧,6,24,6,,0.0
1957 German Grand Prix 🇩🇪,R,18,1957-08-04T00:00:00.000Z,R,1957,Paul England 🇦🇺,Cooper 🇬🇧,6,23,6,,0.0
1957 Monaco Grand Prix 🇲🇨,F,15,1957-05-19T00:00:00.000Z,6,1957,Les Leston 🇬🇧,Cooper 🇬🇧,2,0,100,,0.0
1957 Pescara Grand Prix 🇮🇹,R,16,1957-08-18T00:00:00.000Z,7,1957,Roy Salvadori 🇬🇧,Cooper 🇬🇧,7,15,15,,0.0
1958 Belgian Grand Prix 🇧🇪,8,8,1958-06-15T00:00:00.000Z,R,1958,Roy Salvadori 🇬🇧,Cooper 🇬🇧,5,13,16,,0.0
1958 British Grand Prix 🇬🇧,3,10,1958-07-19T00:00:00.000Z,6,1958,Roy Salvadori 🇬🇧,Cooper 🇬🇧,7,3,75,+1:23.2,0.0
1958 British Grand Prix 🇬🇧,8,10,1958-07-19T00:00:00.000Z,6,1958,Maurice Trintignant 🇫🇷,Cooper 🇬🇧,7,12,75,+1:23.2,0.0
1958 British Grand Prix 🇬🇧,R,10,1958-07-19T00:00:00.000Z,6,1958,Ian Burgess 🇬🇧,Cooper 🇬🇧,7,16,75,+1:23.2,0.0
1958 Dutch Grand Prix 🇳🇱,9,5,1958-05-26T00:00:00.000Z,8,1958,Maurice Trintignant 🇫🇷,Cooper 🇬🇧,3,8,73,,0.0
1958 Dutch Grand Prix 🇳🇱,4,5,1958-05-26T00:00:00.000Z,8,1958,Roy Salvadori 🇬🇧,Cooper 🇬🇧,3,9,73,,0.0
1958 French Grand Prix 🇫🇷,11,12,1958-07-06T00:00:00.000Z,6,1958,Roy Salvadori 🇬🇧,Cooper 🇬🇧,6,14,49,,0.0
1958 German Grand Prix 🇩🇪,R,19,1958-08-03T00:00:00.000Z,R,1958,Wolfgang Seidel 🇩🇪,Cooper 🇬🇧,8,17,1,,0.0
1958 German Grand Prix 🇩🇪,8,19,1958-08-03T00:00:00.000Z,R,1958,Tony Marsh 🇬🇧,Cooper 🇬🇧,8,14,1,,0.0
1958 German Grand Prix 🇩🇪,7,19,1958-08-03T00:00:00.000Z,R,1958,Ian Burgess 🇬🇧,Cooper 🇬🇧,8,11,1,,0.0
1958 German Grand Prix 🇩🇪,5,19,1958-08-03T00:00:00.000Z,R,1958,Bruce McLaren 🇳🇿,Cooper 🇬🇧,8,12,1,,0.0
1958 German Grand Prix 🇩🇪,3,19,1958-08-03T00:00:00.000Z,R,1958,Maurice Trintignant 🇫🇷,Cooper 🇬🇧,8,7,1,,0.0
1958 German Grand Prix 🇩🇪,2,19,1958-08-03T00:00:00.000Z,R,1958,Roy Salvadori 🇬🇧,Cooper 🇬🇧,8,6,1,,0.0
1958 German Grand Prix 🇩🇪,R,19,1958-08-03T00:00:00.000Z,R,1958,Brian Naylor 🇬🇧,Cooper 🇬🇧,8,25,1,,0.0
1958 German Grand Prix 🇩🇪,R,19,1958-08-03T00:00:00.000Z,R,1958,Dick Gibson 🇬🇧,Cooper 🇬🇧,8,18,1,,0.0
1958 German Grand Prix 🇩🇪,R,19,1958-08-03T00:00:00.000Z,R,1958,Christian Goethals 🇧🇪,Cooper 🇬🇧,8,23,1,,0.0
