name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1958 Indianapolis 500 🇺🇸,3,24,1958-05-30,R,1958,Johnny Boyd 🇺🇸,Kurtis Kraft 🇺🇸,4,8,0,,0.0
1958 Indianapolis 500 🇺🇸,9,24,1958-05-30,R,1958,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,4,26,0,,0.0
1958 Indianapolis 500 🇺🇸,10,24,1958-05-30,R,1958,Bill Cheesbourg 🇺🇸,Kurtis Kraft 🇺🇸,4,33,0,,0.0
1958 Indianapolis 500 🇺🇸,11,24,1958-05-30,R,1958,Al Keller 🇺🇸,Kurtis Kraft 🇺🇸,4,21,0,,0.0
1958 Indianapolis 500 🇺🇸,12,24,1958-05-30,R,1958,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,4,6,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,4,17,0,,0.0
1958 Indianapolis 500 🇺🇸,D,24,1958-05-30,R,1958,Mike Magill 🇺🇸,Kurtis Kraft 🇺🇸,4,31,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,4,14,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Shorty Templeman 🇺🇸,Kurtis Kraft 🇺🇸,4,23,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Billy Garrett 🇺🇸,Kurtis Kraft 🇺🇸,4,15,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Johnny Thomson 🇺🇸,Kurtis Kraft 🇺🇸,4,22,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Bob Veith 🇺🇸,Kurtis Kraft 🇺🇸,4,4,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Pat O'Connor 🇺🇸,Kurtis Kraft 🇺🇸,4,5,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Paul Goldsmith 🇺🇸,Kurtis Kraft 🇺🇸,4,16,0,,0.0
1958 Indianapolis 500 🇺🇸,R,24,1958-05-30,R,1958,Len Sutton 🇺🇸,Kurtis Kraft 🇺🇸,4,27,0,,0.0
