name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1975 Belgian Grand Prix 🇧🇪,R,13,1975-05-25,R,1975,James Hunt 🇬🇧,Hesketh 🇬🇧,6,11,1,,0.0
1975 British Grand Prix 🇬🇧,15,28,1975-07-19,10,1975,Tony Brise 🇬🇧,Embassy Hill 🇬🇧,10,13,54,,0.0
1975 Dutch Grand Prix 🇳🇱,7,17,1975-06-22,13,1975,Tony Brise 🇬🇧,Embassy Hill 🇬🇧,8,7,70,,0.0
1975 French Grand Prix 🇫🇷,7,20,1975-07-06,16,1975,Tony Brise 🇬🇧,Embassy Hill 🇬🇧,9,12,53,,0.0
1975 German Grand Prix 🇩🇪,R,21,1975-08-03,5,1975,Tony Brise 🇬🇧,Embassy Hill 🇬🇧,11,17,14,+3:50.3,2.0
1975 Monaco Grand Prix 🇲🇨,F,18,1975-05-11,R,1975,Torsten Palm 🇸🇪,Hesketh 🇬🇧,5,0,61,,0.0
1975 Monaco Grand Prix 🇲🇨,R,18,1975-05-11,R,1975,James Hunt 🇬🇧,Hesketh 🇬🇧,5,11,61,,0.0
1975 Spanish Grand Prix 🇪🇸,R,20,1975-04-27,R,1975,James Hunt 🇬🇧,Hesketh 🇬🇧,4,3,3,,0.0
1975 Swedish Grand Prix 🇸🇪,R,19,1975-06-08,11,1975,James Hunt 🇬🇧,Hesketh 🇬🇧,7,13,78,,0.0
1975 Swedish Grand Prix 🇸🇪,10,19,1975-06-08,11,1975,Torsten Palm 🇸🇪,Hesketh 🇬🇧,7,21,78,,0.0
1976 Austrian Grand Prix 🇦🇹,9,15,1976-08-15,R,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,11,22,30,,0.0
1976 Austrian Grand Prix 🇦🇹,10,15,1976-08-15,R,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,11,16,30,,0.0
1976 Belgian Grand Prix 🇧🇪,R,16,1976-05-16,5,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,5,26,69,,2.0
1976 British Grand Prix 🇬🇧,F,19,1976-07-18,5,1976,Divina Galica 🇬🇧,Surtees 🇬🇧,9,0,75,,2.0
1976 British Grand Prix 🇬🇧,R,19,1976-07-18,5,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,9,26,75,,2.0
1976 British Grand Prix 🇬🇧,R,19,1976-07-18,5,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,9,18,75,,2.0
1976 Canadian Grand Prix 🇨🇦,15,20,1976-10-03,16,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,14,22,78,,0.0
1976 Canadian Grand Prix 🇨🇦,19,20,1976-10-03,16,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,14,21,78,,0.0
1976 Dutch Grand Prix 🇳🇱,11,16,1976-08-29,8,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,12,22,74,,0.0
1976 Dutch Grand Prix 🇳🇱,R,16,1976-08-29,8,1976,Conny Andersson 🇸🇪,Surtees 🇬🇧,12,18,74,,0.0
1976 French Grand Prix 🇫🇷,R,18,1976-07-04,R,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,8,24,44,,0.0
1976 French Grand Prix 🇫🇷,16,18,1976-07-04,R,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,8,23,44,,0.0
1976 German Grand Prix 🇩🇪,R,14,1976-08-01,10,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,10,24,14,+3:47.3,0.0
1976 German Grand Prix 🇩🇪,F,14,1976-08-01,10,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,10,0,14,+3:47.3,0.0
1976 Italian Grand Prix 🇮🇹,17,18,1976-09-12,12,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,13,22,51,,0.0
1976 Italian Grand Prix 🇮🇹,14,18,1976-09-12,12,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,13,24,51,,0.0
1976 Japanese Grand Prix 🇯🇵,9,20,1976-10-24,4,1976,Noritake Takahara 🇯🇵,Surtees 🇬🇧,16,24,72,,3.0
1976 Monaco Grand Prix 🇲🇨,F,19,1976-05-30,R,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,6,0,1,,0.0
1976 Spanish Grand Prix 🇪🇸,F,20,1976-05-02,9,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,4,0,74,,0.0
1976 Swedish Grand Prix 🇸🇪,15,18,1976-06-13,13,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,7,24,71,,0.0
1976 United States Grand Prix West 🇺🇸,F,19,1976-03-28,N,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,3,0,70,,0.0
1976 United States Grand Prix 🇺🇸,11,18,1976-10-10,8,1976,Brett Lunger 🇺🇸,Surtees 🇬🇧,15,24,58,,0.0
1976 United States Grand Prix 🇺🇸,N,18,1976-10-10,8,1976,Henri Pescarolo 🇫🇷,Surtees 🇬🇧,15,26,58,,0.0
1977 Austrian Grand Prix 🇦🇹,R,14,1977-08-14,1,1977,Arturo Merzario 🇮🇹,Shadow 🇬🇧,12,21,54,1:37:16.49,9.0
1977 Belgian Grand Prix 🇧🇪,R,17,1977-06-05,5,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,7,15,70,+1:15.47,2.0
1977 British Grand Prix 🇬🇧,R,12,1977-07-16,7,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,10,25,67,,0.0
1977 Canadian Grand Prix 🇨🇦,10,7,1977-10-09,4,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,16,8,80,+46.69,3.0
1977 Dutch Grand Prix 🇳🇱,13,13,1977-08-28,R,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,13,16,32,,0.0
1977 French Grand Prix 🇫🇷,R,10,1977-07-03,R,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,9,15,60,,0.0
1977 German Grand Prix 🇩🇪,10,17,1977-07-31,R,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,11,16,0,,0.0
1977 Italian Grand Prix 🇮🇹,R,16,1977-09-11,3,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,14,6,52,+23.63,4.0
1977 Japanese Grand Prix 🇯🇵,6,12,1977-10-23,4,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,17,13,73,+1:06.61,3.0
1977 Monaco Grand Prix 🇲🇨,9,11,1977-05-22,6,1977,Riccardo Patrese 🇮🇹,Shadow 🇬🇧,6,15,76,+36.61,1.0
1977 Spanish Grand Prix 🇪🇸,R,14,1977-05-08,R,1977,Renzo Zorzi 🇮🇹,Shadow 🇬🇧,5,24,56,,0.0
1977 Swedish Grand Prix 🇸🇪,9,11,1977-06-19,17,1977,Jackie Oliver 🇬🇧,Shadow 🇬🇧,8,16,67,,0.0
1977 United States Grand Prix West 🇺🇸,R,14,1977-04-03,R,1977,Renzo Zorzi 🇮🇹,Shadow 🇬🇧,4,20,40,,0.0
1977 United States Grand Prix 🇺🇸,9,13,1977-10-02,R,1977,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,15,16,3,,0.0
1979 Argentine Grand Prix 🇦🇷,10,15,1979-01-21,9,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,1,17,51,,0.0
1979 Austrian Grand Prix 🇦🇹,5,2,1979-08-12,1,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,11,6,54,1:27:38.01,9.0
1979 Belgian Grand Prix 🇧🇪,R,4,1979-05-13,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,6,8,39,,0.0
1979 Brazilian Grand Prix 🇧🇷,15,13,1979-02-04,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,2,17,33,,0.0
1979 British Grand Prix 🇬🇧,1,1,1979-07-14,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,9,4,38,,0.0
1979 Canadian Grand Prix 🇨🇦,3,1,1979-09-30,1,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,14,3,72,1:52:06.892,9.0
1979 Dutch Grand Prix 🇳🇱,R,2,1979-08-26,1,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,12,3,75,1:41:19.775,9.0
1979 French Grand Prix 🇫🇷,6,7,1979-07-01,4,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,8,9,80,+36.61,3.0
1979 German Grand Prix 🇩🇪,2,2,1979-07-29,1,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,10,6,45,1:24:48.83,9.0
1979 Italian Grand Prix 🇮🇹,3,4,1979-09-09,9,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,13,6,49,,0.0
1979 Monaco Grand Prix 🇲🇨,2,9,1979-05-27,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,7,16,43,,0.0
1979 South African Grand Prix 🇿🇦,9,19,1979-03-03,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,3,22,63,,0.0
1979 Spanish Grand Prix 🇪🇸,R,13,1979-04-29,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,5,14,54,,0.0
1979 United States Grand Prix West 🇺🇸,R,10,1979-04-08,3,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,4,15,80,+59.69,4.0
1979 United States Grand Prix 🇺🇸,R,1,1979-10-07,R,1979,Clay Regazzoni 🇨🇭,Williams 🇬🇧,15,5,36,,0.0
1980 Argentine Grand Prix 🇦🇷,R,1,1980-01-13,1,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,1,10,53,1:43:24.38,9.0
1980 Austrian Grand Prix 🇦🇹,3,3,1980-08-17,2,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,10,4,54,+0.82,6.0
1980 Austrian Grand Prix 🇦🇹,15,3,1980-08-17,2,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,10,20,54,+0.82,6.0
1980 Belgian Grand Prix 🇧🇪,3,1,1980-05-04,2,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,5,4,72,+47.37,6.0
1980 Brazilian Grand Prix 🇧🇷,R,10,1980-01-27,3,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,2,4,40,+1:06.11,4.0
1980 British Grand Prix 🇬🇧,F,3,1980-07-13,1,1980,Desiré Wilson 🇿🇦,Williams 🇬🇧,8,0,76,1:34:49.228,9.0
1980 British Grand Prix 🇬🇧,11,3,1980-07-13,1,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,8,18,76,1:34:49.228,9.0
1980 British Grand Prix 🇬🇧,3,3,1980-07-13,1,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,8,4,76,1:34:49.228,9.0
1980 Canadian Grand Prix 🇨🇦,2,2,1980-09-28,1,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,13,5,70,1:46:45.53,9.0
1980 Canadian Grand Prix 🇨🇦,F,2,1980-09-28,1,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,13,0,70,1:46:45.53,9.0
1980 Canadian Grand Prix 🇨🇦,F,2,1980-09-28,1,1980,Kevin Cogan 🇺🇸,Williams 🇬🇧,13,0,70,1:46:45.53,9.0
1980 Dutch Grand Prix 🇳🇱,F,4,1980-08-31,11,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,11,0,69,,0.0
1980 Dutch Grand Prix 🇳🇱,4,4,1980-08-31,11,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,11,3,69,,0.0
1980 French Grand Prix 🇫🇷,6,4,1980-06-29,1,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,7,5,54,1:32:43.4,9.0
1980 German Grand Prix 🇩🇪,2,1,1980-08-10,3,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,9,4,45,+43.53,4.0
1980 German Grand Prix 🇩🇪,F,1,1980-08-10,3,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,9,0,45,+43.53,4.0
1980 Italian Grand Prix 🇮🇹,11,6,1980-09-14,2,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,12,21,60,+28.93,6.0
1980 Italian Grand Prix 🇮🇹,3,6,1980-09-14,2,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,12,3,60,+28.93,6.0
1980 Monaco Grand Prix 🇲🇨,1,3,1980-05-18,R,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,6,2,24,,0.0
1980 South African Grand Prix 🇿🇦,5,8,1980-03-01,R,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,3,6,34,,0.0
1980 United States Grand Prix West 🇺🇸,R,5,1980-03-30,R,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,4,7,47,,0.0
1980 United States Grand Prix 🇺🇸,F,5,1980-10-05,1,1980,Geoff Lees 🇬🇧,Williams 🇬🇧,14,0,59,1:34:36.05,9.0
1980 United States Grand Prix 🇺🇸,9,5,1980-10-05,1,1980,Rupert Keegan 🇬🇧,Williams 🇬🇧,14,15,59,1:34:36.05,9.0
1980 United States Grand Prix 🇺🇸,2,5,1980-10-05,1,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,14,3,59,1:34:36.05,9.0
1981 Argentine Grand Prix 🇦🇷,2,3,1981-04-12,4,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,3,4,53,+1:07.88,3.0
1981 Austrian Grand Prix 🇦🇹,5,6,1981-08-16,4,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,11,5,53,+12.04,3.0
1981 Belgian Grand Prix 🇧🇪,1,6,1981-05-17,R,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,5,1,19,,0.0
1981 Brazilian Grand Prix 🇧🇷,1,3,1981-03-29,2,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,2,2,62,+4.44,6.0
1981 British Grand Prix 🇬🇧,2,7,1981-07-18,R,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,9,9,3,,0.0
1981 Caesars Palace Grand Prix 🇺🇸,8,2,1981-10-17,1,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,15,1,75,1:44:09.077,9.0
1981 Canadian Grand Prix 🇨🇦,10,3,1981-09-27,R,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,14,2,24,,0.0
1981 Dutch Grand Prix 🇳🇱,R,4,1981-08-30,3,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,12,5,72,+35.50,4.0
1981 French Grand Prix 🇫🇷,10,9,1981-07-05,17,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,8,7,76,,0.0
1981 German Grand Prix 🇩🇪,R,4,1981-08-02,11,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,10,3,44,,0.0
1981 Italian Grand Prix 🇮🇹,3,5,1981-09-13,2,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,13,2,52,+22.175,6.0
1981 Monaco Grand Prix 🇲🇨,R,7,1981-05-31,2,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,6,4,76,+39.91,6.0
1981 San Marino Grand Prix 🇮🇹,3,8,1981-05-03,12,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,4,2,58,,0.0
1981 Spanish Grand Prix 🇪🇸,4,2,1981-06-21,7,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,7,3,80,+56.58,0.0
1981 United States Grand Prix West 🇺🇸,2,2,1981-03-15,1,1981,Carlos Reutemann 🇦🇷,Williams 🇬🇧,1,3,80,1:50:41.33,9.0
1983 United States Grand Prix West 🇺🇸,5,12,1983-03-27,R,1983,Marc Surer 🇨🇭,Arrows 🇬🇧,2,16,58,,0.0
1986 Australian Grand Prix 🇦🇺,N,15,1986-10-26,R,1986,Patrick Tambay 🇫🇷,Lola 🇬🇧,16,17,16,,0.0
1986 Austrian Grand Prix 🇦🇹,5,16,1986-08-17,4,1986,Patrick Tambay 🇫🇷,Lola 🇬🇧,12,13,50,,3.0
1986 Belgian Grand Prix 🇧🇪,R,16,1986-05-25,11,1986,Patrick Tambay 🇫🇷,Lola 🇬🇧,5,10,40,,0.0
1986 Brazilian Grand Prix 🇧🇷,R,19,1986-03-23,R,1986,Patrick Tambay 🇫🇷,Lola 🇬🇧,1,13,5,,0.0
