name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1992 Australian Grand Prix 🇦🇺,R,26,1992-11-08,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,16,21,35,,0.0
1992 Belgian Grand Prix 🇧🇪,18,26,1992-08-30,17,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,12,20,42,,0.0
1992 Brazilian Grand Prix 🇧🇷,R,25,1992-04-05,9,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,3,18,68,,0.0
1992 British Grand Prix 🇬🇧,R,16,1992-07-12,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,9,11,27,,0.0
1992 Canadian Grand Prix 🇨🇦,D,11,1992-06-14,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,7,19,61,,0.0
1992 French Grand Prix 🇫🇷,R,18,1992-07-05,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,8,13,41,,0.0
1992 German Grand Prix 🇩🇪,14,16,1992-07-26,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,10,25,8,,0.0
1992 Hungarian Grand Prix 🇭🇺,R,20,1992-08-16,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,11,15,35,,0.0
1992 Italian Grand Prix 🇮🇹,R,23,1992-09-13,9,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,13,10,50,,0.0
1992 Japanese Grand Prix 🇯🇵,R,20,1992-10-25,11,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,15,18,52,,0.0
1992 Mexican Grand Prix 🇲🇽,11,24,1992-03-22,12,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,2,13,66,,0.0
1992 Monaco Grand Prix 🇲🇨,6,0,1992-05-31,F,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,6,15,0,,0.0
1992 Portuguese Grand Prix 🇵🇹,R,25,1992-09-27,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,14,13,46,,0.0
1992 San Marino Grand Prix 🇮🇹,R,17,1992-05-17,R,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,5,19,40,,0.0
1992 South African Grand Prix 🇿🇦,R,18,1992-03-01,12,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,1,22,68,,0.0
1992 Spanish Grand Prix 🇪🇸,R,0,1992-05-03,F,1992,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,4,24,0,,0.0
1993 Australian Grand Prix 🇦🇺,13,18,1993-11-07,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,16,15,11,,0.0
1993 Belgian Grand Prix 🇧🇪,R,23,1993-08-29,15,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,12,17,40,,0.0
1993 Brazilian Grand Prix 🇧🇷,R,22,1993-03-28,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,2,23,26,,0.0
1993 British Grand Prix 🇬🇧,N,22,1993-07-11,13,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,9,21,55,,0.0
1993 Canadian Grand Prix 🇨🇦,R,22,1993-06-13,17,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,7,19,64,,0.0
1993 European Grand Prix 🇬🇧,R,18,1993-04-11,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,3,25,11,,0.0
1993 French Grand Prix 🇫🇷,15,24,1993-07-04,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,8,25,16,,0.0
1993 German Grand Prix 🇩🇪,R,21,1993-07-25,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,10,19,28,,0.0
1993 Hungarian Grand Prix 🇭🇺,11,23,1993-08-15,10,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,11,22,73,,0.0
1993 Italian Grand Prix 🇮🇹,13,17,1993-09-12,14,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,13,18,47,,0.0
1993 Japanese Grand Prix 🇯🇵,R,24,1993-10-24,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,15,18,26,,0.0
1993 Monaco Grand Prix 🇲🇨,10,22,1993-05-23,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,6,19,31,,0.0
1993 Portuguese Grand Prix 🇵🇹,12,21,1993-09-26,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,14,17,12,,0.0
1993 San Marino Grand Prix 🇮🇹,R,22,1993-04-25,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,4,18,22,,0.0
1993 South African Grand Prix 🇿🇦,R,21,1993-03-14,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,1,23,1,,0.0
1993 Spanish Grand Prix 🇪🇸,D,23,1993-05-09,R,1993,Andrea de Cesaris 🇮🇹,Tyrrell 🇬🇧,5,24,11,,0.0
1994 Australian Grand Prix 🇦🇺,R,15,1994-11-13,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,16,13,19,,0.0
1994 Belgian Grand Prix 🇧🇪,5,23,1994-08-28,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,11,12,18,,0.0
1994 Brazilian Grand Prix 🇧🇷,R,10,1994-03-27,5,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,1,12,69,,2.0
1994 British Grand Prix 🇬🇧,R,8,1994-07-10,6,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,8,11,59,,1.0
1994 Canadian Grand Prix 🇨🇦,10,9,1994-06-12,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,6,13,44,,0.0
1994 European Grand Prix 🇪🇸,13,13,1994-10-16,7,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,14,14,68,,0.0
1994 French Grand Prix 🇫🇷,10,14,1994-07-03,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,7,17,53,,0.0
1994 German Grand Prix 🇩🇪,R,5,1994-07-31,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,9,7,6,,0.0
1994 Hungarian Grand Prix 🇭🇺,5,5,1994-08-14,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,10,11,0,,0.0
1994 Italian Grand Prix 🇮🇹,R,14,1994-09-11,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,12,21,45,,0.0
1994 Japanese Grand Prix 🇯🇵,R,14,1994-11-06,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,15,13,3,,0.0
1994 Monaco Grand Prix 🇲🇨,R,11,1994-05-15,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,4,10,38,,0.0
1994 Pacific Grand Prix 🇯🇵,R,14,1994-04-17,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,2,12,42,,0.0
1994 Portuguese Grand Prix 🇵🇹,R,6,1994-09-25,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,13,12,26,,0.0
1994 San Marino Grand Prix 🇮🇹,9,9,1994-05-01,5,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,3,12,57,,2.0
1994 Spanish Grand Prix 🇪🇸,3,10,1994-05-29,R,1994,Mark Blundell 🇬🇧,Tyrrell 🇬🇧,5,11,16,,0.0
1995 Argentine Grand Prix 🇦🇷,R,15,1995-04-09,8,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,2,7,69,,0.0
1995 Australian Grand Prix 🇦🇺,5,16,1995-11-12,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,17,14,70,,0.0
1995 Belgian Grand Prix 🇧🇪,8,15,1995-08-27,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,11,11,28,,0.0
1995 Brazilian Grand Prix 🇧🇷,7,11,1995-03-26,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,1,12,15,,0.0
1995 British Grand Prix 🇬🇧,8,14,1995-07-16,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,8,23,22,,0.0
1995 Canadian Grand Prix 🇨🇦,7,16,1995-06-11,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,6,15,42,,0.0
1995 French Grand Prix 🇫🇷,15,19,1995-07-02,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,7,14,0,,0.0
1995 German Grand Prix 🇩🇪,R,17,1995-07-30,7,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,9,13,44,,0.0
1995 Hungarian Grand Prix 🇭🇺,R,17,1995-08-13,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,10,16,46,,0.0
1995 Italian Grand Prix 🇮🇹,5,17,1995-09-10,10,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,12,16,47,,0.0
1995 Japanese Grand Prix 🇯🇵,6,13,1995-10-29,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,16,12,12,,0.0
1995 Monaco Grand Prix 🇲🇨,R,15,1995-05-28,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,5,17,26,,0.0
1995 Pacific Grand Prix 🇯🇵,12,17,1995-10-22,14,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,15,18,80,,0.0
1995 Portuguese Grand Prix 🇵🇹,13,16,1995-09-24,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,13,15,0,,0.0
1995 San Marino Grand Prix 🇮🇹,R,15,1995-04-30,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,3,13,23,,0.0
1995 Spanish Grand Prix 🇪🇸,10,17,1995-05-14,R,1995,Mika Salo 🇫🇮,Tyrrell 🇬🇧,4,13,56,,0.0
1996 Argentine Grand Prix 🇦🇷,R,13,1996-04-07,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,3,16,28,,0.0
1996 Australian Grand Prix 🇦🇺,6,15,1996-03-10,11,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,1,10,55,,0.0
1996 Belgian Grand Prix 🇧🇪,7,17,1996-08-25,8,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,13,13,44,+100.227,0.0
1996 Brazilian Grand Prix 🇧🇷,5,16,1996-03-31,9,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,2,11,69,,0.0
1996 British Grand Prix 🇬🇧,7,12,1996-07-14,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,10,14,12,,0.0
1996 Canadian Grand Prix 🇨🇦,R,17,1996-06-16,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,8,14,6,,0.0
1996 European Grand Prix 🇩🇪,D,16,1996-04-28,D,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,4,14,65,,0.0
1996 French Grand Prix 🇫🇷,10,14,1996-06-30,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,9,13,33,,0.0
1996 German Grand Prix 🇩🇪,9,16,1996-07-28,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,11,15,19,,0.0
1996 Hungarian Grand Prix 🇭🇺,R,14,1996-08-11,7,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,12,16,74,,0.0
1996 Italian Grand Prix 🇮🇹,R,16,1996-09-08,10,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,14,17,51,,0.0
1996 Japanese Grand Prix 🇯🇵,R,14,1996-10-13,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,16,15,37,,0.0
1996 Monaco Grand Prix 🇲🇨,5,15,1996-05-19,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,6,11,2,,0.0
1996 Portuguese Grand Prix 🇵🇹,11,14,1996-09-22,12,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,15,13,68,,0.0
1996 San Marino Grand Prix 🇮🇹,R,16,1996-05-05,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,5,8,45,,0.0
1996 Spanish Grand Prix 🇪🇸,D,16,1996-06-02,R,1996,Mika Salo 🇫🇮,Tyrrell 🇬🇧,7,12,8,,0.0
1997 Argentine Grand Prix 🇦🇷,9,21,1997-04-13,R,1997,Jarno Trulli 🇮🇹,Minardi 🇮🇹,3,18,37,,0.0
1997 Australian Grand Prix 🇦🇺,9,15,1997-03-09,R,1997,Jarno Trulli 🇮🇹,Minardi 🇮🇹,1,17,32,,0.0
1997 Austrian Grand Prix 🇦🇹,E,19,1997-09-21,11,1997,Tarso Marques 🇧🇷,Minardi 🇮🇹,14,0,69,,0.0
1997 Belgian Grand Prix 🇧🇪,R,20,1997-08-24,14,1997,Tarso Marques 🇧🇷,Minardi 🇮🇹,12,22,42,,0.0
