name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1977 Austrian Grand Prix 🇦🇹,F,20,1977-08-14,7,1977,Hector Rebaque 🇲🇽,Hesketh 🇬🇧,12,0,53,,0.0
1977 Austrian Grand Prix 🇦🇹,F,20,1977-08-14,7,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,12,0,53,,0.0
1977 Belgian Grand Prix 🇧🇪,F,19,1977-06-05,R,1977,Hector Rebaque 🇲🇽,Hesketh 🇬🇧,7,0,14,,0.0
1977 Belgian Grand Prix 🇧🇪,9,19,1977-06-05,R,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,7,25,14,,0.0
1977 Canadian Grand Prix 🇨🇦,W,25,1977-10-09,R,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,16,0,32,,0.0
1977 Dutch Grand Prix 🇳🇱,F,26,1977-08-28,R,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,13,0,8,,0.0
1977 Dutch Grand Prix 🇳🇱,F,26,1977-08-28,R,1977,Hector Rebaque 🇲🇽,Hesketh 🇬🇧,13,0,8,,0.0
1977 French Grand Prix 🇫🇷,F,14,1977-07-03,10,1977,Hector Rebaque 🇲🇽,Hesketh 🇬🇧,9,0,78,,0.0
1977 French Grand Prix 🇫🇷,F,14,1977-07-03,10,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,9,0,78,,0.0
1977 German Grand Prix 🇩🇪,R,23,1977-07-31,R,1977,Hector Rebaque 🇲🇽,Hesketh 🇬🇧,11,24,40,,0.0
1977 Italian Grand Prix 🇮🇹,F,23,1977-09-11,9,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,14,0,48,,0.0
1977 Monaco Grand Prix 🇲🇨,F,20,1977-05-22,12,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,6,0,73,,0.0
1977 Spanish Grand Prix 🇪🇸,R,16,1977-05-08,R,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,5,10,32,,0.0
1977 Swedish Grand Prix 🇸🇪,16,24,1977-06-19,13,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,8,23,71,,0.0
1977 Swedish Grand Prix 🇸🇪,F,24,1977-06-19,13,1977,Hector Rebaque 🇲🇽,Hesketh 🇬🇧,8,0,71,,0.0
1977 United States Grand Prix 🇺🇸,17,20,1977-10-02,8,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,15,22,58,,0.0
1978 Argentine Grand Prix 🇦🇷,18,19,1978-01-15,R,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,1,12,4,,0.0
1978 Austrian Grand Prix 🇦🇹,6,0,1978-08-13,F,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,12,21,0,,0.0
1978 Belgian Grand Prix 🇧🇪,13,0,1978-05-21,F,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,6,12,0,,0.0
1978 Brazilian Grand Prix 🇧🇷,F,24,1978-01-29,R,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,2,0,5,,0.0
1978 British Grand Prix 🇬🇧,9,0,1978-07-16,F,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,10,25,0,,0.0
1978 Dutch Grand Prix 🇳🇱,D,0,1978-08-27,W,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,13,22,0,,0.0
1978 French Grand Prix 🇫🇷,17,23,1978-07-02,R,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,9,19,40,,0.0
1978 German Grand Prix 🇩🇪,R,0,1978-07-30,F,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,11,20,0,,0.0
1978 Monaco Grand Prix 🇲🇨,F,18,1978-05-07,R,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,5,0,8,,0.0
1978 South African Grand Prix 🇿🇦,12,23,1978-03-04,R,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,3,19,52,,0.0
1978 Spanish Grand Prix 🇪🇸,7,23,1978-06-04,11,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,7,16,73,,0.0
1978 Swedish Grand Prix 🇸🇪,R,0,1978-06-17,F,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,8,18,0,,0.0
1978 United States Grand Prix West 🇺🇸,R,0,1978-04-02,W,1978,Vittorio Brambilla 🇮🇹,Surtees 🇬🇧,4,17,0,,0.0
1980 Austrian Grand Prix 🇦🇹,2,20,1980-08-17,15,1980,Alan Jones 🇦🇺,Williams 🇬🇧,10,3,52,,0.0
1980 Austrian Grand Prix 🇦🇹,3,20,1980-08-17,15,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,10,4,52,,0.0
1980 British Grand Prix 🇬🇧,1,18,1980-07-13,11,1980,Alan Jones 🇦🇺,Williams 🇬🇧,8,3,73,,0.0
1980 British Grand Prix 🇬🇧,F,18,1980-07-13,11,1980,Desiré Wilson 🇿🇦,Williams 🇬🇧,8,0,73,,0.0
1980 British Grand Prix 🇬🇧,3,18,1980-07-13,11,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,8,4,73,,0.0
1980 Canadian Grand Prix 🇨🇦,F,0,1980-09-28,F,1980,Kevin Cogan 🇺🇸,Williams 🇬🇧,13,0,0,,0.0
1980 Canadian Grand Prix 🇨🇦,1,0,1980-09-28,F,1980,Alan Jones 🇦🇺,Williams 🇬🇧,13,2,0,,0.0
1980 Canadian Grand Prix 🇨🇦,2,0,1980-09-28,F,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,13,5,0,,0.0
1980 Dutch Grand Prix 🇳🇱,11,0,1980-08-31,F,1980,Alan Jones 🇦🇺,Williams 🇬🇧,11,4,0,,0.0
1980 Dutch Grand Prix 🇳🇱,4,0,1980-08-31,F,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,11,3,0,,0.0
1980 German Grand Prix 🇩🇪,3,0,1980-08-10,F,1980,Alan Jones 🇦🇺,Williams 🇬🇧,9,1,0,,0.0
1980 German Grand Prix 🇩🇪,2,0,1980-08-10,F,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,9,4,0,,0.0
1980 Italian Grand Prix 🇮🇹,2,21,1980-09-14,11,1980,Alan Jones 🇦🇺,Williams 🇬🇧,12,6,58,,0.0
1980 Italian Grand Prix 🇮🇹,3,21,1980-09-14,11,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,12,3,58,,0.0
1980 United States Grand Prix 🇺🇸,F,15,1980-10-05,9,1980,Geoff Lees 🇬🇧,Williams 🇬🇧,14,0,57,,0.0
1980 United States Grand Prix 🇺🇸,2,15,1980-10-05,9,1980,Carlos Reutemann 🇦🇷,Williams 🇬🇧,14,3,57,,0.0
1980 United States Grand Prix 🇺🇸,1,15,1980-10-05,9,1980,Alan Jones 🇦🇺,Williams 🇬🇧,14,5,57,,0.0
1982 Austrian Grand Prix 🇦🇹,F,24,1982-08-15,R,1982,Raul Boesel 🇧🇷,March 🇬🇧,13,0,1,,0.0
1982 Caesars Palace Grand Prix 🇺🇸,13,25,1982-09-25,12,1982,Raul Boesel 🇧🇷,March 🇬🇧,16,24,73,,0.0
1982 German Grand Prix 🇩🇪,R,0,1982-08-08,F,1982,Raul Boesel 🇧🇷,March 🇬🇧,12,24,0,,0.0
1982 Italian Grand Prix 🇮🇹,F,0,1982-09-12,F,1982,Raul Boesel 🇧🇷,March 🇬🇧,15,0,0,,0.0
1982 Swiss Grand Prix 🇫🇷,R,22,1982-08-29,R,1982,Raul Boesel 🇧🇷,March 🇬🇧,14,24,25,,0.0
