name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2004 Australian Grand Prix 🇦🇺,R,19,2004-03-07T00:00:00.000Z,11,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,1,6,56,,0.0
2004 Bahrain Grand Prix 🇧🇭,8,12,2004-04-04T00:00:00.000Z,14,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,3,14,56,,0.0
2004 Belgian Grand Prix 🇧🇪,R,13,2004-08-29T00:00:00.000Z,6,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,14,7,44,+14.614,3.0
2004 Brazilian Grand Prix 🇧🇷,R,15,2004-10-24T00:00:00.000Z,14,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,18,11,69,,0.0
2004 British Grand Prix 🇬🇧,8,13,2004-07-11T00:00:00.000Z,14,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,11,9,59,,0.0
2004 Canadian Grand Prix 🇨🇦,R,10,2004-06-13T00:00:00.000Z,9,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,8,14,67,,0.0
2004 Chinese Grand Prix 🇨🇳,10,15,2004-09-26T00:00:00.000Z,R,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,16,11,11,,0.0
2004 European Grand Prix 🇩🇪,7,12,2004-05-30T00:00:00.000Z,12,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,7,14,59,,0.0
2004 French Grand Prix 🇫🇷,9,13,2004-07-04T00:00:00.000Z,11,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,10,12,69,,0.0
2004 German Grand Prix 🇩🇪,6,12,2004-07-25T00:00:00.000Z,10,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,12,11,66,+1:08.578,0.0
2004 Hungarian Grand Prix 🇭🇺,10,14,2004-08-15T00:00:00.000Z,13,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,13,11,68,,0.0
2004 Italian Grand Prix 🇮🇹,9,14,2004-09-12T00:00:00.000Z,13,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,15,12,52,,0.0
2004 Japanese Grand Prix 🇯🇵,R,14,2004-10-10T00:00:00.000Z,12,2004,Mark Webber 🇦🇺,Jaguar 🇬🇧,17,3,52,,0.0
