name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2014 Abu Dhabi Grand Prix 🇦🇪,12,5,2014-11-23,R,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,19,10,14,,0.0
2014 Australian Grand Prix 🇦🇺,8,8,2014-03-16,9,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,1,6,57,+1:03.585,2.0
2014 Austrian Grand Prix 🇦🇹,R,7,2014-06-22,R,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,8,14,24,,0.0
2014 Bahrain Grand Prix 🇧🇭,R,12,2014-04-06,11,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,3,14,57,+41.342,0.0
2014 Belgian Grand Prix 🇧🇪,11,11,2014-08-24,9,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,12,12,44,+1:05.347,2.0
2014 Brazilian Grand Prix 🇧🇷,13,17,2014-11-09,11,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,18,15,70,,0.0
2014 British Grand Prix 🇬🇧,10,9,2014-07-06,9,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,9,10,52,+1:29.340,2.0
2014 Canadian Grand Prix 🇨🇦,8,15,2014-06-08,R,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,7,8,47,,0.0
2014 Chinese Grand Prix 🇨🇳,12,13,2014-04-20,10,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,4,9,53,,1.0
2014 German Grand Prix 🇩🇪,13,8,2014-07-20,R,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,10,13,44,,0.0
2014 Hungarian Grand Prix 🇭🇺,9,10,2014-07-27,14,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,11,8,69,,0.0
2014 Italian Grand Prix 🇮🇹,13,21,2014-09-07,11,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,13,12,53,+1:11.184,0.0
2014 Japanese Grand Prix 🇯🇵,9,12,2014-10-05,11,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,15,20,43,,0.0
2014 Malaysian Grand Prix 🇲🇾,R,11,2014-03-30,10,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,2,9,55,,1.0
2014 Monaco Grand Prix 🇲🇨,R,9,2014-05-25,R,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,6,7,10,,0.0
2014 Russian Grand Prix 🇷🇺,13,5,2014-10-12,14,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,16,9,52,,0.0
2014 Singapore Grand Prix 🇸🇬,6,10,2014-09-21,14,2014,Jean-Éric Vergne 🇫🇷,Toro Rosso 🇮🇹,14,12,60,+1:12.008,0.0
