name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1993 Australian Grand Prix 🇦🇺,R,23,1993-11-07,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,16,20,0,,0.0
1993 Italian Grand Prix 🇮🇹,R,26,1993-09-12,11,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,13,7,49,,0.0
1993 Japanese Grand Prix 🇯🇵,11,20,1993-10-24,13,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,15,19,49,,0.0
1993 Portuguese Grand Prix 🇵🇹,R,18,1993-09-26,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,14,14,61,,0.0
1994 Brazilian Grand Prix 🇧🇷,7,24,1994-03-27,10,1994,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,1,21,68,,0.0
1994 Monaco Grand Prix 🇲🇨,R,19,1994-05-15,11,1994,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,4,16,73,,0.0
1994 Pacific Grand Prix 🇯🇵,7,24,1994-04-17,8,1994,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,2,23,79,,0.0
1994 San Marino Grand Prix 🇮🇹,10,22,1994-05-01,R,1994,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,3,20,0,,0.0
1995 Australian Grand Prix 🇦🇺,W,17,1995-11-12,6,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,17,15,78,,1.0
1995 Belgian Grand Prix 🇧🇪,R,17,1995-08-27,10,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,11,19,44,+1:19.789,0.0
1995 European Grand Prix 🇩🇪,11,16,1995-10-01,9,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,14,18,64,,0.0
1995 Hungarian Grand Prix 🇭🇺,8,15,1995-08-13,9,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,10,12,74,,0.0
1995 Italian Grand Prix 🇮🇹,R,19,1995-09-10,R,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,12,18,0,,0.0
1995 Japanese Grand Prix 🇯🇵,9,16,1995-10-29,11,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,16,17,51,,0.0
1995 Pacific Grand Prix 🇯🇵,15,14,1995-10-22,13,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,15,16,80,,0.0
1995 Portuguese Grand Prix 🇵🇹,14,17,1995-09-24,R,1995,Luca Badoer 🇮🇹,Minardi 🇮🇹,13,18,7,,0.0
1996 Argentine Grand Prix 🇦🇷,R,19,1996-04-07,R,1996,Tarso Marques 🇧🇷,Minardi 🇮🇹,3,14,39,,0.0
1996 Australian Grand Prix 🇦🇺,R,17,1996-03-10,R,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,1,16,42,,0.0
1996 Belgian Grand Prix 🇧🇪,F,19,1996-08-25,10,1996,Giovanni Lavaggi 🇮🇹,Minardi 🇮🇹,13,0,43,,0.0
1996 Brazilian Grand Prix 🇧🇷,R,18,1996-03-31,10,1996,Tarso Marques 🇧🇷,Minardi 🇮🇹,2,21,68,,0.0
1996 British Grand Prix 🇬🇧,11,19,1996-07-14,R,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,10,18,21,,0.0
1996 Canadian Grand Prix 🇨🇦,8,19,1996-06-16,R,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,8,16,44,,0.0
1996 European Grand Prix 🇩🇪,13,19,1996-04-28,12,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,4,18,65,,0.0
1996 French Grand Prix 🇫🇷,R,18,1996-06-30,12,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,9,17,69,,0.0
1996 German Grand Prix 🇩🇪,F,18,1996-07-28,12,1996,Giovanni Lavaggi 🇮🇹,Minardi 🇮🇹,11,0,43,,0.0
1996 Hungarian Grand Prix 🇭🇺,10,19,1996-08-11,R,1996,Giovanni Lavaggi 🇮🇹,Minardi 🇮🇹,12,20,24,,0.0
1996 Italian Grand Prix 🇮🇹,R,18,1996-09-08,R,1996,Giovanni Lavaggi 🇮🇹,Minardi 🇮🇹,14,20,12,,0.0
1996 Japanese Grand Prix 🇯🇵,F,18,1996-10-13,12,1996,Giovanni Lavaggi 🇮🇹,Minardi 🇮🇹,16,20,50,,0.0
1996 Monaco Grand Prix 🇲🇨,R,19,1996-05-19,R,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,6,18,0,,0.0
1996 Portuguese Grand Prix 🇵🇹,15,19,1996-09-22,16,1996,Giovanni Lavaggi 🇮🇹,Minardi 🇮🇹,15,20,65,,0.0
1996 San Marino Grand Prix 🇮🇹,R,18,1996-05-05,9,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,5,19,61,,0.0
1996 Spanish Grand Prix 🇪🇸,R,18,1996-06-02,R,1996,Giancarlo Fisichella 🇮🇹,Minardi 🇮🇹,7,19,0,,0.0
