name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1953 Swiss Grand Prix 🇨🇭,4,11,1953-08-23,5,1953,Juan Fangio 🇦🇷,Maserati 🇮🇹,8,1,62,,2.0
1953 Swiss Grand Prix 🇨🇭,R,11,1953-08-23,5,1953,Chico Landi 🇧🇷,Maserati 🇮🇹,8,20,62,,2.0
1953 Swiss Grand Prix 🇨🇭,R,11,1953-08-23,5,1953,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,8,8,62,,2.0
1953 Swiss Grand Prix 🇨🇭,R,11,1953-08-23,5,1953,Onofre Marimón 🇦🇷,Maserati 🇮🇹,8,5,62,,2.0
1953 Swiss Grand Prix 🇨🇭,R,11,1953-08-23,5,1953,Felice Bonetto 🇮🇹,Maserati 🇮🇹,8,10,62,,2.0
1953 Swiss Grand Prix 🇨🇭,4,11,1953-08-23,5,1953,Felice Bonetto 🇮🇹,Maserati 🇮🇹,8,1,62,,2.0
1953 Swiss Grand Prix 🇨🇭,R,11,1953-08-23,5,1953,Juan Fangio 🇦🇷,Maserati 🇮🇹,8,10,62,,2.0
1954 German Grand Prix 🇩🇪,1,13,1954-08-01,R,1954,Juan Fangio 🇦🇷,Mercedes 🇩🇪,6,1,10,,0.0
1954 German Grand Prix 🇩🇪,4,13,1954-08-01,R,1954,Karl Kling 🇩🇪,Mercedes 🇩🇪,6,23,10,,0.0
1954 German Grand Prix 🇩🇪,R,13,1954-08-01,R,1954,Hans Herrmann 🇩🇪,Mercedes 🇩🇪,6,4,10,,0.0
