name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1987 Italian Grand Prix 🇮🇹,11,0,0,Williams 🇬🇧,1987-09-06,F,,1987,Nelson Piquet 🇧🇷
1987 Spanish Grand Prix 🇪🇸,13,26,8,Williams 🇬🇧,1987-09-27,R,,1987,Nigel Mansell 🇬🇧
1988 Australian Grand Prix 🇦🇺,16,0,0,McLaren 🇬🇧,1988-11-13,F,,1988,Alain Prost 🇫🇷
1988 Belgian Grand Prix 🇧🇪,11,26,14,McLaren 🇬🇧,1988-08-28,R,,1988,Ayrton Senna 🇧🇷
1988 Brazilian Grand Prix 🇧🇷,1,0,0,McLaren 🇬🇧,1988-04-03,F,,1988,Alain Prost 🇫🇷
1988 British Grand Prix 🇬🇧,8,26,60,McLaren 🇬🇧,1988-07-10,19,,1988,Ayrton Senna 🇧🇷
1988 Canadian Grand Prix 🇨🇦,5,0,0,McLaren 🇬🇧,1988-06-12,F,,1988,Ayrton Senna 🇧🇷
1988 Detroit Grand Prix 🇺🇸,6,26,7,McLaren 🇬🇧,1988-06-19,R,,1988,Ayrton Senna 🇧🇷
1988 French Grand Prix 🇫🇷,7,24,56,McLaren 🇬🇧,1988-07-03,R,,1988,Alain Prost 🇫🇷
1988 German Grand Prix 🇩🇪,9,18,27,McLaren 🇬🇧,1988-07-24,R,,1988,Ayrton Senna 🇧🇷
1988 Hungarian Grand Prix 🇭🇺,10,0,0,McLaren 🇬🇧,1988-08-07,F,,1988,Ayrton Senna 🇧🇷
1988 Italian Grand Prix 🇮🇹,12,17,2,Ferrari 🇮🇹,1988-09-11,R,,1988,Gerhard Berger 🇦🇹
1988 Japanese Grand Prix 🇯🇵,15,24,34,McLaren 🇬🇧,1988-10-30,R,,1988,Ayrton Senna 🇧🇷
1988 Mexican Grand Prix 🇲🇽,4,0,0,McLaren 🇬🇧,1988-05-29,F,,1988,Alain Prost 🇫🇷
1988 Monaco Grand Prix 🇲🇨,3,25,75,McLaren 🇬🇧,1988-05-15,9,,1988,Alain Prost 🇫🇷
1988 Portuguese Grand Prix 🇵🇹,13,25,63,McLaren 🇬🇧,1988-09-25,12,,1988,Alain Prost 🇫🇷
1988 San Marino Grand Prix 🇮🇹,2,0,0,McLaren 🇬🇧,1988-05-01,D,,1988,Ayrton Senna 🇧🇷
1988 Spanish Grand Prix 🇪🇸,14,14,9,McLaren 🇬🇧,1988-10-02,R,,1988,Alain Prost 🇫🇷
1989 Australian Grand Prix 🇦🇺,16,11,0,Williams 🇬🇧,1989-11-05,R,,1989,Thierry Boutsen 🇧🇪
1989 Belgian Grand Prix 🇧🇪,11,0,0,McLaren 🇬🇧,1989-08-27,F,,1989,Ayrton Senna 🇧🇷
1989 Brazilian Grand Prix 🇧🇷,1,19,10,Ferrari 🇮🇹,1989-03-26,D,,1989,Nigel Mansell 🇬🇧
1989 British Grand Prix 🇬🇧,8,17,23,McLaren 🇬🇧,1989-07-16,R,,1989,Alain Prost 🇫🇷
1989 Canadian Grand Prix 🇨🇦,6,15,33,Williams 🇬🇧,1989-06-18,R,,1989,Thierry Boutsen 🇧🇪
1989 French Grand Prix 🇫🇷,7,0,0,McLaren 🇬🇧,1989-07-09,F,,1989,Alain Prost 🇫🇷
1989 German Grand Prix 🇩🇪,9,0,0,McLaren 🇬🇧,1989-07-30,F,,1989,Ayrton Senna 🇧🇷
1989 Hungarian Grand Prix 🇭🇺,10,0,0,Ferrari 🇮🇹,1989-08-13,F,,1989,Nigel Mansell 🇬🇧
1989 Italian Grand Prix 🇮🇹,12,24,16,McLaren 🇬🇧,1989-09-10,R,,1989,Alain Prost 🇫🇷
1989 Japanese Grand Prix 🇯🇵,15,10,21,Benetton 🇮🇹,1989-10-22,R,,1989,Alessandro Nannini 🇮🇹
1989 Mexican Grand Prix 🇲🇽,4,0,0,McLaren 🇬🇧,1989-05-28,F,,1989,Ayrton Senna 🇧🇷
1989 Monaco Grand Prix 🇲🇨,3,0,0,McLaren 🇬🇧,1989-05-07,F,,1989,Ayrton Senna 🇧🇷
1989 Portuguese Grand Prix 🇵🇹,13,0,0,Ferrari 🇮🇹,1989-09-24,F,,1989,Gerhard Berger 🇦🇹
1989 San Marino Grand Prix 🇮🇹,2,14,52,McLaren 🇬🇧,1989-04-23,12,,1989,Ayrton Senna 🇧🇷
1989 Spanish Grand Prix 🇪🇸,14,11,6,McLaren 🇬🇧,1989-10-01,R,,1989,Ayrton Senna 🇧🇷
1989 United States Grand Prix 🇺🇸,5,0,0,McLaren 🇬🇧,1989-06-04,F,,1989,Alain Prost 🇫🇷
1990 Australian Grand Prix 🇦🇺,16,12,79,Benetton 🇮🇹,1990-11-04,10,,1990,Nelson Piquet 🇧🇷
1990 Belgian Grand Prix 🇧🇪,11,21,42,McLaren 🇬🇧,1990-08-26,14,,1990,Ayrton Senna 🇧🇷
