name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1995 Belgian Grand Prix 🇧🇪,11,23,27,Benetton 🇮🇹,1995-08-27,R,,1995,Michael Schumacher 🇩🇪
1995 German Grand Prix 🇩🇪,9,24,27,Benetton 🇮🇹,1995-07-30,R,,1995,Michael Schumacher 🇩🇪
1995 Hungarian Grand Prix 🇭🇺,10,24,5,Williams 🇬🇧,1995-08-13,R,,1995,Damon Hill 🇬🇧
1995 Italian Grand Prix 🇮🇹,12,24,6,Benetton 🇮🇹,1995-09-10,R,,1995,Johnny Herbert 🇬🇧
1996 Belgian Grand Prix 🇧🇪,13,0,0,Ferrari 🇮🇹,1996-08-25,F,,1996,Michael Schumacher 🇩🇪
1996 German Grand Prix 🇩🇪,11,0,0,Williams 🇬🇧,1996-07-28,F,,1996,Damon Hill 🇬🇧
1996 Hungarian Grand Prix 🇭🇺,12,20,69,Williams 🇬🇧,1996-08-11,10,,1996,Jacques Villeneuve 🇨🇦
1996 Italian Grand Prix 🇮🇹,14,20,5,Ferrari 🇮🇹,1996-09-08,R,,1996,Michael Schumacher 🇩🇪
1996 Japanese Grand Prix 🇯🇵,16,20,0,Williams 🇬🇧,1996-10-13,F,,1996,Damon Hill 🇬🇧
1996 Portuguese Grand Prix 🇵🇹,15,20,65,Williams 🇬🇧,1996-09-22,15,,1996,Jacques Villeneuve 🇨🇦
