name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1957 British Grand Prix 🇬🇧,R,6,1957-07-20T00:00:00.000Z,7,1957,Tony Brooks 🇬🇧,Vanwall 🇬🇧,5,1,82,,0.0
1957 British Grand Prix 🇬🇧,1,6,1957-07-20T00:00:00.000Z,7,1957,Stirling Moss 🇬🇧,Vanwall 🇬🇧,5,3,82,,0.0
1957 British Grand Prix 🇬🇧,R,6,1957-07-20T00:00:00.000Z,7,1957,Stirling Moss 🇬🇧,Vanwall 🇬🇧,5,1,82,,0.0
1957 British Grand Prix 🇬🇧,1,6,1957-07-20T00:00:00.000Z,7,1957,Tony Brooks 🇬🇧,Vanwall 🇬🇧,5,3,82,,0.0
1957 French Grand Prix 🇫🇷,R,10,1957-07-07T00:00:00.000Z,R,1957,Roy Salvadori 🇬🇧,Vanwall 🇬🇧,4,6,30,,0.0
1957 German Grand Prix 🇩🇪,9,9,1957-08-04T00:00:00.000Z,R,1957,Tony Brooks 🇬🇧,Vanwall 🇬🇧,6,5,10,,0.0
1957 German Grand Prix 🇩🇪,5,9,1957-08-04T00:00:00.000Z,R,1957,Stirling Moss 🇬🇧,Vanwall 🇬🇧,6,7,10,,0.0
1957 Italian Grand Prix 🇮🇹,7,1,1957-09-08T00:00:00.000Z,R,1957,Tony Brooks 🇬🇧,Vanwall 🇬🇧,8,3,49,,0.0
1957 Italian Grand Prix 🇮🇹,1,1,1957-09-08T00:00:00.000Z,R,1957,Stirling Moss 🇬🇧,Vanwall 🇬🇧,8,2,49,,0.0
1957 Monaco Grand Prix 🇲🇨,R,13,1957-05-19T00:00:00.000Z,4,1957,Ivor Bueb 🇬🇧,Connaught 🇬🇧,2,16,102,,3.0
1957 Pescara Grand Prix 🇮🇹,R,8,1957-08-18T00:00:00.000Z,5,1957,Tony Brooks 🇬🇧,Vanwall 🇬🇧,7,6,17,,2.0
1957 Pescara Grand Prix 🇮🇹,1,8,1957-08-18T00:00:00.000Z,5,1957,Stirling Moss 🇬🇧,Vanwall 🇬🇧,7,2,17,,2.0
1958 Belgian Grand Prix 🇧🇪,1,11,1958-06-15T00:00:00.000Z,3,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,5,5,24,+3:00.9,4.0
1958 Belgian Grand Prix 🇧🇪,R,11,1958-06-15T00:00:00.000Z,3,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,5,9,24,+3:00.9,4.0
1958 British Grand Prix 🇬🇧,7,7,1958-07-19T00:00:00.000Z,4,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,7,9,75,+50.8,3.0
1958 British Grand Prix 🇬🇧,R,7,1958-07-19T00:00:00.000Z,4,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,7,1,75,+50.8,3.0
1958 Dutch Grand Prix 🇳🇱,R,1,1958-05-26T00:00:00.000Z,R,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,3,3,46,,0.0
1958 Dutch Grand Prix 🇳🇱,1,1,1958-05-26T00:00:00.000Z,R,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,3,2,46,,0.0
1958 French Grand Prix 🇫🇷,R,10,1958-07-06T00:00:00.000Z,R,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,6,10,35,,0.0
1958 French Grand Prix 🇫🇷,R,10,1958-07-06T00:00:00.000Z,R,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,6,5,35,,0.0
1958 French Grand Prix 🇫🇷,2,10,1958-07-06T00:00:00.000Z,R,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,6,6,35,,0.0
1958 Italian Grand Prix 🇮🇹,R,4,1958-09-07T00:00:00.000Z,R,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,10,1,30,,0.0
1958 Italian Grand Prix 🇮🇹,1,4,1958-09-07T00:00:00.000Z,R,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,10,2,30,,0.0
1958 Monaco Grand Prix 🇲🇨,R,7,1958-05-18T00:00:00.000Z,R,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,2,1,11,,0.0
1958 Monaco Grand Prix 🇲🇨,R,7,1958-05-18T00:00:00.000Z,R,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,2,8,11,,0.0
1958 Moroccan Grand Prix 🇲🇦,R,3,1958-10-19T00:00:00.000Z,R,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,11,7,41,,0.0
1958 Moroccan Grand Prix 🇲🇦,1,3,1958-10-19T00:00:00.000Z,R,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,11,2,41,,0.0
1958 Portuguese Grand Prix 🇵🇹,R,3,1958-08-24T00:00:00.000Z,3,1958,Tony Brooks 🇬🇧,Vanwall 🇬🇧,9,5,49,,4.0
1958 Portuguese Grand Prix 🇵🇹,1,3,1958-08-24T00:00:00.000Z,3,1958,Stirling Moss 🇬🇧,Vanwall 🇬🇧,9,1,49,,4.0
