name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1961 Belgian Grand Prix 🇧🇪,R,13,1961-06-18T00:00:00.000Z,9,1961,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,3,15,29,,0.0
1961 Belgian Grand Prix 🇧🇪,R,13,1961-06-18T00:00:00.000Z,9,1961,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,3,11,29,,0.0
1961 Belgian Grand Prix 🇧🇪,10,13,1961-06-18T00:00:00.000Z,9,1961,Masten Gregory 🇺🇸,Cooper-Climax 🇬🇧,3,12,29,,0.0
1961 Belgian Grand Prix 🇧🇪,5,13,1961-06-18T00:00:00.000Z,9,1961,John Surtees 🇬🇧,Cooper-Climax 🇬🇧,3,4,29,,0.0
1961 British Grand Prix 🇬🇧,R,15,1961-07-15T00:00:00.000Z,R,1961,John Surtees 🇬🇧,Cooper-Climax 🇬🇧,5,10,7,,0.0
1961 British Grand Prix 🇬🇧,11,15,1961-07-15T00:00:00.000Z,R,1961,Masten Gregory 🇺🇸,Cooper-Climax 🇬🇧,5,16,7,,0.0
1961 British Grand Prix 🇬🇧,8,15,1961-07-15T00:00:00.000Z,R,1961,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,5,14,7,,0.0
1961 British Grand Prix 🇬🇧,6,15,1961-07-15T00:00:00.000Z,R,1961,Roy Salvadori 🇬🇧,Cooper-Climax 🇬🇧,5,13,7,,0.0
1961 British Grand Prix 🇬🇧,4,15,1961-07-15T00:00:00.000Z,R,1961,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,5,9,7,,0.0
1961 French Grand Prix 🇫🇷,R,18,1961-07-02T00:00:00.000Z,R,1961,John Surtees 🇬🇧,Cooper-Climax 🇬🇧,4,7,4,,0.0
1961 French Grand Prix 🇫🇷,R,18,1961-07-02T00:00:00.000Z,R,1961,Bernard Collomb 🇫🇷,Cooper-Climax 🇬🇧,4,21,4,,0.0
1961 French Grand Prix 🇫🇷,R,18,1961-07-02T00:00:00.000Z,R,1961,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,4,14,4,,0.0
1961 French Grand Prix 🇫🇷,12,18,1961-07-02T00:00:00.000Z,R,1961,Masten Gregory 🇺🇸,Cooper-Climax 🇬🇧,4,16,4,,0.0
1961 French Grand Prix 🇫🇷,8,18,1961-07-02T00:00:00.000Z,R,1961,Roy Salvadori 🇬🇧,Cooper-Climax 🇬🇧,4,15,4,,0.0
1961 French Grand Prix 🇫🇷,5,18,1961-07-02T00:00:00.000Z,R,1961,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,4,8,4,,0.0
1961 German Grand Prix 🇩🇪,W,18,1961-08-06T00:00:00.000Z,9,1961,Geoff Duke 🇬🇧,Cooper-Climax 🇬🇧,6,0,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,N,18,1961-08-06T00:00:00.000Z,9,1961,Bernard Collomb 🇫🇷,Cooper-Climax 🇬🇧,6,26,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,W,18,1961-08-06T00:00:00.000Z,9,1961,John Campbell-Jones 🇬🇧,Cooper-Climax 🇬🇧,6,0,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,W,18,1961-08-06T00:00:00.000Z,9,1961,Renato Pirocchi 🇮🇹,Cooper-Climax 🇬🇧,6,0,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,W,18,1961-08-06T00:00:00.000Z,9,1961,Masten Gregory 🇺🇸,Cooper-Climax 🇬🇧,6,0,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,R,18,1961-08-06T00:00:00.000Z,9,1961,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,6,2,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,12,18,1961-08-06T00:00:00.000Z,9,1961,Ian Burgess 🇬🇧,Cooper-Climax 🇬🇧,6,24,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,10,18,1961-08-06T00:00:00.000Z,9,1961,Roy Salvadori 🇬🇧,Cooper-Climax 🇬🇧,6,15,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,5,18,1961-08-06T00:00:00.000Z,9,1961,John Surtees 🇬🇧,Cooper-Climax 🇬🇧,6,10,15,+5:23.7,0.0
1961 German Grand Prix 🇩🇪,6,18,1961-08-06T00:00:00.000Z,9,1961,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,6,12,15,+5:23.7,0.0
1961 Italian Grand Prix 🇮🇹,W,16,1961-09-10T00:00:00.000Z,4,1961,Menato Boffa 🇮🇹,Cooper-Climax 🇬🇧,7,0,43,+2:40.4,3.0
1961 Italian Grand Prix 🇮🇹,W,16,1961-09-10T00:00:00.000Z,4,1961,Alfonso Thiele 🇺🇸,Cooper-Climax 🇬🇧,7,0,43,+2:40.4,3.0
1961 Italian Grand Prix 🇮🇹,3,16,1961-09-10T00:00:00.000Z,4,1961,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,7,14,43,+2:40.4,3.0
1961 Italian Grand Prix 🇮🇹,R,16,1961-09-10T00:00:00.000Z,4,1961,John Surtees 🇬🇧,Cooper-Climax 🇬🇧,7,19,43,+2:40.4,3.0
1961 Italian Grand Prix 🇮🇹,R,16,1961-09-10T00:00:00.000Z,4,1961,Jack Fairman 🇬🇧,Cooper-Climax 🇬🇧,7,26,43,+2:40.4,3.0
1961 Italian Grand Prix 🇮🇹,R,16,1961-09-10T00:00:00.000Z,4,1961,Jack Brabham 🇦🇺,Cooper-Climax 🇬🇧,7,10,43,+2:40.4,3.0
