name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1974 British Grand Prix 🇬🇧,11,0,1974-07-20,F,1974,John Watson 🇬🇧,Brabham 🇬🇧,10,13,0,,0.0
1974 British Grand Prix 🇬🇧,9,0,1974-07-20,F,1974,Carlos Pace 🇧🇷,Brabham 🇬🇧,10,20,0,,0.0
1974 British Grand Prix 🇬🇧,6,0,1974-07-20,F,1974,Carlos Reutemann 🇦🇷,Brabham 🇬🇧,10,4,0,,0.0
1975 Austrian Grand Prix 🇦🇹,1,21,1975-08-17,17,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,12,8,26,,0.0
1975 Austrian Grand Prix 🇦🇹,R,21,1975-08-17,17,1975,Hans-Joachim Stuck 🇩🇪,March 🇬🇧,12,4,26,,0.0
1975 Austrian Grand Prix 🇦🇹,W,21,1975-08-17,17,1975,Mark Donohue 🇺🇸,March 🇬🇧,12,20,26,,0.0
1975 Belgian Grand Prix 🇧🇪,R,17,1975-05-25,R,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,6,3,18,,0.0
1975 British Grand Prix 🇬🇧,R,22,1975-07-19,R,1975,Hans-Joachim Stuck 🇩🇪,March 🇬🇧,10,14,18,,0.0
1975 British Grand Prix 🇬🇧,6,22,1975-07-19,R,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,10,5,18,,0.0
1975 British Grand Prix 🇬🇧,5,22,1975-07-19,R,1975,Mark Donohue 🇺🇸,March 🇬🇧,10,15,18,,0.0
1975 Dutch Grand Prix 🇳🇱,R,23,1975-06-22,14,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,8,11,70,,0.0
1975 French Grand Prix 🇫🇷,R,26,1975-07-06,18,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,9,8,50,,0.0
1975 German Grand Prix 🇩🇪,R,25,1975-08-03,7,1975,Mark Donohue 🇺🇸,March 🇬🇧,11,19,14,+7:30.4,0.0
1975 German Grand Prix 🇩🇪,R,25,1975-08-03,7,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,11,11,14,+7:30.4,0.0
1975 German Grand Prix 🇩🇪,R,25,1975-08-03,7,1975,Hans-Joachim Stuck 🇩🇪,March 🇬🇧,11,7,14,+7:30.4,0.0
1975 Italian Grand Prix 🇮🇹,R,24,1975-09-07,R,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,13,9,21,,0.0
1975 Italian Grand Prix 🇮🇹,R,24,1975-09-07,R,1975,Hans-Joachim Stuck 🇩🇪,March 🇬🇧,13,16,21,,0.0
1975 Monaco Grand Prix 🇲🇨,R,0,1975-05-11,F,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,5,5,0,,0.0
1975 South African Grand Prix 🇿🇦,R,26,1975-03-01,R,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,3,7,23,,0.0
1975 Spanish Grand Prix 🇪🇸,5,24,1975-04-27,6,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,4,5,27,,0.5
1975 Swedish Grand Prix 🇸🇪,R,24,1975-06-08,R,1975,Vittorio Brambilla 🇮🇹,March 🇬🇧,7,1,10,,0.0
1975 United States Grand Prix 🇺🇸,W,24,1975-10-05,W,1975,Jacques Laffite 🇫🇷,Williams 🇬🇧,14,21,0,,0.0
1976 Austrian Grand Prix 🇦🇹,N,24,1976-08-15,12,1976,Loris Kessel 🇨🇭,Brabham-Ford 🇬🇧,11,25,50,,0.0
1976 Brazilian Grand Prix 🇧🇷,R,22,1976-01-25,14,1976,Vittorio Brambilla 🇮🇹,March 🇬🇧,1,7,36,,0.0
1976 Brazilian Grand Prix 🇧🇷,4,22,1976-01-25,14,1976,Hans-Joachim Stuck 🇩🇪,March 🇬🇧,1,14,36,,0.0
1976 British Grand Prix 🇬🇧,R,0,1976-07-18,F,1976,Bob Evans 🇬🇧,Brabham-Ford 🇬🇧,9,22,0,,0.0
