name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1959 Monaco Grand Prix 🇲🇨,1,0,0,Cooper-Climax 🇬🇧,1959-05-10,F,,1959,Jack Brabham 🇦🇺
1960 United States Grand Prix 🇺🇸,10,20,69,Team Lotus 🇬🇧,1960-11-20,11,,1960,Stirling Moss 🇬🇧
1969 Canadian Grand Prix 🇨🇦,9,16,81,Brabham-Ford 🇬🇧,1969-09-20,7,,1969,Jacky Ickx 🇧🇪
1969 Mexican Grand Prix 🇲🇽,11,16,62,McLaren-Ford 🇬🇧,1969-10-19,9,,1969,Denny Hulme 🇳🇿
1969 United States Grand Prix 🇺🇸,10,16,25,Lotus-Ford 🇬🇧,1969-10-05,R,,1969,Jochen Rindt 🇦🇹
1970 British Grand Prix 🇬🇧,7,23,69,Team Lotus 🇬🇧,1970-07-18,N,,1970,Jochen Rindt 🇦🇹
1970 Dutch Grand Prix 🇳🇱,5,0,0,Team Lotus 🇬🇧,1970-06-21,F,,1970,Jochen Rindt 🇦🇹
1970 French Grand Prix 🇫🇷,6,0,0,Team Lotus 🇬🇧,1970-07-05,F,,1970,Jochen Rindt 🇦🇹
1970 United States Grand Prix 🇺🇸,12,0,0,Team Lotus 🇬🇧,1970-10-04,F,,1970,Emerson Fittipaldi 🇧🇷
1971 Canadian Grand Prix 🇨🇦,10,25,55,Tyrrell 🇬🇧,1971-09-19,N,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,29,49,Tyrrell 🇬🇧,1971-10-03,N,,1971,François Cevert 🇫🇷
