name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1975 Austrian Grand Prix 🇦🇹,12,17,28,March 🇬🇧,1975-08-17,13,,1975,Vittorio Brambilla 🇮🇹
1975 Italian Grand Prix 🇮🇹,13,21,50,Ferrari 🇮🇹,1975-09-07,10,,1975,Clay Regazzoni 🇨🇭
1975 United States Grand Prix 🇺🇸,14,18,46,Ferrari 🇮🇹,1975-10-05,R,,1975,Niki Lauda 🇦🇹
1976 Austrian Grand Prix 🇦🇹,11,16,51,Penske 🇺🇸,1976-08-15,10,,1976,John Watson 🇬🇧
1976 Belgian Grand Prix 🇧🇪,5,26,62,Ferrari 🇮🇹,1976-05-16,R,,1976,Niki Lauda 🇦🇹
1976 British Grand Prix 🇬🇧,9,18,55,Ferrari 🇮🇹,1976-07-18,R,,1976,Niki Lauda 🇦🇹
1976 Canadian Grand Prix 🇨🇦,14,22,78,McLaren 🇬🇧,1976-10-03,15,,1976,James Hunt 🇬🇧
1976 French Grand Prix 🇫🇷,8,23,53,McLaren 🇬🇧,1976-07-04,16,,1976,James Hunt 🇬🇧
1976 German Grand Prix 🇩🇪,10,24,0,McLaren 🇬🇧,1976-08-01,R,,1976,James Hunt 🇬🇧
1976 Italian Grand Prix 🇮🇹,13,24,50,March 🇬🇧,1976-09-12,14,,1976,Ronnie Peterson 🇸🇪
1976 South African Grand Prix 🇿🇦,2,20,77,Ferrari 🇮🇹,1976-03-06,11,,1976,Niki Lauda 🇦🇹
1976 Spanish Grand Prix 🇪🇸,4,0,0,McLaren 🇬🇧,1976-05-02,F,,1976,James Hunt 🇬🇧
1976 Swedish Grand Prix 🇸🇪,7,24,70,Tyrrell 🇬🇧,1976-06-13,15,,1976,Jody Scheckter 🇿🇦
1976 United States Grand Prix West 🇺🇸,3,0,0,Ferrari 🇮🇹,1976-03-28,F,,1976,Clay Regazzoni 🇨🇭
1976 United States Grand Prix 🇺🇸,15,24,57,McLaren 🇬🇧,1976-10-10,11,,1976,James Hunt 🇬🇧
1977 Austrian Grand Prix 🇦🇹,12,17,53,Shadow 🇬🇧,1977-08-14,10,,1977,Alan Jones 🇦🇺
1977 British Grand Prix 🇬🇧,10,19,64,McLaren 🇬🇧,1977-07-16,13,,1977,James Hunt 🇬🇧
1977 Canadian Grand Prix 🇨🇦,16,20,76,Wolf 🇨🇦,1977-10-09,11,,1977,Jody Scheckter 🇿🇦
1977 Dutch Grand Prix 🇳🇱,13,20,73,Ferrari 🇮🇹,1977-08-28,9,,1977,Niki Lauda 🇦🇹
1977 French Grand Prix 🇫🇷,9,0,0,Team Lotus 🇬🇧,1977-07-03,F,,1977,Mario Andretti 🇺🇸
1977 German Grand Prix 🇩🇪,11,21,14,Ferrari 🇮🇹,1977-07-31,R,,1977,Niki Lauda 🇦🇹
1977 Italian Grand Prix 🇮🇹,14,19,4,Team Lotus 🇬🇧,1977-09-11,R,,1977,Mario Andretti 🇺🇸
1977 South African Grand Prix 🇿🇦,3,23,76,Ferrari 🇮🇹,1977-03-05,14,,1977,Niki Lauda 🇦🇹
1977 Spanish Grand Prix 🇪🇸,5,28,72,Team Lotus 🇬🇧,1977-05-08,10,,1977,Mario Andretti 🇺🇸
1977 Swedish Grand Prix 🇸🇪,8,22,71,Ligier 🇫🇷,1977-06-19,11,,1977,Jacques Laffite 🇫🇷
1977 United States Grand Prix West 🇺🇸,4,21,4,Team Lotus 🇬🇧,1977-04-03,R,,1977,Mario Andretti 🇺🇸
1977 United States Grand Prix 🇺🇸,15,17,57,McLaren 🇬🇧,1977-10-02,10,,1977,James Hunt 🇬🇧
1978 Argentine Grand Prix 🇦🇷,1,24,51,Team Lotus 🇬🇧,1978-01-15,13,,1978,Mario Andretti 🇺🇸
1978 Austrian Grand Prix 🇦🇹,12,17,52,Team Lotus 🇬🇧,1978-08-13,8,,1978,Ronnie Peterson 🇸🇪
1978 Belgian Grand Prix 🇧🇪,6,24,69,Team Lotus 🇬🇧,1978-05-21,7,,1978,Mario Andretti 🇺🇸
1978 Brazilian Grand Prix 🇧🇷,2,13,11,Ferrari 🇮🇹,1978-01-29,R,,1978,Carlos Reutemann 🇦🇷
1978 British Grand Prix 🇬🇧,10,24,75,Ferrari 🇮🇹,1978-07-16,8,,1978,Carlos Reutemann 🇦🇷
1978 Dutch Grand Prix 🇳🇱,13,21,35,Team Lotus 🇬🇧,1978-08-27,R,,1978,Mario Andretti 🇺🇸
1978 French Grand Prix 🇫🇷,9,24,45,Team Lotus 🇬🇧,1978-07-02,R,,1978,Mario Andretti 🇺🇸
1978 German Grand Prix 🇩🇪,11,0,0,Team Lotus 🇬🇧,1978-07-30,F,,1978,Mario Andretti 🇺🇸
1978 Italian Grand Prix 🇮🇹,14,21,0,Brabham 🇬🇧,1978-09-10,R,,1978,Niki Lauda 🇦🇹
1978 Monaco Grand Prix 🇲🇨,5,0,0,Tyrrell 🇬🇧,1978-05-07,F,,1978,Patrick Depailler 🇫🇷
1978 South African Grand Prix 🇿🇦,3,20,76,Team Lotus 🇬🇧,1978-03-04,11,,1978,Ronnie Peterson 🇸🇪
1978 Spanish Grand Prix 🇪🇸,7,0,0,Team Lotus 🇬🇧,1978-06-04,F,,1978,Mario Andretti 🇺🇸
1978 Swedish Grand Prix 🇸🇪,8,0,0,Brabham 🇬🇧,1978-06-17,F,,1978,Niki Lauda 🇦🇹
1978 United States Grand Prix West 🇺🇸,4,0,0,Ferrari 🇮🇹,1978-04-02,F,,1978,Carlos Reutemann 🇦🇷
1978 United States Grand Prix 🇺🇸,15,24,58,Ferrari 🇮🇹,1978-10-01,13,,1978,Carlos Reutemann 🇦🇷
