name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,5,17,69,,0.0
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Gerry Ashmore 🇬🇧,Lotus-Climax 🇬🇧,5,26,69,,0.0
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Tim Parnell 🇬🇧,Lotus-Climax 🇬🇧,5,29,69,,0.0
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Tony Marsh 🇬🇧,Lotus-Climax 🇬🇧,5,27,69,,0.0
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,5,5,69,,0.0
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Lucien Bianchi 🇧🇪,Lotus-Climax 🇬🇧,5,30,69,,0.0
1961 British Grand Prix 🇬🇧,R,24,1961-07-15,13,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,5,8,69,,0.0
1961 British Grand Prix 🇬🇧,17,24,1961-07-15,13,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,5,22,69,,0.0
1961 British Grand Prix 🇬🇧,14,24,1961-07-15,13,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,5,25,69,,0.0
1961 British Grand Prix 🇬🇧,10,24,1961-07-15,13,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,5,7,69,,0.0
1961 German Grand Prix 🇩🇪,W,22,1961-08-06,11,1961,Michael May 🇨🇭,Lotus-Climax 🇬🇧,6,0,14,,0.0
1961 German Grand Prix 🇩🇪,R,22,1961-08-06,11,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,6,6,14,,0.0
1961 German Grand Prix 🇩🇪,R,22,1961-08-06,11,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,6,23,14,,0.0
1961 German Grand Prix 🇩🇪,16,22,1961-08-06,11,1961,Gerry Ashmore 🇬🇧,Lotus-Climax 🇬🇧,6,25,14,,0.0
1961 German Grand Prix 🇩🇪,15,22,1961-08-06,11,1961,Tony Marsh 🇬🇧,Lotus-Climax 🇬🇧,6,20,14,,0.0
1961 German Grand Prix 🇩🇪,4,22,1961-08-06,11,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,6,8,14,,0.0
1961 German Grand Prix 🇩🇪,1,22,1961-08-06,11,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,6,3,14,,0.0
1962 Belgian Grand Prix 🇧🇪,R,10,1962-06-17,R,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,3,2,22,,0.0
1962 British Grand Prix 🇬🇧,3,13,1962-07-21,6,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,5,4,74,,1.0
1962 British Grand Prix 🇬🇧,10,13,1962-07-21,6,1962,Jackie Lewis 🇬🇧,Cooper-Climax 🇬🇧,5,15,74,,1.0
1962 British Grand Prix 🇬🇧,12,13,1962-07-21,6,1962,Ian Burgess 🇬🇧,Cooper-Climax 🇬🇧,5,16,74,,1.0
1962 Dutch Grand Prix 🇳🇱,8,15,1962-05-20,5,1962,Jackie Lewis 🇬🇧,Cooper-Climax 🇬🇧,1,7,78,,2.0
1962 Dutch Grand Prix 🇳🇱,R,15,1962-05-20,5,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,1,5,78,,2.0
1962 French Grand Prix 🇫🇷,W,11,1962-07-08,2,1962,Ian Burgess 🇬🇧,Cooper-Climax 🇬🇧,4,0,53,,6.0
1962 French Grand Prix 🇫🇷,4,11,1962-07-08,2,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,4,3,53,,6.0
1962 German Grand Prix 🇩🇪,R,23,1962-08-05,9,1962,Bernard Collomb 🇫🇷,Cooper-Climax 🇬🇧,6,22,15,+5:07.0,0.0
1962 German Grand Prix 🇩🇪,R,23,1962-08-05,9,1962,Jackie Lewis 🇬🇧,Cooper-Climax 🇬🇧,6,21,15,+5:07.0,0.0
1962 German Grand Prix 🇩🇪,11,23,1962-08-05,9,1962,Ian Burgess 🇬🇧,Cooper-Climax 🇬🇧,6,16,15,+5:07.0,0.0
1962 German Grand Prix 🇩🇪,5,23,1962-08-05,9,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,6,5,15,+5:07.0,0.0
1962 Italian Grand Prix 🇮🇹,F,12,1962-09-16,7,1962,Ian Burgess 🇬🇧,Cooper-Climax 🇬🇧,7,0,85,,0.0
1962 Italian Grand Prix 🇮🇹,3,12,1962-09-16,7,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,7,4,85,,0.0
1962 Monaco Grand Prix 🇲🇨,1,19,1962-06-03,R,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,2,3,43,,0.0
1962 South African Grand Prix 🇿🇦,8,6,1962-12-29,3,1962,John Love 🇿🇼,Cooper-Climax 🇬🇧,9,12,82,+50.3,4.0
1962 South African Grand Prix 🇿🇦,2,6,1962-12-29,3,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,9,8,82,+50.3,4.0
1962 United States Grand Prix 🇺🇸,R,10,1962-10-07,7,1962,Timmy Mayer 🇺🇸,Cooper-Climax 🇬🇧,8,12,97,,0.0
1962 United States Grand Prix 🇺🇸,11,10,1962-10-07,7,1962,Hap Sharp 🇺🇸,Cooper-Climax 🇬🇧,8,15,97,,0.0
1962 United States Grand Prix 🇺🇸,3,10,1962-10-07,7,1962,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,8,6,97,,0.0
1963 Belgian Grand Prix 🇧🇪,2,4,1963-06-09,7,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,2,5,27,,0.0
1963 Belgian Grand Prix 🇧🇪,5,4,1963-06-09,7,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,2,13,27,,0.0
1963 British Grand Prix 🇬🇧,R,7,1963-07-20,9,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,5,6,78,,0.0
1963 British Grand Prix 🇬🇧,R,7,1963-07-20,9,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,5,12,78,,0.0
1963 Dutch Grand Prix 🇳🇱,11,9,1963-06-23,R,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,3,8,14,,0.0
1963 Dutch Grand Prix 🇳🇱,R,9,1963-06-23,R,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,3,3,14,,0.0
1963 French Grand Prix 🇫🇷,N,8,1963-06-30,2,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,4,11,53,+1:04.9,6.0
1963 French Grand Prix 🇫🇷,12,8,1963-06-30,2,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,4,6,53,+1:04.9,6.0
1963 German Grand Prix 🇩🇪,R,10,1963-08-04,R,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,6,5,7,,0.0
1963 German Grand Prix 🇩🇪,R,10,1963-08-04,R,1963,Mário de Araújo Cabral 🇵🇹,Cooper-Climax 🇬🇧,6,20,7,,0.0
1963 German Grand Prix 🇩🇪,6,10,1963-08-04,R,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,6,12,7,,0.0
1963 Italian Grand Prix 🇮🇹,F,13,1963-09-08,6,1963,Mário de Araújo Cabral 🇵🇹,Cooper-Climax 🇬🇧,7,0,84,,1.0
1963 Italian Grand Prix 🇮🇹,7,13,1963-09-08,6,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,7,11,84,,1.0
1963 Italian Grand Prix 🇮🇹,3,13,1963-09-08,6,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,7,8,84,,1.0
1963 Mexican Grand Prix 🇲🇽,5,13,1963-10-27,R,1963,Jo Bonnier 🇸🇪,Cooper-Climax 🇬🇧,9,8,7,,0.0
1963 Mexican Grand Prix 🇲🇽,R,13,1963-10-27,R,1963,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,9,6,7,,0.0
