name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1960 Belgian Grand Prix 🇧🇪,5,13,23,Cooper-Climax 🇬🇧,1960-06-19,R,,1960,Jack Brabham 🇦🇺
1960 French Grand Prix 🇫🇷,6,11,14,Cooper-Climax 🇬🇧,1960-07-03,R,,1960,Jack Brabham 🇦🇺
1960 Italian Grand Prix 🇮🇹,9,3,49,Ferrari 🇮🇹,1960-09-04,3,,1960,Phil Hill 🇺🇸
1961 Belgian Grand Prix 🇧🇪,3,19,7,Ferrari 🇮🇹,1961-06-18,R,,1961,Phil Hill 🇺🇸
1961 French Grand Prix 🇫🇷,4,20,27,Ferrari 🇮🇹,1961-07-02,R,,1961,Giancarlo Baghetti 🇮🇹
1961 German Grand Prix 🇩🇪,6,13,13,Lotus-Climax 🇬🇧,1961-08-06,R,,1961,Stirling Moss 🇬🇧
1962 Belgian Grand Prix 🇧🇪,3,6,25,Lotus-Climax 🇬🇧,1962-06-17,R,,1962,Jim Clark 🇬🇧
1962 Italian Grand Prix 🇮🇹,7,10,86,BRM 🇬🇧,1962-09-16,4,+58.2,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,4,90,Cooper-Climax 🇬🇧,1962-06-03,7,,1962,Bruce McLaren 🇳🇿
1963 Belgian Grand Prix 🇧🇪,2,3,7,Lotus-Climax 🇬🇧,1963-06-09,R,,1963,Jim Clark 🇬🇧
1963 German Grand Prix 🇩🇪,6,7,1,Ferrari 🇮🇹,1963-08-04,R,,1963,John Surtees 🇬🇧
1963 Monaco Grand Prix 🇲🇨,1,7,37,BRM 🇬🇧,1963-05-26,R,,1963,Graham Hill 🇬🇧
