name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1951 French Grand Prix 🇫🇷,4,15,2,Alfa Romeo 🇮🇹,1951-07-01,R,,1951,Juan Fangio 🇦🇷
1953 Belgian Grand Prix 🇧🇪,4,16,35,Ferrari 🇮🇹,1953-06-21,3,,1953,Alberto Ascari 🇮🇹
1953 British Grand Prix 🇬🇧,6,7,65,Ferrari 🇮🇹,1953-07-18,R,,1953,Alberto Ascari 🇮🇹
1953 French Grand Prix 🇫🇷,5,8,55,Ferrari 🇮🇹,1953-07-05,9,,1953,Mike Hawthorn 🇬🇧
1953 German Grand Prix 🇩🇪,7,8,13,Ferrari 🇮🇹,1953-08-02,R,,1953,Nino Farina 🇮🇹
1953 Italian Grand Prix 🇮🇹,9,4,75,Maserati 🇮🇹,1953-09-13,R,,1953,Juan Fangio 🇦🇷
1953 Swiss Grand Prix 🇨🇭,8,5,46,Ferrari 🇮🇹,1953-08-23,R,,1953,Alberto Ascari 🇮🇹
1954 Argentine Grand Prix 🇦🇷,1,6,48,Maserati 🇮🇹,1954-01-17,R,,1954,Juan Fangio 🇦🇷
1954 Belgian Grand Prix 🇧🇪,3,4,3,Maserati 🇮🇹,1954-06-20,R,,1954,Juan Fangio 🇦🇷
1954 British Grand Prix 🇬🇧,5,28,89,Ferrari 🇮🇹,1954-07-17,3,,1954,José Froilán González 🇦🇷
1954 French Grand Prix 🇫🇷,4,5,27,Mercedes 🇩🇪,1954-07-04,R,,1954,Juan Fangio 🇦🇷
1954 German Grand Prix 🇩🇪,6,8,0,Mercedes 🇩🇪,1954-08-01,W,,1954,Juan Fangio 🇦🇷
