name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1996 Argentine Grand Prix 🇦🇷,R,14,1996-04-07T00:00:00.000Z,R,1996,Pedro Lamy 🇵🇹,Minardi 🇮🇹,3,19,33,,0.0
1996 Brazilian Grand Prix 🇧🇷,10,21,1996-03-31T00:00:00.000Z,R,1996,Pedro Lamy 🇵🇹,Minardi 🇮🇹,2,18,0,,0.0
1997 Austrian Grand Prix 🇦🇹,11,0,1997-09-21T00:00:00.000Z,E,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,14,19,0,,0.0
1997 Belgian Grand Prix 🇧🇪,14,22,1997-08-24T00:00:00.000Z,R,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,12,20,18,,0.0
1997 British Grand Prix 🇬🇧,R,21,1997-07-13T00:00:00.000Z,10,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,9,19,58,,0.0
1997 European Grand Prix 🇪🇸,17,20,1997-10-26T00:00:00.000Z,15,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,17,19,68,,0.0
1997 French Grand Prix 🇫🇷,11,22,1997-06-29T00:00:00.000Z,R,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,8,21,5,,0.0
1997 German Grand Prix 🇩🇪,R,21,1997-07-27T00:00:00.000Z,R,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,10,22,0,,0.0
1997 Hungarian Grand Prix 🇭🇺,10,22,1997-08-10T00:00:00.000Z,12,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,11,20,75,,0.0
1997 Italian Grand Prix 🇮🇹,R,22,1997-09-07T00:00:00.000Z,14,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,13,21,50,,0.0
1997 Japanese Grand Prix 🇯🇵,R,20,1997-10-12T00:00:00.000Z,R,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,16,19,46,,0.0
1997 Luxembourg Grand Prix 🇩🇪,R,18,1997-09-28T00:00:00.000Z,R,1997,Ukyo Katayama 🇯🇵,Minardi 🇮🇹,15,22,1,,0.0
2001 Australian Grand Prix 🇦🇺,12,22,2001-03-04T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,1,19,3,,0.0
2001 Austrian Grand Prix 🇦🇹,R,22,2001-05-13T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,6,18,25,,0.0
2001 Belgian Grand Prix 🇧🇪,R,22,2001-09-02T00:00:00.000Z,13,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,14,20,31,,0.0
2001 Brazilian Grand Prix 🇧🇷,R,22,2001-04-01T00:00:00.000Z,9,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,3,19,68,,0.0
2001 British Grand Prix 🇬🇧,16,0,2001-07-15T00:00:00.000Z,F,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,11,21,0,,0.0
2001 Canadian Grand Prix 🇨🇦,R,21,2001-06-10T00:00:00.000Z,9,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,8,22,66,,0.0
2001 European Grand Prix 🇩🇪,14,22,2001-06-24T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,9,21,7,,0.0
2001 French Grand Prix 🇫🇷,17,22,2001-07-01T00:00:00.000Z,15,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,10,21,69,,0.0
2001 German Grand Prix 🇩🇪,10,22,2001-07-29T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,12,21,26,,0.0
2001 Hungarian Grand Prix 🇭🇺,R,22,2001-08-19T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,13,18,63,,0.0
2001 Malaysian Grand Prix 🇲🇾,13,20,2001-03-18T00:00:00.000Z,14,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,2,21,51,,0.0
2001 Monaco Grand Prix 🇲🇨,R,22,2001-05-27T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,7,18,56,,0.0
2001 San Marino Grand Prix 🇮🇹,R,22,2001-04-15T00:00:00.000Z,R,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,4,18,50,,0.0
2001 Spanish Grand Prix 🇪🇸,13,22,2001-04-29T00:00:00.000Z,16,2001,Fernando Alonso 🇪🇸,Minardi 🇮🇹,5,18,62,,0.0
