name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1957 German Grand Prix 🇩🇪,R,22,1957-08-04,15,1957,Dick Gibson 🇬🇧,Cooper 🇬🇧,6,24,17,,0.0
1957 German Grand Prix 🇩🇪,R,22,1957-08-04,15,1957,Paul England 🇦🇺,Cooper 🇬🇧,6,23,17,,0.0
1957 German Grand Prix 🇩🇪,R,22,1957-08-04,15,1957,Jack Brabham 🇦🇺,Cooper 🇬🇧,6,18,17,,0.0
1957 German Grand Prix 🇩🇪,R,22,1957-08-04,15,1957,Roy Salvadori 🇬🇧,Cooper 🇬🇧,6,14,17,,0.0
1957 German Grand Prix 🇩🇪,13,22,1957-08-04,15,1957,Brian Naylor 🇬🇧,Cooper 🇬🇧,6,17,17,,0.0
1958 German Grand Prix 🇩🇪,R,14,1958-08-03,8,1958,Jack Brabham 🇦🇺,Cooper 🇬🇧,8,19,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,R,14,1958-08-03,8,1958,Brian Naylor 🇬🇧,Cooper 🇬🇧,8,25,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,R,14,1958-08-03,8,1958,Dick Gibson 🇬🇧,Cooper 🇬🇧,8,18,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,R,14,1958-08-03,8,1958,Christian Goethals 🇧🇪,Cooper 🇬🇧,8,23,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,R,14,1958-08-03,8,1958,Wolfgang Seidel 🇩🇪,Cooper 🇬🇧,8,17,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,7,14,1958-08-03,8,1958,Ian Burgess 🇬🇧,Cooper 🇬🇧,8,11,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,5,14,1958-08-03,8,1958,Bruce McLaren 🇳🇿,Cooper 🇬🇧,8,12,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,3,14,1958-08-03,8,1958,Maurice Trintignant 🇫🇷,Cooper 🇬🇧,8,7,15,+7:09.9,0.0
1958 German Grand Prix 🇩🇪,2,14,1958-08-03,8,1958,Roy Salvadori 🇬🇧,Cooper 🇬🇧,8,6,15,+7:09.9,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Cliff Allison 🇬🇧,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,W,0,1961-06-18,W,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,3,0,0,,0.0
1961 Belgian Grand Prix 🇧🇪,R,0,1961-06-18,W,1961,Willy Mairesse 🇧🇪,Lotus-Climax 🇬🇧,3,19,0,,0.0
1961 Belgian Grand Prix 🇧🇪,R,0,1961-06-18,W,1961,Lucien Bianchi 🇧🇪,Lotus-Climax 🇬🇧,3,23,0,,0.0
1961 Belgian Grand Prix 🇧🇪,R,0,1961-06-18,W,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,3,18,0,,0.0
1961 Belgian Grand Prix 🇧🇪,12,0,1961-06-18,W,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,3,16,0,,0.0
1961 Belgian Grand Prix 🇧🇪,8,0,1961-06-18,W,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,3,8,0,,0.0
1961 British Grand Prix 🇬🇧,R,27,1961-07-15,R,1961,Lucien Bianchi 🇧🇪,Lotus-Climax 🇬🇧,5,30,25,,0.0
1961 British Grand Prix 🇬🇧,R,27,1961-07-15,R,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,5,5,25,,0.0
1961 British Grand Prix 🇬🇧,R,27,1961-07-15,R,1961,Tim Parnell 🇬🇧,Lotus-Climax 🇬🇧,5,29,25,,0.0
1961 British Grand Prix 🇬🇧,R,27,1961-07-15,R,1961,Gerry Ashmore 🇬🇧,Lotus-Climax 🇬🇧,5,26,25,,0.0
1961 British Grand Prix 🇬🇧,R,27,1961-07-15,R,1961,Henry Taylor 🇬🇧,Lotus-Climax 🇬🇧,5,17,25,,0.0
1961 British Grand Prix 🇬🇧,R,27,1961-07-15,R,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,5,8,25,,0.0
1961 British Grand Prix 🇬🇧,17,27,1961-07-15,R,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,5,22,25,,0.0
1961 British Grand Prix 🇬🇧,14,27,1961-07-15,R,1961,Ian Burgess 🇬🇧,Lotus-Climax 🇬🇧,5,25,25,,0.0
1961 British Grand Prix 🇬🇧,13,27,1961-07-15,R,1961,Tony Maggs 🇿🇦,Lotus-Climax 🇬🇧,5,24,25,,0.0
1961 British Grand Prix 🇬🇧,10,27,1961-07-15,R,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,5,7,25,,0.0
1961 German Grand Prix 🇩🇪,W,20,1961-08-06,15,1961,Michael May 🇨🇭,Lotus-Climax 🇬🇧,6,0,13,,0.0
1961 German Grand Prix 🇩🇪,R,20,1961-08-06,15,1961,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,6,6,13,,0.0
1961 German Grand Prix 🇩🇪,R,20,1961-08-06,15,1961,Wolfgang Seidel 🇩🇪,Lotus-Climax 🇬🇧,6,23,13,,0.0
1961 German Grand Prix 🇩🇪,16,20,1961-08-06,15,1961,Gerry Ashmore 🇬🇧,Lotus-Climax 🇬🇧,6,25,13,,0.0
1961 German Grand Prix 🇩🇪,11,20,1961-08-06,15,1961,Tony Maggs 🇿🇦,Lotus-Climax 🇬🇧,6,22,13,,0.0
1961 German Grand Prix 🇩🇪,4,20,1961-08-06,15,1961,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,6,8,13,,0.0
1961 German Grand Prix 🇩🇪,1,20,1961-08-06,15,1961,Stirling Moss 🇬🇧,Lotus-Climax 🇬🇧,6,3,13,,0.0
1962 Belgian Grand Prix 🇧🇪,W,0,1962-06-17,W,1962,Gerry Ashmore 🇬🇧,BRM 🇬🇧,3,0,0,,0.0
1962 Belgian Grand Prix 🇧🇪,W,0,1962-06-17,W,1962,Jackie Lewis 🇬🇧,BRM 🇬🇧,3,0,0,,0.0
1962 Belgian Grand Prix 🇧🇪,R,0,1962-06-17,W,1962,Richie Ginther 🇺🇸,BRM 🇬🇧,3,9,0,,0.0
1962 Belgian Grand Prix 🇧🇪,2,0,1962-06-17,W,1962,Graham Hill 🇬🇧,BRM 🇬🇧,3,1,0,,0.0
