name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1984 Italian Grand Prix 🇮🇹,4,0,1984-09-09T00:00:00.000Z,F,1984,Stefan Johansson 🇸🇪,Toleman 🇬🇧,14,17,0,,0.0
1988 Australian Grand Prix 🇦🇺,R,14,1988-11-13T00:00:00.000Z,7,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,16,21,80,,0.0
1988 Belgian Grand Prix 🇧🇪,F,0,1988-08-28T00:00:00.000Z,F,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,11,0,0,,0.0
1988 British Grand Prix 🇬🇧,R,19,1988-07-10T00:00:00.000Z,15,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,8,18,63,,0.0
1988 Detroit Grand Prix 🇺🇸,R,16,1988-06-19T00:00:00.000Z,6,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,6,25,62,,1.0
1988 French Grand Prix 🇫🇷,N,22,1988-07-03T00:00:00.000Z,15,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,7,25,77,,0.0
1988 German Grand Prix 🇩🇪,F,0,1988-07-24T00:00:00.000Z,F,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,9,0,0,,0.0
1988 Hungarian Grand Prix 🇭🇺,10,16,1988-08-07T00:00:00.000Z,R,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,10,11,8,,0.0
1988 Italian Grand Prix 🇮🇹,R,14,1988-09-11T00:00:00.000Z,R,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,12,19,15,,0.0
1988 Japanese Grand Prix 🇯🇵,15,17,1988-10-30T00:00:00.000Z,13,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,15,22,49,,0.0
1988 Portuguese Grand Prix 🇵🇹,8,14,1988-09-25T00:00:00.000Z,R,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,13,19,27,,0.0
1988 Spanish Grand Prix 🇪🇸,12,20,1988-10-02T00:00:00.000Z,R,1988,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,14,24,15,,0.0
1989 Australian Grand Prix 🇦🇺,F,3,1989-11-05T00:00:00.000Z,6,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,16,0,67,,1.0
1989 Belgian Grand Prix 🇧🇪,15,14,1989-08-27T00:00:00.000Z,9,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,11,25,43,,0.0
1989 Brazilian Grand Prix 🇧🇷,R,16,1989-03-26T00:00:00.000Z,R,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,1,23,2,,0.0
1989 British Grand Prix 🇬🇧,6,11,1989-07-16T00:00:00.000Z,5,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,8,15,63,,2.0
1989 Canadian Grand Prix 🇨🇦,R,11,1989-06-18T00:00:00.000Z,R,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,6,24,0,,0.0
1989 French Grand Prix 🇫🇷,F,23,1989-07-09T00:00:00.000Z,R,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,7,0,31,,0.0
1989 German Grand Prix 🇩🇪,F,13,1989-07-30T00:00:00.000Z,9,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,9,0,44,,0.0
1989 Hungarian Grand Prix 🇭🇺,R,10,1989-08-13T00:00:00.000Z,R,1989,Luis Pérez-Sala 🇪🇸,Minardi 🇮🇹,10,23,9,,0.0
