name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2015 Abu Dhabi Grand Prix 🇦🇪,11,11,2015-11-29,16,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,19,10,54,,0.0
2015 Australian Grand Prix 🇦🇺,9,11,2015-03-15,R,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,1,7,32,,0.0
2015 Austrian Grand Prix 🇦🇹,R,7,2015-06-21,8,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,8,12,70,,4.0
2015 Bahrain Grand Prix 🇧🇭,R,15,2015-04-19,R,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,4,9,34,,0.0
2015 Belgian Grand Prix 🇧🇪,R,18,2015-08-23,8,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,11,10,43,+56.076,4.0
2015 Brazilian Grand Prix 🇧🇷,R,9,2015-11-15,9,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,18,10,70,,2.0
2015 British Grand Prix 🇬🇧,R,13,2015-07-05,R,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,9,8,3,,0.0
2015 Canadian Grand Prix 🇨🇦,12,19,2015-06-07,15,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,7,11,69,,0.0
2015 Chinese Grand Prix 🇨🇳,13,13,2015-04-12,17,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,3,14,52,,0.0
2015 Hungarian Grand Prix 🇭🇺,R,9,2015-07-26,4,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,10,12,69,+44.251,12.0
2015 Italian Grand Prix 🇮🇹,11,20,2015-09-06,12,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,12,17,52,,0.0
2015 Japanese Grand Prix 🇯🇵,10,17,2015-09-27,9,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,14,10,53,,2.0
2015 Malaysian Grand Prix 🇲🇾,8,6,2015-03-29,7,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,2,15,56,+1:37.762,6.0
2015 Mexican Grand Prix 🇲🇽,13,8,2015-11-01,9,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,17,11,71,+35.229,2.0
2015 Monaco Grand Prix 🇲🇨,10,9,2015-05-24,R,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,6,0,62,,0.0
2015 Russian Grand Prix 🇷🇺,R,9,2015-10-11,10,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,15,20,53,+1:28.424,1.0
2015 Singapore Grand Prix 🇸🇬,9,8,2015-09-20,8,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,13,14,61,+51.450,4.0
2015 Spanish Grand Prix 🇪🇸,9,6,2015-05-10,11,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,5,5,65,,0.0
2015 United States Grand Prix 🇺🇸,7,8,2015-10-25,4,2015,Carlos Sainz 🇪🇸,Toro Rosso 🇮🇹,16,20,56,+22.359,12.0
2016 Abu Dhabi Grand Prix 🇦🇪,5,6,2016-11-27,4,2016,Daniel Ricciardo 🇦🇺,Red Bull 🇦🇹,21,3,55,+1.685,12.0
