name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,5,33,1950-05-30,18,1950,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,9,128,,0.0
1950 Indianapolis 500 🇺🇸,R,33,1950-05-30,18,1950,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,7,128,,0.0
1950 Indianapolis 500 🇺🇸,R,33,1950-05-30,18,1950,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,25,128,,0.0
1950 Indianapolis 500 🇺🇸,R,33,1950-05-30,18,1950,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,3,32,128,,0.0
1950 Indianapolis 500 🇺🇸,R,33,1950-05-30,18,1950,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,2,128,,0.0
1950 Indianapolis 500 🇺🇸,21,33,1950-05-30,18,1950,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,3,15,128,,0.0
1950 Indianapolis 500 🇺🇸,19,33,1950-05-30,18,1950,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,3,20,128,,0.0
1950 Indianapolis 500 🇺🇸,14,33,1950-05-30,18,1950,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,6,128,,0.0
1950 Indianapolis 500 🇺🇸,13,33,1950-05-30,18,1950,Mack Hellings 🇺🇸,Kurtis Kraft 🇺🇸,3,26,128,,0.0
1950 Indianapolis 500 🇺🇸,10,33,1950-05-30,18,1950,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,3,11,128,,0.0
1950 Indianapolis 500 🇺🇸,7,33,1950-05-30,18,1950,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,1,128,,0.0
1950 Indianapolis 500 🇺🇸,5,33,1950-05-30,18,1950,Joie Chitwood 🇺🇸,Kurtis Kraft 🇺🇸,3,9,128,,0.0
1950 Indianapolis 500 🇺🇸,4,33,1950-05-30,18,1950,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,3,12,128,,0.0
1950 Indianapolis 500 🇺🇸,1,33,1950-05-30,18,1950,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,5,128,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,1,182,,0.0
1952 Indianapolis 500 🇺🇸,2,33,1952-05-30,21,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,25,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,27,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,182,,0.0
1952 Indianapolis 500 🇺🇸,18,33,1952-05-30,21,1952,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,11,182,,0.0
1952 Indianapolis 500 🇺🇸,17,33,1952-05-30,21,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,182,,0.0
1952 Indianapolis 500 🇺🇸,13,33,1952-05-30,21,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,182,,0.0
1952 Indianapolis 500 🇺🇸,11,33,1952-05-30,21,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,182,,0.0
1952 Indianapolis 500 🇺🇸,10,33,1952-05-30,21,1952,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,31,182,,0.0
1952 Indianapolis 500 🇺🇸,9,33,1952-05-30,21,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,182,,0.0
1952 Indianapolis 500 🇺🇸,8,33,1952-05-30,21,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,182,,0.0
1952 Indianapolis 500 🇺🇸,7,33,1952-05-30,21,1952,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,2,23,182,,0.0
1952 Indianapolis 500 🇺🇸,6,33,1952-05-30,21,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,182,,0.0
1952 Indianapolis 500 🇺🇸,5,33,1952-05-30,21,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,182,,0.0
1952 Indianapolis 500 🇺🇸,3,33,1952-05-30,21,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,182,,0.0
1952 Indianapolis 500 🇺🇸,R,33,1952-05-30,21,1952,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,18,182,,0.0
