name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1959 Indianapolis 500 🇺🇸,7,33,1959-05-30T00:00:00.000Z,16,1959,Duane Carter 🇺🇸,Kurtis Kraft 🇺🇸,2,12,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,8,33,1959-05-30T00:00:00.000Z,16,1959,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,2,8,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,9,33,1959-05-30T00:00:00.000Z,16,1959,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,27,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,14,33,1959-05-30T00:00:00.000Z,16,1959,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,2,13,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,15,33,1959-05-30T00:00:00.000Z,16,1959,Chuck Arnold 🇺🇸,Kurtis Kraft 🇺🇸,2,21,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,R,33,1959-05-30T00:00:00.000Z,16,1959,Don Freeland 🇺🇸,Kurtis Kraft 🇺🇸,2,25,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,R,33,1959-05-30T00:00:00.000Z,16,1959,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,2,24,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,R,33,1959-05-30T00:00:00.000Z,16,1959,Bobby Grim 🇺🇸,Kurtis Kraft 🇺🇸,2,5,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,R,33,1959-05-30T00:00:00.000Z,16,1959,Chuck Weyant 🇺🇸,Kurtis Kraft 🇺🇸,2,29,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,R,33,1959-05-30T00:00:00.000Z,16,1959,Jud Larson 🇺🇸,Kurtis Kraft 🇺🇸,2,19,200,+11:41.69,0.0
1959 Indianapolis 500 🇺🇸,R,33,1959-05-30T00:00:00.000Z,16,1959,Red Amick 🇺🇸,Kurtis Kraft 🇺🇸,2,26,200,+11:41.69,0.0
1960 Indianapolis 500 🇺🇸,3,32,1960-05-30T00:00:00.000Z,29,1960,Paul Goldsmith 🇺🇸,Epperly 🇺🇸,3,26,60,,0.0
1960 Indianapolis 500 🇺🇸,11,32,1960-05-30T00:00:00.000Z,29,1960,Red Amick 🇺🇸,Epperly 🇺🇸,3,22,60,,0.0
1960 Indianapolis 500 🇺🇸,19,32,1960-05-30T00:00:00.000Z,29,1960,Jimmy Bryan 🇺🇸,Epperly 🇺🇸,3,10,60,,0.0
1960 Indianapolis 500 🇺🇸,24,32,1960-05-30T00:00:00.000Z,29,1960,Wayne Weiler 🇺🇸,Epperly 🇺🇸,3,15,60,,0.0
1960 Indianapolis 500 🇺🇸,27,32,1960-05-30T00:00:00.000Z,29,1960,Johnny Boyd 🇺🇸,Epperly 🇺🇸,3,13,60,,0.0
