name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1953 Dutch Grand Prix 🇳🇱,R,19,1953-06-07,R,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,3,10,28,,0.0
1953 Dutch Grand Prix 🇳🇱,6,19,1953-06-07,R,1953,Maurice Trintignant 🇫🇷,Gordini 🇫🇷,3,12,28,,0.0
1953 French Grand Prix 🇫🇷,R,24,1953-07-05,R,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,5,20,4,,0.0
1953 French Grand Prix 🇫🇷,R,24,1953-07-05,R,1953,Maurice Trintignant 🇫🇷,Gordini 🇫🇷,5,23,4,,0.0
1953 French Grand Prix 🇫🇷,10,24,1953-07-05,R,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,5,22,4,,0.0
1953 Italian Grand Prix 🇮🇹,9,16,1953-09-13,6,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,9,15,77,,0.0
1953 Italian Grand Prix 🇮🇹,5,16,1953-09-13,6,1953,Maurice Trintignant 🇫🇷,Gordini 🇫🇷,9,8,77,,0.0
1954 Argentine Grand Prix 🇦🇷,W,8,1954-01-17,R,1954,Carlos Menditeguy 🇦🇷,Maserati 🇮🇹,1,9,37,,0.0
1954 Argentine Grand Prix 🇦🇷,W,8,1954-01-17,R,1954,Luigi Musso 🇮🇹,Maserati 🇮🇹,1,7,37,,0.0
1954 Argentine Grand Prix 🇦🇷,R,8,1954-01-17,R,1954,Jorge Daponte 🇦🇷,Maserati 🇮🇹,1,18,37,,0.0
1954 Argentine Grand Prix 🇦🇷,R,8,1954-01-17,R,1954,Onofre Marimón 🇦🇷,Maserati 🇮🇹,1,6,37,,0.0
1954 Argentine Grand Prix 🇦🇷,8,8,1954-01-17,R,1954,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,1,13,37,,0.0
1954 Argentine Grand Prix 🇦🇷,7,8,1954-01-17,R,1954,Prince Bira 🇹🇭,Maserati 🇮🇹,1,10,37,,0.0
1954 Argentine Grand Prix 🇦🇷,6,8,1954-01-17,R,1954,Harry Schell 🇺🇸,Maserati 🇮🇹,1,11,37,,0.0
1954 Argentine Grand Prix 🇦🇷,1,8,1954-01-17,R,1954,Juan Fangio 🇦🇷,Maserati 🇮🇹,1,3,37,,0.0
1954 Belgian Grand Prix 🇧🇪,R,12,1954-06-20,R,1954,Onofre Marimón 🇦🇷,Maserati 🇮🇹,3,4,0,,0.0
1954 Belgian Grand Prix 🇧🇪,7,12,1954-06-20,R,1954,Sergio Mantovani 🇮🇹,Maserati 🇮🇹,3,11,0,,0.0
1954 Belgian Grand Prix 🇧🇪,6,12,1954-06-20,R,1954,Prince Bira 🇹🇭,Maserati 🇮🇹,3,13,0,,0.0
1954 Belgian Grand Prix 🇧🇪,3,12,1954-06-20,R,1954,Stirling Moss 🇬🇧,Maserati 🇮🇹,3,9,0,,0.0
1954 Belgian Grand Prix 🇧🇪,1,12,1954-06-20,R,1954,Juan Fangio 🇦🇷,Maserati 🇮🇹,3,1,0,,0.0
1954 British Grand Prix 🇬🇧,3,32,1954-07-17,6,1954,Onofre Marimón 🇦🇷,Maserati 🇮🇹,5,28,87,,0.0
1954 British Grand Prix 🇬🇧,8,32,1954-07-17,6,1954,Ken Wharton 🇬🇧,Maserati 🇮🇹,5,9,87,,0.0
1954 British Grand Prix 🇬🇧,12,32,1954-07-17,6,1954,Harry Schell 🇺🇸,Maserati 🇮🇹,5,16,87,,0.0
