name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1951 Indianapolis 500 🇺🇸,3,28,1951-05-30,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,56,,0.0
1951 Indianapolis 500 🇺🇸,R,28,1951-05-30,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,56,,0.0
1951 Indianapolis 500 🇺🇸,7,28,1951-05-30,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,56,,0.0
1951 Indianapolis 500 🇺🇸,3,28,1951-05-30,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,56,,0.0
1951 Indianapolis 500 🇺🇸,2,28,1951-05-30,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,56,,0.0
1951 Indianapolis 500 🇺🇸,1,28,1951-05-30,R,1951,Lee Wallard 🇺🇸,Kurtis Kraft 🇺🇸,2,2,56,,0.0
1952 Indianapolis 500 🇺🇸,R,27,1952-05-30,R,1952,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,1,41,,0.0
1952 Indianapolis 500 🇺🇸,2,27,1952-05-30,R,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,41,,0.0
1952 Indianapolis 500 🇺🇸,R,27,1952-05-30,R,1952,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,25,41,,0.0
1952 Indianapolis 500 🇺🇸,R,27,1952-05-30,R,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,41,,0.0
1952 Indianapolis 500 🇺🇸,R,27,1952-05-30,R,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,41,,0.0
1952 Indianapolis 500 🇺🇸,R,27,1952-05-30,R,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,41,,0.0
1952 Indianapolis 500 🇺🇸,R,27,1952-05-30,R,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,41,,0.0
1952 Indianapolis 500 🇺🇸,21,27,1952-05-30,R,1952,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,2,33,41,,0.0
1952 Indianapolis 500 🇺🇸,18,27,1952-05-30,R,1952,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,11,41,,0.0
1952 Indianapolis 500 🇺🇸,17,27,1952-05-30,R,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,41,,0.0
1952 Indianapolis 500 🇺🇸,13,27,1952-05-30,R,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,41,,0.0
1952 Indianapolis 500 🇺🇸,11,27,1952-05-30,R,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,41,,0.0
1952 Indianapolis 500 🇺🇸,10,27,1952-05-30,R,1952,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,31,41,,0.0
1952 Indianapolis 500 🇺🇸,9,27,1952-05-30,R,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,41,,0.0
1952 Indianapolis 500 🇺🇸,8,27,1952-05-30,R,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,41,,0.0
1952 Indianapolis 500 🇺🇸,7,27,1952-05-30,R,1952,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,2,23,41,,0.0
1952 Indianapolis 500 🇺🇸,6,27,1952-05-30,R,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,41,,0.0
1952 Indianapolis 500 🇺🇸,5,27,1952-05-30,R,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,41,,0.0
1952 Indianapolis 500 🇺🇸,3,27,1952-05-30,R,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,41,,0.0
