name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1990 Australian Grand Prix 🇦🇺,16,20,20,Benetton 🇮🇹,1990-11-04,R,,1990,Nelson Piquet 🇧🇷
1990 Brazilian Grand Prix 🇧🇷,2,16,64,Ferrari 🇮🇹,1990-03-25,14,,1990,Alain Prost 🇫🇷
1990 Japanese Grand Prix 🇯🇵,15,20,18,Benetton 🇮🇹,1990-10-21,R,,1990,Nelson Piquet 🇧🇷
1990 United States Grand Prix 🇺🇸,1,0,0,McLaren 🇬🇧,1990-03-11,F,,1990,Ayrton Senna 🇧🇷
1991 Australian Grand Prix 🇦🇺,16,8,14,McLaren 🇬🇧,1991-11-03,6,+51.069,1991,Ayrton Senna 🇧🇷
1991 Belgian Grand Prix 🇧🇪,11,19,29,McLaren 🇬🇧,1991-08-25,R,,1991,Ayrton Senna 🇧🇷
1991 Brazilian Grand Prix 🇧🇷,2,21,69,McLaren 🇬🇧,1991-03-24,8,,1991,Ayrton Senna 🇧🇷
1991 British Grand Prix 🇬🇧,8,20,57,Williams 🇬🇧,1991-07-14,11,,1991,Nigel Mansell 🇬🇧
1991 Canadian Grand Prix 🇨🇦,5,15,20,Benetton 🇮🇹,1991-06-02,R,,1991,Nelson Piquet 🇧🇷
1991 French Grand Prix 🇫🇷,7,10,8,Williams 🇬🇧,1991-07-07,R,,1991,Nigel Mansell 🇬🇧
1991 German Grand Prix 🇩🇪,9,19,14,Williams 🇬🇧,1991-07-28,R,,1991,Nigel Mansell 🇬🇧
1991 Hungarian Grand Prix 🇭🇺,10,23,75,McLaren 🇬🇧,1991-08-11,13,,1991,Ayrton Senna 🇧🇷
1991 Italian Grand Prix 🇮🇹,12,17,52,Williams 🇬🇧,1991-09-08,9,,1991,Nigel Mansell 🇬🇧
1991 Japanese Grand Prix 🇯🇵,15,8,15,McLaren 🇬🇧,1991-10-20,R,,1991,Gerhard Berger 🇦🇹
1991 Mexican Grand Prix 🇲🇽,6,14,66,Williams 🇬🇧,1991-06-16,7,,1991,Riccardo Patrese 🇮🇹
1991 Monaco Grand Prix 🇲🇨,4,17,49,McLaren 🇬🇧,1991-05-12,R,,1991,Ayrton Senna 🇧🇷
1991 Portuguese Grand Prix 🇵🇹,13,13,70,Williams 🇬🇧,1991-09-22,9,,1991,Riccardo Patrese 🇮🇹
1991 San Marino Grand Prix 🇮🇹,3,8,10,McLaren 🇬🇧,1991-04-28,R,,1991,Ayrton Senna 🇧🇷
1991 Spanish Grand Prix 🇪🇸,14,16,62,Williams 🇬🇧,1991-09-29,14,,1991,Nigel Mansell 🇬🇧
1991 United States Grand Prix 🇺🇸,1,26,15,McLaren 🇬🇧,1991-03-10,R,,1991,Ayrton Senna 🇧🇷
1992 Australian Grand Prix 🇦🇺,16,16,79,McLaren 🇬🇧,1992-11-08,10,,1992,Gerhard Berger 🇦🇹
1992 Belgian Grand Prix 🇧🇪,12,23,42,Benetton 🇮🇹,1992-08-30,16,,1992,Michael Schumacher 🇩🇪
1992 Brazilian Grand Prix 🇧🇷,3,23,69,Williams 🇬🇧,1992-04-05,7,,1992,Nigel Mansell 🇬🇧
1992 British Grand Prix 🇬🇧,9,25,53,Williams 🇬🇧,1992-07-12,17,,1992,Nigel Mansell 🇬🇧
1992 Canadian Grand Prix 🇨🇦,7,13,67,McLaren 🇬🇧,1992-06-14,11,,1992,Gerhard Berger 🇦🇹
1992 French Grand Prix 🇫🇷,8,16,68,Williams 🇬🇧,1992-07-05,8,,1992,Nigel Mansell 🇬🇧
1992 German Grand Prix 🇩🇪,10,26,44,Williams 🇬🇧,1992-07-26,12,,1992,Nigel Mansell 🇬🇧
1992 Hungarian Grand Prix 🇭🇺,11,0,0,McLaren 🇬🇧,1992-08-16,F,,1992,Ayrton Senna 🇧🇷
1992 Italian Grand Prix 🇮🇹,13,12,12,McLaren 🇬🇧,1992-09-13,R,,1992,Ayrton Senna 🇧🇷
1992 Japanese Grand Prix 🇯🇵,15,14,51,Williams 🇬🇧,1992-10-25,14,,1992,Riccardo Patrese 🇮🇹
1992 Mexican Grand Prix 🇲🇽,2,21,29,Williams 🇬🇧,1992-03-22,R,,1992,Nigel Mansell 🇬🇧
1992 Monaco Grand Prix 🇲🇨,6,12,1,McLaren 🇬🇧,1992-05-31,R,,1992,Ayrton Senna 🇧🇷
1992 Portuguese Grand Prix 🇵🇹,14,18,68,Williams 🇬🇧,1992-09-27,14,,1992,Nigel Mansell 🇬🇧
1992 San Marino Grand Prix 🇮🇹,5,21,24,Williams 🇬🇧,1992-05-17,R,,1992,Nigel Mansell 🇬🇧
1992 South African Grand Prix 🇿🇦,1,19,55,Williams 🇬🇧,1992-03-01,R,,1992,Nigel Mansell 🇬🇧
1992 Spanish Grand Prix 🇪🇸,4,25,26,Williams 🇬🇧,1992-05-03,R,,1992,Nigel Mansell 🇬🇧
1994 Australian Grand Prix 🇦🇺,16,21,17,Williams 🇬🇧,1994-11-13,R,,1994,Nigel Mansell 🇬🇧
1994 Belgian Grand Prix 🇧🇪,11,14,43,Williams 🇬🇧,1994-08-28,6,,1994,Damon Hill 🇬🇧
1994 Brazilian Grand Prix 🇧🇷,1,6,5,Benetton 🇮🇹,1994-03-27,R,,1994,Michael Schumacher 🇩🇪
1994 British Grand Prix 🇬🇧,8,16,5,Williams 🇬🇧,1994-07-10,R,,1994,Damon Hill 🇬🇧
1994 Canadian Grand Prix 🇨🇦,6,11,50,Benetton 🇮🇹,1994-06-12,R,,1994,Michael Schumacher 🇩🇪
1994 European Grand Prix 🇪🇸,14,8,68,Benetton 🇮🇹,1994-10-16,11,,1994,Michael Schumacher 🇩🇪
1994 French Grand Prix 🇫🇷,7,22,28,Benetton 🇮🇹,1994-07-03,R,,1994,Michael Schumacher 🇩🇪
1994 German Grand Prix 🇩🇪,9,16,45,Ferrari 🇮🇹,1994-07-31,5,+1:30.544,1994,Gerhard Berger 🇦🇹
1994 Hungarian Grand Prix 🇭🇺,10,19,30,Benetton 🇮🇹,1994-08-14,R,,1994,Michael Schumacher 🇩🇪
1994 Italian Grand Prix 🇮🇹,12,17,0,Williams 🇬🇧,1994-09-11,R,,1994,Damon Hill 🇬🇧
1994 Japanese Grand Prix 🇯🇵,15,12,13,Williams 🇬🇧,1994-11-06,R,,1994,Damon Hill 🇬🇧
1994 Monaco Grand Prix 🇲🇨,4,7,0,Benetton 🇮🇹,1994-05-15,R,,1994,Michael Schumacher 🇩🇪
1994 Pacific Grand Prix 🇯🇵,2,13,69,Benetton 🇮🇹,1994-04-17,R,,1994,Michael Schumacher 🇩🇪
1994 Portuguese Grand Prix 🇵🇹,13,16,70,Williams 🇬🇧,1994-09-25,9,,1994,Damon Hill 🇬🇧
1994 San Marino Grand Prix 🇮🇹,3,11,40,Benetton 🇮🇹,1994-05-01,R,,1994,Michael Schumacher 🇩🇪
1994 Spanish Grand Prix 🇪🇸,5,15,24,Williams 🇬🇧,1994-05-29,R,,1994,Damon Hill 🇬🇧
1995 Argentine Grand Prix 🇦🇷,2,12,43,Williams 🇬🇧,1995-04-09,R,,1995,Damon Hill 🇬🇧
1995 Australian Grand Prix 🇦🇺,17,13,79,Williams 🇬🇧,1995-11-12,3,,1995,Damon Hill 🇬🇧
1995 Brazilian Grand Prix 🇧🇷,1,13,62,Benetton 🇮🇹,1995-03-26,R,,1995,Michael Schumacher 🇩🇪
1995 Canadian Grand Prix 🇨🇦,6,13,67,Ferrari 🇮🇹,1995-06-11,6,,1995,Jean Alesi 🇫🇷
1995 French Grand Prix 🇫🇷,7,16,69,Benetton 🇮🇹,1995-07-02,14,,1995,Michael Schumacher 🇩🇪
1995 Japanese Grand Prix 🇯🇵,16,14,0,Benetton 🇮🇹,1995-10-29,R,,1995,Michael Schumacher 🇩🇪
1995 Monaco Grand Prix 🇲🇨,5,13,74,Benetton 🇮🇹,1995-05-28,9,,1995,Michael Schumacher 🇩🇪
1995 Pacific Grand Prix 🇯🇵,15,19,63,Benetton 🇮🇹,1995-10-22,R,,1995,Michael Schumacher 🇩🇪
1995 San Marino Grand Prix 🇮🇹,3,11,59,Williams 🇬🇧,1995-04-30,13,,1995,Damon Hill 🇬🇧
1995 Spanish Grand Prix 🇪🇸,4,14,63,Benetton 🇮🇹,1995-05-14,11,,1995,Michael Schumacher 🇩🇪
1997 Austrian Grand Prix 🇦🇹,14,13,71,Williams 🇬🇧,1997-09-21,9,+1:06.455,1997,Jacques Villeneuve 🇨🇦
1997 Belgian Grand Prix 🇧🇪,12,13,44,Ferrari 🇮🇹,1997-08-24,9,+1:42.582,1997,Michael Schumacher 🇩🇪
1997 Canadian Grand Prix 🇨🇦,7,18,53,Ferrari 🇮🇹,1997-06-15,10,,1997,Michael Schumacher 🇩🇪
1997 Hungarian Grand Prix 🇭🇺,11,15,7,Williams 🇬🇧,1997-08-10,R,,1997,Jacques Villeneuve 🇨🇦
1997 Italian Grand Prix 🇮🇹,13,18,52,McLaren 🇬🇧,1997-09-07,12,,1997,David Coulthard 🇬🇧
1997 Japanese Grand Prix 🇯🇵,16,0,0,Ferrari 🇮🇹,1997-10-12,W,,1997,Michael Schumacher 🇩🇪
1997 Luxembourg Grand Prix 🇩🇪,15,19,66,Williams 🇬🇧,1997-09-28,9,,1997,Jacques Villeneuve 🇨🇦
1997 Spanish Grand Prix 🇪🇸,6,13,62,Williams 🇬🇧,1997-05-25,14,,1997,Jacques Villeneuve 🇨🇦
