name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1951 Swiss Grand Prix 🇨🇭,R,14,1951-05-27,8,1951,George Abecassis 🇬🇧,HWM 🇬🇧,1,20,40,,0.0
1952 Italian Grand Prix 🇮🇹,R,1,1952-09-07,R,1952,Kenneth McAlpine 🇬🇧,Connaught 🇬🇧,8,2,60,,0.0
1952 Italian Grand Prix 🇮🇹,12,1,1952-09-07,R,1952,Dennis Poore 🇬🇧,Connaught 🇬🇧,8,19,60,,0.0
1952 Swiss Grand Prix 🇨🇭,R,9,1952-05-18,W,1952,George Abecassis 🇬🇧,HWM 🇬🇧,1,10,24,,0.0
1952 Swiss Grand Prix 🇨🇭,R,9,1952-05-18,W,1952,Peter Collins 🇬🇧,HWM 🇬🇧,1,6,24,,0.0
1952 Swiss Grand Prix 🇨🇭,W,9,1952-05-18,W,1952,Lance Macklin 🇬🇧,HWM 🇬🇧,1,12,24,,0.0
1953 Dutch Grand Prix 🇳🇱,R,9,1953-06-07,9,1953,Roy Salvadori 🇬🇧,Connaught 🇬🇧,3,11,83,,0.0
1953 Dutch Grand Prix 🇳🇱,N,9,1953-06-07,9,1953,Johnny Claes 🇧🇪,Connaught 🇬🇧,3,17,83,,0.0
1953 Dutch Grand Prix 🇳🇱,R,9,1953-06-07,9,1953,Kenneth McAlpine 🇬🇧,Connaught 🇬🇧,3,14,83,,0.0
1953 French Grand Prix 🇫🇷,11,13,1953-07-05,R,1953,Bob Gerard 🇬🇧,Cooper 🇬🇧,5,12,38,,0.0
1953 French Grand Prix 🇫🇷,R,13,1953-07-05,R,1953,Ken Wharton 🇬🇧,Cooper 🇬🇧,5,14,38,,0.0
1953 German Grand Prix 🇩🇪,R,12,1953-08-02,6,1953,Alan Brown 🇬🇧,Cooper 🇬🇧,7,17,17,,0.0
1953 German Grand Prix 🇩🇪,11,12,1953-08-02,6,1953,Rodney Nuckey 🇬🇧,Cooper 🇬🇧,7,20,17,,0.0
1953 Italian Grand Prix 🇮🇹,12,10,1953-09-13,13,1953,Alan Brown 🇬🇧,Cooper 🇬🇧,9,24,70,,0.0
1953 Italian Grand Prix 🇮🇹,N,10,1953-09-13,13,1953,Ken Wharton 🇬🇧,Cooper 🇬🇧,9,19,70,,0.0
1954 Belgian Grand Prix 🇧🇪,7,9,1954-06-20,3,1954,Sergio Mantovani 🇮🇹,Maserati 🇮🇹,3,11,35,,4.0
1954 Belgian Grand Prix 🇧🇪,R,9,1954-06-20,3,1954,Roberto Mieres 🇦🇷,Maserati 🇮🇹,3,12,35,,4.0
1954 Belgian Grand Prix 🇧🇪,6,9,1954-06-20,3,1954,Prince Bira 🇹🇭,Maserati 🇮🇹,3,13,35,,4.0
1954 Belgian Grand Prix 🇧🇪,R,9,1954-06-20,3,1954,Onofre Marimón 🇦🇷,Maserati 🇮🇹,3,4,35,,4.0
1954 Belgian Grand Prix 🇧🇪,1,9,1954-06-20,3,1954,Juan Fangio 🇦🇷,Maserati 🇮🇹,3,1,35,,4.0
1954 British Grand Prix 🇬🇧,R,4,1954-07-17,R,1954,Alberto Ascari 🇮🇹,Maserati 🇮🇹,5,30,80,,0.0
1954 British Grand Prix 🇬🇧,R,4,1954-07-17,R,1954,Luigi Villoresi 🇮🇹,Maserati 🇮🇹,5,27,80,,0.0
1954 British Grand Prix 🇬🇧,R,4,1954-07-17,R,1954,Prince Bira 🇹🇭,Maserati 🇮🇹,5,10,80,,0.0
1954 British Grand Prix 🇬🇧,R,4,1954-07-17,R,1954,Roy Salvadori 🇬🇧,Maserati 🇮🇹,5,7,80,,0.0
1954 British Grand Prix 🇬🇧,12,4,1954-07-17,R,1954,Harry Schell 🇺🇸,Maserati 🇮🇹,5,16,80,,0.0
1954 British Grand Prix 🇬🇧,8,4,1954-07-17,R,1954,Ken Wharton 🇬🇧,Maserati 🇮🇹,5,9,80,,0.0
1954 British Grand Prix 🇬🇧,6,4,1954-07-17,R,1954,Roberto Mieres 🇦🇷,Maserati 🇮🇹,5,32,80,,0.0
1954 British Grand Prix 🇬🇧,3,4,1954-07-17,R,1954,Onofre Marimón 🇦🇷,Maserati 🇮🇹,5,28,80,,0.0
1954 British Grand Prix 🇬🇧,R,4,1954-07-17,R,1954,Alberto Ascari 🇮🇹,Maserati 🇮🇹,5,27,80,,0.0
1954 British Grand Prix 🇬🇧,R,4,1954-07-17,R,1954,Ron Flockhart 🇬🇧,Maserati 🇮🇹,5,10,80,,0.0
1954 German Grand Prix 🇩🇪,W,3,1954-08-01,R,1954,Ken Wharton 🇬🇧,Maserati 🇮🇹,6,22,1,,0.0
1954 German Grand Prix 🇩🇪,W,3,1954-08-01,R,1954,Luigi Villoresi 🇮🇹,Maserati 🇮🇹,6,10,1,,0.0
1954 German Grand Prix 🇩🇪,W,3,1954-08-01,R,1954,Onofre Marimón 🇦🇷,Maserati 🇮🇹,6,8,1,,0.0
1954 German Grand Prix 🇩🇪,R,3,1954-08-01,R,1954,Roberto Mieres 🇦🇷,Maserati 🇮🇹,6,17,1,,0.0
1954 German Grand Prix 🇩🇪,R,3,1954-08-01,R,1954,Prince Bira 🇹🇭,Maserati 🇮🇹,6,19,1,,0.0
1954 German Grand Prix 🇩🇪,7,3,1954-08-01,R,1954,Harry Schell 🇺🇸,Maserati 🇮🇹,6,14,1,,0.0
1954 German Grand Prix 🇩🇪,5,3,1954-08-01,R,1954,Sergio Mantovani 🇮🇹,Maserati 🇮🇹,6,15,1,,0.0
1954 Italian Grand Prix 🇮🇹,F,3,1954-09-05,10,1954,Giovanni de Riu 🇮🇹,Maserati 🇮🇹,8,21,71,,0.0
1954 Italian Grand Prix 🇮🇹,R,3,1954-09-05,10,1954,Luigi Musso 🇮🇹,Maserati 🇮🇹,8,14,71,,0.0
1954 Italian Grand Prix 🇮🇹,R,3,1954-09-05,10,1954,Roberto Mieres 🇦🇷,Maserati 🇮🇹,8,10,71,,0.0
1954 Italian Grand Prix 🇮🇹,R,3,1954-09-05,10,1954,Luigi Villoresi 🇮🇹,Maserati 🇮🇹,8,6,71,,0.0
