name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1953 Indianapolis 500 🇺🇸,4,30,1953-05-30,R,1953,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,2,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,7,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,7,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Jackie Holmes 🇺🇸,Kurtis Kraft 🇺🇸,2,18,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Johnny Thomson 🇺🇸,Kurtis Kraft 🇺🇸,2,18,30,,0.0
1953 Indianapolis 500 🇺🇸,17,30,1953-05-30,R,1953,Johnny Mantz 🇺🇸,Kurtis Kraft 🇺🇸,2,14,30,,0.0
1953 Indianapolis 500 🇺🇸,16,30,1953-05-30,R,1953,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,2,10,30,,0.0
1953 Indianapolis 500 🇺🇸,16,30,1953-05-30,R,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,10,30,,0.0
1953 Indianapolis 500 🇺🇸,15,30,1953-05-30,R,1953,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,28,30,,0.0
1953 Indianapolis 500 🇺🇸,7,30,1953-05-30,R,1953,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,2,25,30,,0.0
1953 Indianapolis 500 🇺🇸,11,30,1953-05-30,R,1953,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,26,30,,0.0
1953 Indianapolis 500 🇺🇸,3,30,1953-05-30,R,1953,Duane Carter 🇺🇸,Kurtis Kraft 🇺🇸,2,9,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,13,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,30,,0.0
1953 Indianapolis 500 🇺🇸,12,30,1953-05-30,R,1953,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,19,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,2,7,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Travis Webb 🇺🇸,Kurtis Kraft 🇺🇸,2,18,30,,0.0
1953 Indianapolis 500 🇺🇸,R,30,1953-05-30,R,1953,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,2,22,30,,0.0
1953 Indianapolis 500 🇺🇸,17,30,1953-05-30,R,1953,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,2,14,30,,0.0
1953 Indianapolis 500 🇺🇸,16,30,1953-05-30,R,1953,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,10,30,,0.0
1953 Indianapolis 500 🇺🇸,15,30,1953-05-30,R,1953,Bill Holland 🇺🇸,Kurtis Kraft 🇺🇸,2,28,30,,0.0
