name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2016 Abu Dhabi Grand Prix 🇦🇪,14,20,2016-11-27,13,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,21,16,54,,0.0
2016 Belgian Grand Prix 🇧🇪,R,17,2016-08-28,16,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,13,15,43,,0.0
2016 Brazilian Grand Prix 🇧🇷,15,22,2016-11-13,12,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,20,19,71,+45.809,0.0
2016 Italian Grand Prix 🇮🇹,R,22,2016-09-04,18,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,14,13,51,,0.0
2016 Japanese Grand Prix 🇯🇵,22,20,2016-10-09,21,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,17,21,52,,0.0
2016 Malaysian Grand Prix 🇲🇾,15,20,2016-10-02,16,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,16,21,55,,0.0
2016 Mexican Grand Prix 🇲🇽,R,20,2016-10-30,21,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,19,16,69,,0.0
2016 Singapore Grand Prix 🇸🇬,16,21,2016-09-18,18,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,15,19,59,,0.0
2016 United States Grand Prix 🇺🇸,17,22,2016-10-23,18,2016,Pascal Wehrlein 🇩🇪,Manor Marussia 🇬🇧,18,20,54,,0.0
2017 Australian Grand Prix 🇦🇺,7,13,2017-03-26,10,2017,Sergio Pérez 🇲🇽,Force India 🇮🇳,1,10,56,,1.0
2017 Bahrain Grand Prix 🇧🇭,7,14,2017-04-16,10,2017,Sergio Pérez 🇲🇽,Force India 🇮🇳,3,18,57,+1:35.711,1.0
2017 Chinese Grand Prix 🇨🇳,9,17,2017-04-09,10,2017,Sergio Pérez 🇲🇽,Force India 🇮🇳,2,8,55,,1.0
