name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1967 German Grand Prix 🇩🇪,7,19,15,Brabham-Repco 🇬🇧,1967-08-06,5,+5:30.7,1967,Denny Hulme 🇳🇿
1968 Belgian Grand Prix 🇧🇪,4,15,26,McLaren-Ford 🇬🇧,1968-06-09,5,,1968,Bruce McLaren 🇳🇿
1968 British Grand Prix 🇬🇧,7,2,43,Lotus-Ford 🇬🇧,1968-07-20,R,,1968,Jo Siffert 🇨🇭
1968 Canadian Grand Prix 🇨🇦,10,19,32,McLaren-Ford 🇬🇧,1968-09-22,R,,1968,Denny Hulme 🇳🇿
1968 Dutch Grand Prix 🇳🇱,5,10,80,Matra-Ford 🇫🇷,1968-06-23,N,,1968,Jackie Stewart 🇬🇧
1968 German Grand Prix 🇩🇪,8,13,13,Matra-Ford 🇫🇷,1968-08-04,11,,1968,Jackie Stewart 🇬🇧
1968 Italian Grand Prix 🇮🇹,9,11,38,McLaren-Ford 🇬🇧,1968-09-08,R,,1968,Denny Hulme 🇳🇿
1968 Mexican Grand Prix 🇲🇽,12,14,65,Lotus-Ford 🇬🇧,1968-11-03,3,+1:40.65,1968,Graham Hill 🇬🇧
1968 Monaco Grand Prix 🇲🇨,3,13,0,Lotus-Ford 🇬🇧,1968-05-26,R,,1968,Graham Hill 🇬🇧
1968 United States Grand Prix 🇺🇸,11,0,0,Matra-Ford 🇫🇷,1968-10-06,W,,1968,Jackie Stewart 🇬🇧
1969 British Grand Prix 🇬🇧,6,13,19,Matra-Ford 🇫🇷,1969-07-19,R,,1969,Jackie Stewart 🇬🇧
1969 Canadian Grand Prix 🇨🇦,9,12,2,Brabham-Ford 🇬🇧,1969-09-20,R,,1969,Jacky Ickx 🇧🇪
1969 Dutch Grand Prix 🇳🇱,4,13,9,Matra-Ford 🇫🇷,1969-06-21,R,,1969,Jackie Stewart 🇬🇧
1969 German Grand Prix 🇩🇪,7,16,11,Brabham-Ford 🇬🇧,1969-08-03,R,,1969,Jacky Ickx 🇧🇪
1969 Italian Grand Prix 🇮🇹,8,11,48,Matra-Ford 🇫🇷,1969-09-07,R,,1969,Jackie Stewart 🇬🇧
1969 Mexican Grand Prix 🇲🇽,11,12,63,McLaren-Ford 🇬🇧,1969-10-19,6,,1969,Denny Hulme 🇳🇿
