name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,5,5,1950-05-30,1,1950,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,9,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,R,5,1950-05-30,1,1950,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,7,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,R,5,1950-05-30,1,1950,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,25,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,R,5,1950-05-30,1,1950,Jimmy Jackson 🇺🇸,Kurtis Kraft 🇺🇸,3,32,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,R,5,1950-05-30,1,1950,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,2,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,21,5,1950-05-30,1,1950,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,3,15,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,19,5,1950-05-30,1,1950,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,3,20,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,18,5,1950-05-30,1,1950,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,3,33,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,14,5,1950-05-30,1,1950,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,6,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,13,5,1950-05-30,1,1950,Mack Hellings 🇺🇸,Kurtis Kraft 🇺🇸,3,26,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,10,5,1950-05-30,1,1950,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,3,11,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,7,5,1950-05-30,1,1950,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,1,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,5,5,1950-05-30,1,1950,Joie Chitwood 🇺🇸,Kurtis Kraft 🇺🇸,3,9,138,2:46:55.97,9.0
1950 Indianapolis 500 🇺🇸,4,5,1950-05-30,1,1950,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,3,12,138,2:46:55.97,9.0
1951 Indianapolis 500 🇺🇸,3,8,1951-05-30,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,87,,0.0
1951 Indianapolis 500 🇺🇸,R,8,1951-05-30,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,87,,0.0
1951 Indianapolis 500 🇺🇸,7,8,1951-05-30,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,87,,0.0
1951 Indianapolis 500 🇺🇸,3,8,1951-05-30,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,87,,0.0
1951 Indianapolis 500 🇺🇸,2,8,1951-05-30,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,87,,0.0
1951 Indianapolis 500 🇺🇸,1,8,1951-05-30,R,1951,Lee Wallard 🇺🇸,Kurtis Kraft 🇺🇸,2,2,87,,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,27,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,25,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,1,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,R,31,1952-05-30,10,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,21,31,1952-05-30,10,1952,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,2,33,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,18,31,1952-05-30,10,1952,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,11,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,17,31,1952-05-30,10,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,13,31,1952-05-30,10,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,11,31,1952-05-30,10,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,9,31,1952-05-30,10,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,8,31,1952-05-30,10,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,7,31,1952-05-30,10,1952,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,2,23,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,6,31,1952-05-30,10,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,5,31,1952-05-30,10,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,3,31,1952-05-30,10,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,200,+13:37.78,0.0
1952 Indianapolis 500 🇺🇸,2,31,1952-05-30,10,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+13:37.78,0.0
