name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2011 Abu Dhabi Grand Prix 🇦🇪,18,11,54,McLaren 🇬🇧,2011-11-13,11,,2011,Lewis Hamilton 🇬🇧
2011 Australian Grand Prix 🇦🇺,1,13,58,Red Bull 🇦🇹,2011-03-27,D,,2011,Sebastian Vettel 🇩🇪
2011 Belgian Grand Prix 🇧🇪,12,9,27,Red Bull 🇦🇹,2011-08-28,R,,2011,Sebastian Vettel 🇩🇪
2011 Brazilian Grand Prix 🇧🇷,19,17,70,Red Bull 🇦🇹,2011-11-27,13,,2011,Mark Webber 🇦🇺
2011 British Grand Prix 🇬🇧,9,12,52,Ferrari 🇮🇹,2011-07-10,7,+1:05.590,2011,Fernando Alonso 🇪🇸
2011 Chinese Grand Prix 🇨🇳,3,12,55,McLaren 🇬🇧,2011-04-17,17,,2011,Lewis Hamilton 🇬🇧
2011 European Grand Prix 🇪🇸,8,16,56,Red Bull 🇦🇹,2011-06-26,11,,2011,Sebastian Vettel 🇩🇪
2011 German Grand Prix 🇩🇪,10,15,59,McLaren 🇬🇧,2011-07-24,11,,2011,Lewis Hamilton 🇬🇧
2011 Hungarian Grand Prix 🇭🇺,11,10,68,McLaren 🇬🇧,2011-07-31,15,,2011,Jenson Button 🇬🇧
2011 Indian Grand Prix 🇮🇳,17,20,59,Red Bull 🇦🇹,2011-10-30,10,,2011,Sebastian Vettel 🇩🇪
2011 Italian Grand Prix 🇮🇹,13,15,32,Red Bull 🇦🇹,2011-09-11,R,,2011,Sebastian Vettel 🇩🇪
2011 Japanese Grand Prix 🇯🇵,15,17,53,McLaren 🇬🇧,2011-10-09,8,+39.377,2011,Jenson Button 🇬🇧
2011 Korean Grand Prix 🇰🇷,16,17,54,Red Bull 🇦🇹,2011-10-16,16,,2011,Sebastian Vettel 🇩🇪
2011 Malaysian Grand Prix 🇲🇾,2,16,23,Red Bull 🇦🇹,2011-04-10,R,,2011,Sebastian Vettel 🇩🇪
2011 Singapore Grand Prix 🇸🇬,14,11,60,Red Bull 🇦🇹,2011-09-25,10,,2011,Sebastian Vettel 🇩🇪
2011 Spanish Grand Prix 🇪🇸,5,12,65,Red Bull 🇦🇹,2011-05-22,9,,2011,Sebastian Vettel 🇩🇪
2011 Turkish Grand Prix 🇹🇷,4,15,57,Red Bull 🇦🇹,2011-05-08,14,,2011,Sebastian Vettel 🇩🇪
2012 Abu Dhabi Grand Prix 🇦🇪,18,11,55,Lotus F1 🇬🇧,2012-11-04,15,+56.768,2012,Kimi Räikkönen 🇫🇮
2012 Australian Grand Prix 🇦🇺,1,22,58,McLaren 🇬🇧,2012-03-18,8,+39.458,2012,Jenson Button 🇬🇧
2012 Bahrain Grand Prix 🇧🇭,4,8,57,Red Bull 🇦🇹,2012-04-22,11,+1:12.702,2012,Sebastian Vettel 🇩🇪
2012 Belgian Grand Prix 🇧🇪,12,4,0,McLaren 🇬🇧,2012-09-02,R,,2012,Jenson Button 🇬🇧
2012 Brazilian Grand Prix 🇧🇷,20,12,0,McLaren 🇬🇧,2012-11-25,R,,2012,Jenson Button 🇬🇧
2012 British Grand Prix 🇬🇧,9,15,11,Red Bull 🇦🇹,2012-07-08,R,,2012,Mark Webber 🇦🇺
2012 Canadian Grand Prix 🇨🇦,7,15,70,McLaren 🇬🇧,2012-06-10,3,+5.260,2012,Lewis Hamilton 🇬🇧
2012 Chinese Grand Prix 🇨🇳,3,8,56,Mercedes 🇩🇪,2012-04-15,11,+41.066,2012,Nico Rosberg 🇩🇪
2012 European Grand Prix 🇪🇸,8,15,57,Ferrari 🇮🇹,2012-06-24,9,+27.777,2012,Fernando Alonso 🇪🇸
2012 German Grand Prix 🇩🇪,10,17,67,Ferrari 🇮🇹,2012-07-22,6,+27.896,2012,Fernando Alonso 🇪🇸
2012 Hungarian Grand Prix 🇭🇺,11,14,69,McLaren 🇬🇧,2012-07-29,14,+1:04.494,2012,Lewis Hamilton 🇬🇧
2012 Indian Grand Prix 🇮🇳,17,8,21,Red Bull 🇦🇹,2012-10-28,R,,2012,Sebastian Vettel 🇩🇪
2012 Italian Grand Prix 🇮🇹,13,12,53,McLaren 🇬🇧,2012-09-09,2,+4.356,2012,Lewis Hamilton 🇬🇧
2012 Japanese Grand Prix 🇯🇵,15,5,18,Red Bull 🇦🇹,2012-10-07,R,,2012,Sebastian Vettel 🇩🇪
2012 Korean Grand Prix 🇰🇷,16,12,55,Red Bull 🇦🇹,2012-10-14,11,+80.062,2012,Sebastian Vettel 🇩🇪
