name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Belgian Grand Prix 🇧🇪,4,9,20,BRM 🇬🇧,1970-06-07,N,,1970,Pedro Rodríguez 🇲🇽
1970 British Grand Prix 🇬🇧,7,13,72,Team Lotus 🇬🇧,1970-07-18,9,,1970,Jochen Rindt 🇦🇹
1970 Canadian Grand Prix 🇨🇦,11,16,65,Ferrari 🇮🇹,1970-09-20,N,,1970,Jacky Ickx 🇧🇪
1970 Dutch Grand Prix 🇳🇱,5,16,78,Team Lotus 🇬🇧,1970-06-21,9,,1970,Jochen Rindt 🇦🇹
1970 French Grand Prix 🇫🇷,6,9,17,Team Lotus 🇬🇧,1970-07-05,R,,1970,Jochen Rindt 🇦🇹
1970 German Grand Prix 🇩🇪,8,19,11,Team Lotus 🇬🇧,1970-08-02,R,,1970,Jochen Rindt 🇦🇹
1970 Italian Grand Prix 🇮🇹,10,13,35,Ferrari 🇮🇹,1970-09-06,R,,1970,Clay Regazzoni 🇨🇭
1970 Monaco Grand Prix 🇲🇨,3,12,78,Team Lotus 🇬🇧,1970-05-10,7,,1970,Jochen Rindt 🇦🇹
1970 United States Grand Prix 🇺🇸,12,15,104,Team Lotus 🇬🇧,1970-10-04,11,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,11,53,BRM 🇬🇧,1971-08-15,8,,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,5,68,Tyrrell 🇬🇧,1971-07-17,2,+36.1,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,6,64,Tyrrell 🇬🇧,1971-09-19,2,+38.3,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,13,68,Ferrari 🇮🇹,1971-06-20,4,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,12,19,Tyrrell 🇬🇧,1971-07-04,R,,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,3,12,Tyrrell 🇬🇧,1971-08-01,5,+2:29.1,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,6,55,BRM 🇬🇧,1971-09-05,2,+0.01,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,6,80,Tyrrell 🇬🇧,1971-05-23,2,+ 25.6,1971,Jackie Stewart 🇬🇧
1971 South African Grand Prix 🇿🇦,1,13,77,Ferrari 🇮🇹,1971-03-06,10,,1971,Mario Andretti 🇺🇸
1971 Spanish Grand Prix 🇪🇸,2,13,24,Tyrrell 🇬🇧,1971-04-18,R,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,11,59,Tyrrell 🇬🇧,1971-10-03,3,+44.070,1971,François Cevert 🇫🇷
