name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2012 Abu Dhabi Grand Prix 🇦🇪,18,19,41,Lotus F1 🇬🇧,2012-11-04,R,,2012,Kimi Räikkönen 🇫🇮
2012 Australian Grand Prix 🇦🇺,1,21,53,McLaren 🇬🇧,2012-03-18,15,,2012,Jenson Button 🇬🇧
2012 Bahrain Grand Prix 🇧🇭,4,19,24,Red Bull 🇦🇹,2012-04-22,R,,2012,Sebastian Vettel 🇩🇪
2012 Belgian Grand Prix 🇧🇪,12,22,43,McLaren 🇬🇧,2012-09-02,16,,2012,Jenson Button 🇬🇧
2012 Brazilian Grand Prix 🇧🇷,20,22,70,McLaren 🇬🇧,2012-11-25,12,,2012,Jenson Button 🇬🇧
2012 British Grand Prix 🇬🇧,9,24,51,Red Bull 🇦🇹,2012-07-08,19,,2012,Mark Webber 🇦🇺
2012 Canadian Grand Prix 🇨🇦,7,23,69,McLaren 🇬🇧,2012-06-10,20,,2012,Lewis Hamilton 🇬🇧
2012 Chinese Grand Prix 🇨🇳,3,21,55,Mercedes 🇩🇪,2012-04-15,20,,2012,Nico Rosberg 🇩🇪
2012 European Grand Prix 🇪🇸,8,23,57,Ferrari 🇮🇹,2012-06-24,15,+1:36.551,2012,Fernando Alonso 🇪🇸
2012 German Grand Prix 🇩🇪,10,20,65,Ferrari 🇮🇹,2012-07-22,20,,2012,Fernando Alonso 🇪🇸
2012 Hungarian Grand Prix 🇭🇺,11,21,67,McLaren 🇬🇧,2012-07-29,20,,2012,Lewis Hamilton 🇬🇧
2012 Indian Grand Prix 🇮🇳,17,24,59,Red Bull 🇦🇹,2012-10-28,19,,2012,Sebastian Vettel 🇩🇪
2012 Italian Grand Prix 🇮🇹,13,20,52,McLaren 🇬🇧,2012-09-09,16,,2012,Lewis Hamilton 🇬🇧
2012 Japanese Grand Prix 🇯🇵,15,21,37,Red Bull 🇦🇹,2012-10-07,R,,2012,Sebastian Vettel 🇩🇪
2012 Korean Grand Prix 🇰🇷,16,24,53,Red Bull 🇦🇹,2012-10-14,19,,2012,Sebastian Vettel 🇩🇪
2012 Malaysian Grand Prix 🇲🇾,2,21,54,Ferrari 🇮🇹,2012-03-25,20,,2012,Fernando Alonso 🇪🇸
2012 Monaco Grand Prix 🇲🇨,6,21,64,Red Bull 🇦🇹,2012-05-27,R,,2012,Mark Webber 🇦🇺
2012 Singapore Grand Prix 🇸🇬,14,21,59,Red Bull 🇦🇹,2012-09-23,16,+132.925,2012,Sebastian Vettel 🇩🇪
2012 Spanish Grand Prix 🇪🇸,5,20,35,Williams 🇬🇧,2012-05-13,R,,2012,Pastor Maldonado 🇻🇪
2012 United States Grand Prix 🇺🇸,19,20,54,McLaren 🇬🇧,2012-11-18,20,,2012,Lewis Hamilton 🇬🇧
2013 Abu Dhabi Grand Prix 🇦🇪,17,19,54,Red Bull 🇦🇹,2013-11-03,19,,2013,Sebastian Vettel 🇩🇪
2013 Australian Grand Prix 🇦🇺,1,22,56,Lotus F1 🇬🇧,2013-03-17,16,,2013,Kimi Räikkönen 🇫🇮
2013 Bahrain Grand Prix 🇧🇭,4,18,56,Red Bull 🇦🇹,2013-04-21,17,,2013,Sebastian Vettel 🇩🇪
2013 Belgian Grand Prix 🇧🇪,11,22,8,Red Bull 🇦🇹,2013-08-25,R,,2013,Sebastian Vettel 🇩🇪
2013 Brazilian Grand Prix 🇧🇷,19,18,58,Red Bull 🇦🇹,2013-11-24,R,,2013,Sebastian Vettel 🇩🇪
2013 British Grand Prix 🇬🇧,8,18,52,Mercedes 🇩🇪,2013-06-30,15,+31.613,2013,Nico Rosberg 🇩🇪
2013 Canadian Grand Prix 🇨🇦,7,18,67,Red Bull 🇦🇹,2013-06-09,18,,2013,Sebastian Vettel 🇩🇪
2013 Chinese Grand Prix 🇨🇳,3,20,55,Ferrari 🇮🇹,2013-04-14,16,,2013,Fernando Alonso 🇪🇸
2013 German Grand Prix 🇩🇪,9,22,59,Red Bull 🇦🇹,2013-07-07,17,,2013,Sebastian Vettel 🇩🇪
2013 Hungarian Grand Prix 🇭🇺,10,19,68,Mercedes 🇩🇪,2013-07-28,15,,2013,Lewis Hamilton 🇬🇧
2013 Indian Grand Prix 🇮🇳,16,21,35,Red Bull 🇦🇹,2013-10-27,R,,2013,Sebastian Vettel 🇩🇪
2013 Italian Grand Prix 🇮🇹,12,20,52,Red Bull 🇦🇹,2013-09-08,17,,2013,Sebastian Vettel 🇩🇪
2013 Japanese Grand Prix 🇯🇵,15,20,52,Red Bull 🇦🇹,2013-10-13,18,,2013,Sebastian Vettel 🇩🇪
2013 Korean Grand Prix 🇰🇷,14,19,55,Red Bull 🇦🇹,2013-10-06,14,+1:03.578,2013,Sebastian Vettel 🇩🇪
2013 Malaysian Grand Prix 🇲🇾,2,20,55,Red Bull 🇦🇹,2013-03-24,14,,2013,Sebastian Vettel 🇩🇪
2013 Monaco Grand Prix 🇲🇨,6,18,7,Mercedes 🇩🇪,2013-05-26,R,,2013,Nico Rosberg 🇩🇪
2013 Singapore Grand Prix 🇸🇬,13,19,60,Red Bull 🇦🇹,2013-09-22,19,,2013,Sebastian Vettel 🇩🇪
2013 Spanish Grand Prix 🇪🇸,5,22,65,Ferrari 🇮🇹,2013-05-12,17,,2013,Fernando Alonso 🇪🇸
2013 United States Grand Prix 🇺🇸,18,22,55,Red Bull 🇦🇹,2013-11-17,20,,2013,Sebastian Vettel 🇩🇪
