name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1991 Australian Grand Prix 🇦🇺,16,0,0,McLaren 🇬🇧,1991-11-03,F,,1991,Ayrton Senna 🇧🇷
1991 Belgian Grand Prix 🇧🇪,11,0,0,McLaren 🇬🇧,1991-08-25,F,,1991,Ayrton Senna 🇧🇷
1991 Brazilian Grand Prix 🇧🇷,2,0,0,McLaren 🇬🇧,1991-03-24,F,,1991,Ayrton Senna 🇧🇷
1991 British Grand Prix 🇬🇧,8,0,0,Williams 🇬🇧,1991-07-14,F,,1991,Nigel Mansell 🇬🇧
1991 Canadian Grand Prix 🇨🇦,5,0,0,Benetton 🇮🇹,1991-06-02,F,,1991,Nelson Piquet 🇧🇷
1991 French Grand Prix 🇫🇷,7,0,0,Williams 🇬🇧,1991-07-07,F,,1991,Nigel Mansell 🇬🇧
1991 German Grand Prix 🇩🇪,9,0,0,Williams 🇬🇧,1991-07-28,F,,1991,Nigel Mansell 🇬🇧
1991 Hungarian Grand Prix 🇭🇺,10,0,0,McLaren 🇬🇧,1991-08-11,F,,1991,Ayrton Senna 🇧🇷
1991 Italian Grand Prix 🇮🇹,12,0,0,Williams 🇬🇧,1991-09-08,F,,1991,Nigel Mansell 🇬🇧
1991 Japanese Grand Prix 🇯🇵,15,0,0,McLaren 🇬🇧,1991-10-20,F,,1991,Gerhard Berger 🇦🇹
1991 Mexican Grand Prix 🇲🇽,6,0,0,Williams 🇬🇧,1991-06-16,F,,1991,Riccardo Patrese 🇮🇹
1991 Monaco Grand Prix 🇲🇨,4,0,0,McLaren 🇬🇧,1991-05-12,F,,1991,Ayrton Senna 🇧🇷
1991 Portuguese Grand Prix 🇵🇹,13,0,0,Williams 🇬🇧,1991-09-22,F,,1991,Riccardo Patrese 🇮🇹
1991 San Marino Grand Prix 🇮🇹,3,21,57,McLaren 🇬🇧,1991-04-28,9,,1991,Ayrton Senna 🇧🇷
1991 Spanish Grand Prix 🇪🇸,14,0,0,Williams 🇬🇧,1991-09-29,F,,1991,Nigel Mansell 🇬🇧
1991 United States Grand Prix 🇺🇸,1,0,0,McLaren 🇬🇧,1991-03-10,F,,1991,Ayrton Senna 🇧🇷
1992 Belgian Grand Prix 🇧🇪,12,15,43,Benetton 🇮🇹,1992-08-30,10,,1992,Michael Schumacher 🇩🇪
1992 Brazilian Grand Prix 🇧🇷,3,0,0,Williams 🇬🇧,1992-04-05,F,,1992,Nigel Mansell 🇬🇧
1992 British Grand Prix 🇬🇧,9,0,0,Williams 🇬🇧,1992-07-12,W,,1992,Nigel Mansell 🇬🇧
1992 Canadian Grand Prix 🇨🇦,7,0,0,McLaren 🇬🇧,1992-06-14,F,,1992,Gerhard Berger 🇦🇹
1992 French Grand Prix 🇫🇷,8,0,0,Williams 🇬🇧,1992-07-05,F,,1992,Nigel Mansell 🇬🇧
1992 German Grand Prix 🇩🇪,10,0,0,Williams 🇬🇧,1992-07-26,F,,1992,Nigel Mansell 🇬🇧
1992 Hungarian Grand Prix 🇭🇺,11,18,2,McLaren 🇬🇧,1992-08-16,R,,1992,Ayrton Senna 🇧🇷
1992 Italian Grand Prix 🇮🇹,13,25,0,McLaren 🇬🇧,1992-09-13,R,,1992,Ayrton Senna 🇧🇷
1992 Mexican Grand Prix 🇲🇽,2,0,0,Williams 🇬🇧,1992-03-22,F,,1992,Nigel Mansell 🇬🇧
1992 Monaco Grand Prix 🇲🇨,6,0,0,McLaren 🇬🇧,1992-05-31,F,,1992,Ayrton Senna 🇧🇷
1992 San Marino Grand Prix 🇮🇹,5,0,0,Williams 🇬🇧,1992-05-17,F,,1992,Nigel Mansell 🇬🇧
1992 South African Grand Prix 🇿🇦,1,26,68,Williams 🇬🇧,1992-03-01,13,,1992,Nigel Mansell 🇬🇧
1992 Spanish Grand Prix 🇪🇸,4,0,0,Williams 🇬🇧,1992-05-03,F,,1992,Nigel Mansell 🇬🇧
