name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1956 British Grand Prix 🇬🇧,R,8,1956-07-14T00:00:00.000Z,10,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,4,92,,0.0
1956 British Grand Prix 🇬🇧,2,8,1956-07-14T00:00:00.000Z,10,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,12,92,,0.0
1956 British Grand Prix 🇬🇧,R,8,1956-07-14T00:00:00.000Z,10,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,4,92,,0.0
1956 British Grand Prix 🇬🇧,10,8,1956-07-14T00:00:00.000Z,10,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,6,8,92,,0.0
1956 British Grand Prix 🇬🇧,1,8,1956-07-14T00:00:00.000Z,10,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,6,2,92,,0.0
1956 British Grand Prix 🇬🇧,2,8,1956-07-14T00:00:00.000Z,10,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,12,92,,0.0
1956 British Grand Prix 🇬🇧,1,12,1956-07-14T00:00:00.000Z,2,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,6,2,100,,3.0
1956 British Grand Prix 🇬🇧,10,8,1956-07-14T00:00:00.000Z,10,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,6,8,92,,0.0
1956 British Grand Prix 🇬🇧,1,8,1956-07-14T00:00:00.000Z,10,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,6,2,92,,0.0
1956 British Grand Prix 🇬🇧,2,12,1956-07-14T00:00:00.000Z,2,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,12,100,,3.0
1956 British Grand Prix 🇬🇧,R,12,1956-07-14T00:00:00.000Z,2,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,4,100,,3.0
1956 British Grand Prix 🇬🇧,10,12,1956-07-14T00:00:00.000Z,2,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,6,8,100,,3.0
1956 British Grand Prix 🇬🇧,1,12,1956-07-14T00:00:00.000Z,2,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,6,2,100,,3.0
1956 British Grand Prix 🇬🇧,2,12,1956-07-14T00:00:00.000Z,2,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,12,100,,3.0
1956 British Grand Prix 🇬🇧,R,12,1956-07-14T00:00:00.000Z,2,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,6,4,100,,3.0
1956 British Grand Prix 🇬🇧,10,12,1956-07-14T00:00:00.000Z,2,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,6,8,100,,3.0
1956 French Grand Prix 🇫🇷,4,9,1956-07-01T00:00:00.000Z,R,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,5,1,20,,0.0
1956 French Grand Prix 🇫🇷,2,9,1956-07-01T00:00:00.000Z,R,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,5,2,20,,0.0
1956 French Grand Prix 🇫🇷,1,9,1956-07-01T00:00:00.000Z,R,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,5,3,20,,0.0
1956 French Grand Prix 🇫🇷,R,9,1956-07-01T00:00:00.000Z,R,1956,Olivier Gendebien 🇧🇪,Ferrari 🇮🇹,5,11,20,,0.0
1956 German Grand Prix 🇩🇪,R,10,1956-08-05T00:00:00.000Z,R,1956,Giorgio Scarlatti 🇮🇹,Ferrari 🇮🇹,7,17,14,,0.0
1956 German Grand Prix 🇩🇪,R,10,1956-08-05T00:00:00.000Z,R,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,7,3,14,,0.0
1956 German Grand Prix 🇩🇪,R,10,1956-08-05T00:00:00.000Z,R,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,7,2,14,,0.0
1956 German Grand Prix 🇩🇪,R,10,1956-08-05T00:00:00.000Z,R,1956,Luigi Musso 🇮🇹,Ferrari 🇮🇹,7,5,14,,0.0
1956 German Grand Prix 🇩🇪,1,10,1956-08-05T00:00:00.000Z,R,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,7,1,14,,0.0
1956 Italian Grand Prix 🇮🇹,8,9,1956-09-02T00:00:00.000Z,R,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,8,1,6,,0.0
1956 Italian Grand Prix 🇮🇹,2,9,1956-09-02T00:00:00.000Z,R,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,8,7,6,,0.0
1956 Italian Grand Prix 🇮🇹,W,9,1956-09-02T00:00:00.000Z,R,1956,Wolfgang von Trips 🇩🇪,Ferrari 🇮🇹,8,0,6,,0.0
1956 Italian Grand Prix 🇮🇹,R,9,1956-09-02T00:00:00.000Z,R,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,8,2,6,,0.0
1956 Italian Grand Prix 🇮🇹,R,9,1956-09-02T00:00:00.000Z,R,1956,Luigi Musso 🇮🇹,Ferrari 🇮🇹,8,3,6,,0.0
1956 Italian Grand Prix 🇮🇹,8,9,1956-09-02T00:00:00.000Z,R,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,8,1,6,,0.0
1956 Italian Grand Prix 🇮🇹,2,9,1956-09-02T00:00:00.000Z,R,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,8,7,6,,0.0
1957 Argentine Grand Prix 🇦🇷,6,10,1957-01-13T00:00:00.000Z,5,1957,Wolfgang von Trips 🇩🇪,Ferrari 🇮🇹,1,11,98,,1.0
1957 Argentine Grand Prix 🇦🇷,6,10,1957-01-13T00:00:00.000Z,5,1957,Peter Collins 🇬🇧,Ferrari 🇮🇹,1,11,98,,1.0
1957 Argentine Grand Prix 🇦🇷,5,10,1957-01-13T00:00:00.000Z,5,1957,José Froilán González 🇦🇷,Ferrari 🇮🇹,1,10,98,,1.0
1957 Argentine Grand Prix 🇦🇷,R,10,1957-01-13T00:00:00.000Z,5,1957,Peter Collins 🇬🇧,Ferrari 🇮🇹,1,5,98,,1.0
1957 Argentine Grand Prix 🇦🇷,R,10,1957-01-13T00:00:00.000Z,5,1957,Luigi Musso 🇮🇹,Ferrari 🇮🇹,1,6,98,,1.0
1957 Argentine Grand Prix 🇦🇷,R,10,1957-01-13T00:00:00.000Z,5,1957,Mike Hawthorn 🇬🇧,Ferrari 🇮🇹,1,7,98,,1.0
1957 Argentine Grand Prix 🇦🇷,R,10,1957-01-13T00:00:00.000Z,5,1957,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,1,4,98,,1.0
1957 Argentine Grand Prix 🇦🇷,9,10,1957-01-13T00:00:00.000Z,5,1957,Alessandro de Tomaso 🇦🇷,Ferrari 🇮🇹,1,12,98,,1.0
1957 Argentine Grand Prix 🇦🇷,6,10,1957-01-13T00:00:00.000Z,5,1957,Cesare Perdisa 🇮🇹,Ferrari 🇮🇹,1,11,98,,1.0
