name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1974 Austrian Grand Prix 🇦🇹,8,16,1974-08-18,R,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,12,23,22,,0.0
1974 British Grand Prix 🇬🇧,R,5,1974-07-20,8,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,10,16,74,,0.0
1974 Canadian Grand Prix 🇨🇦,R,13,1974-09-22,R,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,14,5,65,,0.0
1974 Dutch Grand Prix 🇳🇱,R,11,1974-06-23,R,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,8,7,0,,0.0
1974 French Grand Prix 🇫🇷,12,3,1974-07-07,R,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,9,12,1,,0.0
1974 German Grand Prix 🇩🇪,8,11,1974-08-04,6,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,11,18,14,+2:18.1,1.0
1974 Italian Grand Prix 🇮🇹,R,22,1974-09-08,10,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,13,9,50,,0.0
1974 United States Grand Prix 🇺🇸,10,18,1974-10-06,N,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,15,10,47,,0.0
1975 Argentine Grand Prix 🇦🇷,W,14,1975-01-12,12,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,1,1,51,,0.0
1975 Belgian Grand Prix 🇧🇪,R,5,1975-05-25,6,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,6,10,70,+1:28.45,1.0
1975 Brazilian Grand Prix 🇧🇷,R,14,1975-01-26,R,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,2,1,31,,0.0
1975 British Grand Prix 🇬🇧,14,1,1975-07-19,R,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,10,11,20,,0.0
1975 Dutch Grand Prix 🇳🇱,R,12,1975-06-22,6,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,8,10,74,,1.0
1975 French Grand Prix 🇫🇷,8,6,1975-07-06,R,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,9,4,2,,0.0
1975 German Grand Prix 🇩🇪,R,16,1975-08-03,4,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,11,12,14,+3:31.4,3.0
1975 Monaco Grand Prix 🇲🇨,R,2,1975-05-11,R,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,5,3,39,,0.0
1975 South African Grand Prix 🇿🇦,R,19,1975-03-01,9,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,3,13,77,,0.0
1975 Spanish Grand Prix 🇪🇸,4,8,1975-04-27,R,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,4,10,23,,0.0
1975 Swedish Grand Prix 🇸🇪,R,7,1975-06-08,R,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,7,3,53,,0.0
1975 United States Grand Prix 🇺🇸,R,7,1975-10-05,N,1975,Jean-Pierre Jarier 🇫🇷,Shadow-Ford 🇬🇧,14,4,52,,0.0
1976 Austrian Grand Prix 🇦🇹,R,6,1976-08-15,R,1976,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,11,8,14,,0.0
1976 Belgian Grand Prix 🇧🇪,9,13,1976-05-16,10,1976,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,5,14,68,,0.0
1976 Brazilian Grand Prix 🇧🇷,R,12,1976-01-25,3,1976,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,1,3,40,+23.84,4.0
1976 British Grand Prix 🇬🇧,F,20,1976-07-18,4,1976,Mike Wilds 🇬🇧,Shadow 🇬🇧,9,0,75,,3.0
1976 British Grand Prix 🇬🇧,9,20,1976-07-18,4,1976,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,9,24,75,,3.0
