name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2001 Australian Grand Prix 🇦🇺,4,13,2001-03-04,6,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,1,10,58,+1:24.143,1.0
2001 Austrian Grand Prix 🇦🇹,9,9,2001-05-13,4,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,6,6,71,+41.593,3.0
2001 Belgian Grand Prix 🇧🇪,R,12,2001-09-02,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,14,14,0,,0.0
2001 Brazilian Grand Prix 🇧🇷,3,10,2001-04-01,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,3,9,55,,0.0
2001 British Grand Prix 🇬🇧,6,7,2001-07-15,5,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,11,9,59,,2.0
2001 Canadian Grand Prix 🇨🇦,R,7,2001-06-10,4,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,8,11,69,+1:08.116,3.0
2001 European Grand Prix 🇩🇪,R,9,2001-06-24,10,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,9,10,66,,0.0
2001 French Grand Prix 🇫🇷,6,13,2001-07-01,7,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,10,9,71,,0.0
2001 German Grand Prix 🇩🇪,R,8,2001-07-29,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,12,7,16,,0.0
2001 Hungarian Grand Prix 🇭🇺,6,9,2001-08-19,7,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,13,7,76,,0.0
2001 Italian Grand Prix 🇮🇹,11,9,2001-09-16,7,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,15,8,53,+1:23.107,0.0
2001 Japanese Grand Prix 🇯🇵,9,12,2001-10-14,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,17,10,5,,0.0
2001 Malaysian Grand Prix 🇲🇾,R,14,2001-03-18,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,2,11,0,,0.0
2001 Monaco Grand Prix 🇲🇨,R,15,2001-05-27,10,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,7,16,73,,0.0
2001 San Marino Grand Prix 🇮🇹,7,10,2001-04-15,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,4,12,17,,0.0
2001 Spanish Grand Prix 🇪🇸,6,9,2001-04-29,8,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,5,10,65,+1:19.808,0.0
2001 United States Grand Prix 🇺🇸,6,11,2001-09-30,R,2001,Nick Heidfeld 🇩🇪,Sauber 🇨🇭,16,6,2,,0.0
2002 Australian Grand Prix 🇦🇺,R,5,2002-03-03,3,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,1,4,58,+25.067,4.0
2002 Austrian Grand Prix 🇦🇹,6,6,2002-05-12,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,6,8,5,,0.0
2002 Belgian Grand Prix 🇧🇪,4,2,2002-09-01,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,14,6,35,,0.0
2002 Brazilian Grand Prix 🇧🇷,3,5,2002-03-31,12,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,3,4,67,,0.0
2002 British Grand Prix 🇬🇧,10,5,2002-07-07,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,10,6,44,,0.0
2002 Canadian Grand Prix 🇨🇦,2,5,2002-06-09,4,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,8,8,70,+37.563,3.0
2002 European Grand Prix 🇩🇪,R,6,2002-06-23,3,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,9,5,60,+46.435,4.0
2002 French Grand Prix 🇫🇷,3,4,2002-07-21,2,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,11,6,72,+1.104,6.0
2002 German Grand Prix 🇩🇪,5,5,2002-07-28,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,12,9,59,,0.0
2002 Hungarian Grand Prix 🇭🇺,5,11,2002-08-18,4,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,13,10,77,+29.479,3.0
2002 Italian Grand Prix 🇮🇹,7,6,2002-09-15,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,15,7,29,,0.0
2002 Japanese Grand Prix 🇯🇵,R,4,2002-10-13,3,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,17,3,53,+23.292,4.0
2002 Malaysian Grand Prix 🇲🇾,R,5,2002-03-17,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,2,6,24,,0.0
2002 Monaco Grand Prix 🇲🇨,1,6,2002-05-26,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,7,2,41,,0.0
2002 San Marino Grand Prix 🇮🇹,6,5,2002-04-14,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,4,6,44,,0.0
2002 Spanish Grand Prix 🇪🇸,3,5,2002-04-28,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,5,7,4,,0.0
2002 United States Grand Prix 🇺🇸,3,6,2002-09-29,R,2002,David Coulthard 🇬🇧,McLaren 🇬🇧,16,3,50,,0.0
2003 Australian Grand Prix 🇦🇺,1,15,2003-03-09,3,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,1,11,58,+9.192,6.0
2003 Austrian Grand Prix 🇦🇹,5,2,2003-05-18,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,6,14,69,+3.362,8.0
2003 Brazilian Grand Prix 🇧🇷,4,4,2003-04-06,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,3,2,54,+0.945,8.0
2003 British Grand Prix 🇬🇧,5,3,2003-07-20,3,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,11,12,60,+10.656,6.0
2003 Canadian Grand Prix 🇨🇦,R,20,2003-06-15,6,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,8,11,70,+1:10.502,3.0
2003 European Grand Prix 🇩🇪,15,1,2003-06-29,R,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,9,9,25,,0.0
2003 French Grand Prix 🇫🇷,5,4,2003-07-06,4,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,10,5,70,+38.047,5.0
2003 German Grand Prix 🇩🇪,2,5,2003-08-03,R,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,12,10,0,,0.0
2003 Hungarian Grand Prix 🇭🇺,5,7,2003-08-24,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,13,9,70,+16.768,8.0
2003 Italian Grand Prix 🇮🇹,R,4,2003-09-14,4,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,14,8,53,+12.834,5.0
2003 Japanese Grand Prix 🇯🇵,3,8,2003-10-12,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,16,7,53,+11.085,8.0
2003 Malaysian Grand Prix 🇲🇾,R,7,2003-03-23,1,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,2,4,56,1:32:22.195,10.0
2003 Monaco Grand Prix 🇲🇨,7,2,2003-06-01,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,7,6,78,+0.602,8.0
2003 San Marino Grand Prix 🇮🇹,5,6,2003-04-20,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,4,12,62,+1.882,8.0
2003 Spanish Grand Prix 🇪🇸,R,20,2003-05-04,R,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,5,8,0,,0.0
2003 United States Grand Prix 🇺🇸,R,1,2003-09-28,2,2003,David Coulthard 🇬🇧,McLaren 🇬🇧,15,8,73,+18.258,8.0
2004 Australian Grand Prix 🇦🇺,8,10,2004-03-07,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,1,12,9,,0.0
2004 Bahrain Grand Prix 🇧🇭,R,19,2004-04-04,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,3,10,7,,0.0
2004 Belgian Grand Prix 🇧🇪,7,10,2004-08-29,1,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,14,4,44,1:32:35.274,10.0
2004 Brazilian Grand Prix 🇧🇷,11,3,2004-10-24,2,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,18,12,71,+1.022,8.0
2004 British Grand Prix 🇬🇧,7,1,2004-07-11,2,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,11,6,60,+2.130,8.0
2004 Canadian Grand Prix 🇨🇦,6,8,2004-06-13,5,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,8,9,69,,4.0
2004 Chinese Grand Prix 🇨🇳,9,2,2004-09-26,3,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,16,9,56,+1.469,6.0
2004 European Grand Prix 🇩🇪,R,4,2004-05-30,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,7,18,9,,0.0
2004 French Grand Prix 🇫🇷,6,9,2004-07-04,7,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,10,3,70,+36.230,2.0
2004 German Grand Prix 🇩🇪,4,3,2004-07-25,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,12,4,13,,0.0
2004 Hungarian Grand Prix 🇭🇺,9,10,2004-08-15,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,13,12,13,,0.0
2004 Italian Grand Prix 🇮🇹,6,7,2004-09-12,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,15,10,13,,0.0
2004 Japanese Grand Prix 🇯🇵,R,12,2004-10-10,6,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,17,8,53,+39.362,3.0
2004 Malaysian Grand Prix 🇲🇾,6,5,2004-03-21,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,2,9,40,,0.0
2004 Monaco Grand Prix 🇲🇨,R,5,2004-05-23,R,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,6,8,27,,0.0
2004 San Marino Grand Prix 🇮🇹,12,20,2004-04-25,8,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,4,11,61,,1.0
2004 Spanish Grand Prix 🇪🇸,10,13,2004-05-09,11,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,5,10,65,,0.0
2004 United States Grand Prix 🇺🇸,7,7,2004-06-20,6,2004,David Coulthard 🇬🇧,McLaren 🇬🇧,9,12,72,,3.0
2005 Australian Grand Prix 🇦🇺,6,10,2005-03-06,8,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,1,9,57,+39.633,1.0
2005 Bahrain Grand Prix 🇧🇭,5,9,2005-04-03,3,2005,Pedro de la Rosa 🇪🇸,McLaren 🇬🇧,3,8,57,+32.063,6.0
2005 Belgian Grand Prix 🇧🇪,14,2,2005-09-11,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,16,1,44,1:30:01.295,10.0
2005 Brazilian Grand Prix 🇧🇷,1,5,2005-09-25,2,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,17,2,71,+2.527,8.0
2005 British Grand Prix 🇬🇧,1,12,2005-07-10,3,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,11,3,60,+14.4,6.0
2005 Canadian Grand Prix 🇨🇦,D,7,2005-06-12,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,8,5,70,1:32:09.290,10.0
2005 Chinese Grand Prix 🇨🇳,R,3,2005-10-16,2,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,19,5,56,+4.0,8.0
2005 European Grand Prix 🇩🇪,7,2,2005-05-29,11,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,7,5,58,,0.0
2005 French Grand Prix 🇫🇷,R,13,2005-07-03,2,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,10,8,70,+11.8,8.0
2005 German Grand Prix 🇩🇪,2,1,2005-07-24,R,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,12,20,32,,0.0
2005 Hungarian Grand Prix 🇭🇺,R,4,2005-07-31,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,13,2,70,1:37:25.552,10.0
2005 Italian Grand Prix 🇮🇹,1,11,2005-09-04,4,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,15,1,53,+22.775,5.0
2005 Japanese Grand Prix 🇯🇵,R,17,2005-10-09,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,18,18,53,1:29:02.212,10.0
2005 Malaysian Grand Prix 🇲🇾,4,6,2005-03-20,9,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,2,11,56,+1:21.580,0.0
2005 Monaco Grand Prix 🇲🇨,5,1,2005-05-22,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,6,16,78,1:45:15.556,10.0
2005 San Marino Grand Prix 🇮🇹,3,1,2005-04-24,R,2005,Alexander Wurz 🇦🇹,McLaren 🇬🇧,4,7,9,,0.0
2005 Spanish Grand Prix 🇪🇸,7,1,2005-05-08,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,5,7,66,1:27:16.830,10.0
2005 Turkish Grand Prix 🇹🇷,3,1,2005-08-21,1,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,14,4,58,1:24:34.454,10.0
2005 United States Grand Prix 🇺🇸,W,2,2005-06-19,W,2005,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,9,11,0,,0.0
2006 Australian Grand Prix 🇦🇺,R,4,2006-04-02,2,2006,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,3,5,57,+1.8,8.0
2006 Bahrain Grand Prix 🇧🇭,5,22,2006-03-12,3,2006,Juan Pablo Montoya 🇨🇴,McLaren 🇬🇧,1,5,57,+19.360,6.0
2006 Brazilian Grand Prix 🇧🇷,8,2,2006-10-22,5,2006,Pedro de la Rosa 🇪🇸,McLaren 🇬🇧,18,12,71,+28.503,4.0
