name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1977 Austrian Grand Prix 🇦🇹,F,0,1977-08-14,F,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,12,0,0,,0.0
1977 Austrian Grand Prix 🇦🇹,7,0,1977-08-14,F,1977,Rupert Keegan 🇬🇧,Hesketh 🇬🇧,12,20,0,,0.0
1977 Belgian Grand Prix 🇧🇪,R,0,1977-06-05,F,1977,Rupert Keegan 🇬🇧,Hesketh 🇬🇧,7,19,0,,0.0
1977 Belgian Grand Prix 🇧🇪,9,0,1977-06-05,F,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,7,25,0,,0.0
1977 Dutch Grand Prix 🇳🇱,F,0,1977-08-28,F,1977,Ian Ashley 🇬🇧,Hesketh 🇬🇧,13,0,0,,0.0
1977 Dutch Grand Prix 🇳🇱,R,0,1977-08-28,F,1977,Rupert Keegan 🇬🇧,Hesketh 🇬🇧,13,26,0,,0.0
1977 French Grand Prix 🇫🇷,F,0,1977-07-03,F,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,9,0,0,,0.0
1977 French Grand Prix 🇫🇷,10,0,1977-07-03,F,1977,Rupert Keegan 🇬🇧,Hesketh 🇬🇧,9,14,0,,0.0
1977 German Grand Prix 🇩🇪,R,24,1977-07-31,R,1977,Rupert Keegan 🇬🇧,Hesketh 🇬🇧,11,23,20,,0.0
1977 Swedish Grand Prix 🇸🇪,16,0,1977-06-19,F,1977,Harald Ertl 🇦🇹,Hesketh 🇬🇧,8,23,0,,0.0
1977 Swedish Grand Prix 🇸🇪,13,0,1977-06-19,F,1977,Rupert Keegan 🇬🇧,Hesketh 🇬🇧,8,24,0,,0.0
1978 Argentine Grand Prix 🇦🇷,5,0,1978-01-15,F,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,1,3,0,,0.0
1978 Argentine Grand Prix 🇦🇷,1,0,1978-01-15,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,1,1,0,,0.0
1978 Austrian Grand Prix 🇦🇹,1,18,1978-08-13,R,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,12,1,4,,0.0
1978 Austrian Grand Prix 🇦🇹,R,18,1978-08-13,R,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,12,2,4,,0.0
1978 Belgian Grand Prix 🇧🇪,2,0,1978-05-21,F,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,6,7,0,,0.0
1978 Belgian Grand Prix 🇧🇪,1,0,1978-05-21,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,6,1,0,,0.0
1978 Brazilian Grand Prix 🇧🇷,R,22,1978-01-29,R,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,2,1,40,,0.0
1978 Brazilian Grand Prix 🇧🇷,4,22,1978-01-29,R,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,2,3,40,,0.0
1978 British Grand Prix 🇬🇧,R,21,1978-07-16,R,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,10,2,15,,0.0
1978 British Grand Prix 🇬🇧,R,21,1978-07-16,R,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,10,1,15,,0.0
1978 Canadian Grand Prix 🇨🇦,10,0,1978-10-08,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,16,9,0,,0.0
1978 Canadian Grand Prix 🇨🇦,R,0,1978-10-08,F,1978,Jean-Pierre Jarier 🇫🇷,Team Lotus 🇬🇧,16,1,0,,0.0
1978 Dutch Grand Prix 🇳🇱,1,20,1978-08-27,11,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,13,1,74,,0.0
1978 Dutch Grand Prix 🇳🇱,2,20,1978-08-27,11,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,13,2,74,,0.0
1978 French Grand Prix 🇫🇷,2,0,1978-07-02,F,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,9,5,0,,0.0
1978 French Grand Prix 🇫🇷,1,0,1978-07-02,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,9,2,0,,0.0
1978 German Grand Prix 🇩🇪,R,18,1978-07-30,6,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,11,2,45,+1:37.86,1.0
1978 German Grand Prix 🇩🇪,1,18,1978-07-30,6,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,11,1,45,+1:37.86,1.0
1978 Italian Grand Prix 🇮🇹,R,0,1978-09-10,F,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,14,5,0,,0.0
1978 Italian Grand Prix 🇮🇹,6,0,1978-09-10,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,14,1,0,,0.0
1978 Monaco Grand Prix 🇲🇨,11,0,1978-05-07,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,5,4,0,,0.0
1978 Monaco Grand Prix 🇲🇨,R,0,1978-05-07,F,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,5,7,0,,0.0
1978 South African Grand Prix 🇿🇦,1,21,1978-03-04,10,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,3,12,77,,0.0
1978 South African Grand Prix 🇿🇦,7,21,1978-03-04,10,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,3,2,77,,0.0
1978 Spanish Grand Prix 🇪🇸,1,20,1978-06-04,R,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,7,1,21,,0.0
1978 Spanish Grand Prix 🇪🇸,2,20,1978-06-04,R,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,7,2,21,,0.0
1978 Swedish Grand Prix 🇸🇪,R,21,1978-06-17,12,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,8,1,68,,0.0
1978 Swedish Grand Prix 🇸🇪,3,21,1978-06-17,12,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,8,4,68,,0.0
1978 United States Grand Prix West 🇺🇸,2,0,1978-04-02,F,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,4,4,0,,0.0
1978 United States Grand Prix West 🇺🇸,4,0,1978-04-02,F,1978,Ronnie Peterson 🇸🇪,Team Lotus 🇬🇧,4,6,0,,0.0
1978 United States Grand Prix 🇺🇸,R,23,1978-10-01,R,1978,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,15,1,0,,0.0
1978 United States Grand Prix 🇺🇸,15,23,1978-10-01,R,1978,Jean-Pierre Jarier 🇫🇷,Team Lotus 🇬🇧,15,8,0,,0.0
1979 Argentine Grand Prix 🇦🇷,5,19,1979-01-21,R,1979,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,1,7,46,,0.0
1979 Argentine Grand Prix 🇦🇷,2,19,1979-01-21,R,1979,Carlos Reutemann 🇦🇷,Team Lotus 🇬🇧,1,3,46,,0.0
1979 Austrian Grand Prix 🇦🇹,R,0,1979-08-12,F,1979,Carlos Reutemann 🇦🇷,Team Lotus 🇬🇧,11,17,0,,0.0
1979 Austrian Grand Prix 🇦🇹,R,0,1979-08-12,F,1979,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,11,15,0,,0.0
1979 Belgian Grand Prix 🇧🇪,4,15,1979-05-13,R,1979,Carlos Reutemann 🇦🇷,Team Lotus 🇬🇧,6,10,13,,0.0
1979 Belgian Grand Prix 🇧🇪,R,15,1979-05-13,R,1979,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,6,5,13,,0.0
1979 Brazilian Grand Prix 🇧🇷,R,0,1979-02-04,F,1979,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,2,4,0,,0.0
1979 Brazilian Grand Prix 🇧🇷,3,0,1979-02-04,F,1979,Carlos Reutemann 🇦🇷,Team Lotus 🇬🇧,2,3,0,,0.0
1979 British Grand Prix 🇬🇧,8,26,1979-07-14,9,1979,Carlos Reutemann 🇦🇷,Team Lotus 🇬🇧,9,8,66,,0.0
1979 British Grand Prix 🇬🇧,R,26,1979-07-14,9,1979,Mario Andretti 🇺🇸,Team Lotus 🇬🇧,9,9,66,,0.0
