name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1968 Belgian Grand Prix 🇧🇪,6,11,1968-06-09,R,1968,Lucien Bianchi 🇧🇪,Cooper-BRM 🇬🇧,4,12,6,,0.0
1968 South African Grand Prix 🇿🇦,7,21,1968-01-01,R,1968,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,1,16,4,,0.0
1968 South African Grand Prix 🇿🇦,R,21,1968-01-01,R,1968,Jo Bonnier 🇸🇪,Cooper-Maserati 🇬🇧,1,19,4,,0.0
1968 Spanish Grand Prix 🇪🇸,4,13,1968-05-12,3,1968,Ludovico Scarfiotti 🇮🇹,Cooper-BRM 🇬🇧,2,12,89,,4.0
1971 South African Grand Prix 🇿🇦,12,17,1971-03-06,7,1971,Rolf Stommelen 🇩🇪,Surtees 🇬🇧,1,15,78,,0.0
1971 South African Grand Prix 🇿🇦,R,17,1971-03-06,7,1971,John Surtees 🇬🇧,Surtees 🇬🇧,1,6,78,,0.0
1972 French Grand Prix 🇫🇷,7,13,1972-07-02,9,1972,Denny Hulme 🇳🇿,McLaren 🇬🇧,6,2,38,+2:55.5,0.0
1972 German Grand Prix 🇩🇪,R,19,1972-07-30,5,1972,Denny Hulme 🇳🇿,McLaren 🇬🇧,8,10,14,+2:35.7,2.0
1972 Monaco Grand Prix 🇲🇨,15,10,1972-05-14,5,1972,Denny Hulme 🇳🇿,McLaren 🇬🇧,4,7,77,,2.0
1972 United States Grand Prix 🇺🇸,R,24,1972-10-08,R,1972,Peter Gethin 🇬🇧,BRM 🇬🇧,12,28,34,,0.0
1972 United States Grand Prix 🇺🇸,R,24,1972-10-08,R,1972,Howden Ganley 🇳🇿,BRM 🇬🇧,12,17,34,,0.0
1972 United States Grand Prix 🇺🇸,R,24,1972-10-08,R,1972,Jean-Pierre Beltoise 🇫🇷,BRM 🇬🇧,12,18,34,,0.0
1973 United States Grand Prix 🇺🇸,13,13,1973-10-07,D,1973,Graham Hill 🇬🇧,Shadow 🇬🇧,15,18,5,,0.0
1973 United States Grand Prix 🇺🇸,14,13,1973-10-07,D,1973,George Follmer 🇺🇸,Shadow 🇬🇧,15,20,5,,0.0
1973 United States Grand Prix 🇺🇸,15,13,1973-10-07,D,1973,Jackie Oliver 🇬🇧,Shadow 🇬🇧,15,22,5,,0.0
1974 Belgian Grand Prix 🇧🇪,13,18,1974-05-12,18,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,5,17,80,,0.0
1974 Monaco Grand Prix 🇲🇨,3,16,1974-05-26,R,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,6,6,0,,0.0
1974 Spanish Grand Prix 🇪🇸,R,21,1974-04-28,7,1974,Jean-Pierre Jarier 🇫🇷,Shadow 🇬🇧,4,12,81,,0.0
