name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,27,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,25,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,1,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,R,23,1952-05-30,7,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,21,23,1952-05-30,7,1952,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,2,33,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,18,23,1952-05-30,7,1952,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,11,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,17,23,1952-05-30,7,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,13,23,1952-05-30,7,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,11,23,1952-05-30,7,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,10,23,1952-05-30,7,1952,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,31,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,9,23,1952-05-30,7,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,8,23,1952-05-30,7,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,6,23,1952-05-30,7,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,5,23,1952-05-30,7,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,3,23,1952-05-30,7,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,200,+10:35.24,0.0
1952 Indianapolis 500 🇺🇸,2,23,1952-05-30,7,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,+10:35.24,0.0
1957 Indianapolis 500 🇺🇸,R,6,1957-05-30,R,1957,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,3,29,182,,0.0
1957 Indianapolis 500 🇺🇸,R,6,1957-05-30,R,1957,Ed Elisian 🇺🇸,Kurtis Kraft 🇺🇸,3,7,182,,0.0
1957 Indianapolis 500 🇺🇸,R,6,1957-05-30,R,1957,Eddie Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,26,182,,0.0
1957 Indianapolis 500 🇺🇸,R,6,1957-05-30,R,1957,Elmer George 🇺🇸,Kurtis Kraft 🇺🇸,3,9,182,,0.0
