name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Austrian Grand Prix 🇦🇹,9,2,60,Ferrari 🇮🇹,1970-08-16,2,+0.61,1970,Jacky Ickx 🇧🇪
1970 British Grand Prix 🇬🇧,7,6,80,Team Lotus 🇬🇧,1970-07-18,4,+54.8,1970,Jochen Rindt 🇦🇹
1970 Canadian Grand Prix 🇨🇦,11,3,90,Ferrari 🇮🇹,1970-09-20,2,+14.8,1970,Jacky Ickx 🇧🇪
1970 Dutch Grand Prix 🇳🇱,5,6,79,Team Lotus 🇬🇧,1970-06-21,4,,1970,Jochen Rindt 🇦🇹
1970 German Grand Prix 🇩🇪,8,3,30,Team Lotus 🇬🇧,1970-08-02,R,,1970,Jochen Rindt 🇦🇹
1970 Italian Grand Prix 🇮🇹,10,3,68,Ferrari 🇮🇹,1970-09-06,1,1:39:07.1,1970,Clay Regazzoni 🇨🇭
1970 Mexican Grand Prix 🇲🇽,13,1,65,Ferrari 🇮🇹,1970-10-25,2,+24.64,1970,Jacky Ickx 🇧🇪
1970 United States Grand Prix 🇺🇸,12,6,101,Team Lotus 🇬🇧,1970-10-04,13,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,4,8,BRM 🇬🇧,1971-08-15,R,,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,1,48,Tyrrell 🇬🇧,1971-07-17,R,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,18,7,Tyrrell 🇬🇧,1971-09-19,R,,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,4,69,Ferrari 🇮🇹,1971-06-20,3,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,2,20,Tyrrell 🇬🇧,1971-07-04,R,,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,4,12,Tyrrell 🇬🇧,1971-08-01,3,+37.1,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,8,17,BRM 🇬🇧,1971-09-05,R,,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,11,24,Tyrrell 🇬🇧,1971-05-23,R,,1971,Jackie Stewart 🇬🇧
1971 South African Grand Prix 🇿🇦,1,3,79,Ferrari 🇮🇹,1971-03-06,3,+31.4,1971,Mario Andretti 🇺🇸
1971 Spanish Grand Prix 🇪🇸,2,2,13,Tyrrell 🇬🇧,1971-04-18,R,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,4,59,Tyrrell 🇬🇧,1971-10-03,6,+1:16.426,1971,François Cevert 🇫🇷
1972 Argentine Grand Prix 🇦🇷,1,6,95,Tyrrell 🇬🇧,1972-01-23,4,+1:06.72,1972,Jackie Stewart 🇬🇧
1972 Austrian Grand Prix 🇦🇹,9,2,13,Team Lotus 🇬🇧,1972-08-13,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Belgian Grand Prix 🇧🇪,5,2,57,Team Lotus 🇬🇧,1972-06-04,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Canadian Grand Prix 🇨🇦,11,7,80,Tyrrell 🇬🇧,1972-09-24,5,+1:07.0,1972,Jackie Stewart 🇬🇧
1972 German Grand Prix 🇩🇪,8,7,14,Ferrari 🇮🇹,1972-07-30,2,+48.3,1972,Jacky Ickx 🇧🇪
1972 Italian Grand Prix 🇮🇹,10,4,16,Team Lotus 🇬🇧,1972-09-10,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Monaco Grand Prix 🇲🇨,4,3,51,BRM 🇬🇧,1972-05-14,R,,1972,Jean-Pierre Beltoise 🇫🇷
1972 South African Grand Prix 🇿🇦,2,2,77,McLaren 🇬🇧,1972-03-04,12,,1972,Denny Hulme 🇳🇿
1972 Spanish Grand Prix 🇪🇸,3,8,89,Team Lotus 🇬🇧,1972-05-01,3,,1972,Emerson Fittipaldi 🇧🇷
1972 United States Grand Prix 🇺🇸,12,6,58,Tyrrell 🇬🇧,1972-10-08,8,,1972,Jackie Stewart 🇬🇧
1973 Argentine Grand Prix 🇦🇷,1,1,93,Team Lotus 🇬🇧,1973-01-28,7,,1973,Emerson Fittipaldi 🇧🇷
1973 Austrian Grand Prix 🇦🇹,12,14,54,Team Lotus 🇬🇧,1973-08-19,6,+1:38.40,1973,Ronnie Peterson 🇸🇪
1973 Belgian Grand Prix 🇧🇪,5,12,63,Tyrrell 🇬🇧,1973-05-20,10,,1973,Jackie Stewart 🇬🇧
1973 Brazilian Grand Prix 🇧🇷,2,4,39,Team Lotus 🇬🇧,1973-02-11,6,,1973,Emerson Fittipaldi 🇧🇷
1973 British Grand Prix 🇬🇧,9,10,67,McLaren 🇬🇧,1973-07-14,7,+1:11.7,1973,Peter Revson 🇺🇸
1973 Dutch Grand Prix 🇳🇱,10,12,68,Tyrrell 🇬🇧,1973-07-29,8,,1973,Jackie Stewart 🇬🇧
1973 French Grand Prix 🇫🇷,8,9,53,Team Lotus 🇬🇧,1973-07-01,12,,1973,Ronnie Peterson 🇸🇪
1973 German Grand Prix 🇩🇪,11,10,7,Tyrrell 🇬🇧,1973-08-05,R,,1973,Jackie Stewart 🇬🇧
1973 Italian Grand Prix 🇮🇹,13,18,30,Team Lotus 🇬🇧,1973-09-09,R,,1973,Ronnie Peterson 🇸🇪
1973 Monaco Grand Prix 🇲🇨,6,8,15,Tyrrell 🇬🇧,1973-06-03,R,,1973,Jackie Stewart 🇬🇧
1973 South African Grand Prix 🇿🇦,3,5,2,Tyrrell 🇬🇧,1973-03-03,R,,1973,Jackie Stewart 🇬🇧
1973 Spanish Grand Prix 🇪🇸,4,8,69,Team Lotus 🇬🇧,1973-04-29,9,,1973,Emerson Fittipaldi 🇧🇷
1973 Swedish Grand Prix 🇸🇪,7,12,77,McLaren 🇬🇧,1973-06-17,9,,1973,Denny Hulme 🇳🇿
1973 United States Grand Prix 🇺🇸,15,15,58,Team Lotus 🇬🇧,1973-10-07,8,,1973,Ronnie Peterson 🇸🇪
1974 Argentine Grand Prix 🇦🇷,1,2,53,McLaren 🇬🇧,1974-01-13,3,+20.41,1974,Denny Hulme 🇳🇿
1974 Austrian Grand Prix 🇦🇹,12,8,54,Brabham 🇬🇧,1974-08-18,5,+1:13.08,1974,Carlos Reutemann 🇦🇷
1974 Belgian Grand Prix 🇧🇪,5,1,85,McLaren 🇬🇧,1974-05-12,4,+52.02,1974,Emerson Fittipaldi 🇧🇷
1974 Brazilian Grand Prix 🇧🇷,2,8,32,McLaren 🇬🇧,1974-01-27,2,+13.57,1974,Emerson Fittipaldi 🇧🇷
1974 British Grand Prix 🇬🇧,10,7,75,Tyrrell 🇬🇧,1974-07-20,4,+1:07.2,1974,Jody Scheckter 🇿🇦
1974 Canadian Grand Prix 🇨🇦,14,6,80,McLaren 🇬🇧,1974-09-22,2,+13.034,1974,Emerson Fittipaldi 🇧🇷
1974 Dutch Grand Prix 🇳🇱,8,2,75,Ferrari 🇮🇹,1974-06-23,2,+8.25,1974,Niki Lauda 🇦🇹
1974 French Grand Prix 🇫🇷,9,4,80,Team Lotus 🇬🇧,1974-07-07,3,+27.84,1974,Ronnie Peterson 🇸🇪
1974 German Grand Prix 🇩🇪,11,2,14,Ferrari 🇮🇹,1974-08-04,1,1:41:35.0,1974,Clay Regazzoni 🇨🇭
1974 Italian Grand Prix 🇮🇹,13,5,40,Team Lotus 🇬🇧,1974-09-08,R,,1974,Ronnie Peterson 🇸🇪
1974 Monaco Grand Prix 🇲🇨,6,2,78,Team Lotus 🇬🇧,1974-05-26,4,+1:03.1,1974,Ronnie Peterson 🇸🇪
1974 South African Grand Prix 🇿🇦,3,6,65,Brabham 🇬🇧,1974-03-30,R,,1974,Carlos Reutemann 🇦🇷
1974 Spanish Grand Prix 🇪🇸,4,3,84,Ferrari 🇮🇹,1974-04-28,2,+35.61,1974,Niki Lauda 🇦🇹
1974 Swedish Grand Prix 🇸🇪,7,4,24,Tyrrell 🇬🇧,1974-06-09,R,,1974,Jody Scheckter 🇿🇦
1974 United States Grand Prix 🇺🇸,15,9,55,Brabham 🇬🇧,1974-10-06,11,,1974,Carlos Reutemann 🇦🇷
1975 Argentine Grand Prix 🇦🇷,1,7,53,McLaren 🇬🇧,1975-01-12,4,+35.79,1975,Emerson Fittipaldi 🇧🇷
1975 Austrian Grand Prix 🇦🇹,12,5,29,March 🇬🇧,1975-08-17,7,+1:39.07,1975,Vittorio Brambilla 🇮🇹
1975 Belgian Grand Prix 🇧🇪,6,4,70,Ferrari 🇮🇹,1975-05-25,5,+1:03.84,1975,Niki Lauda 🇦🇹
1975 Brazilian Grand Prix 🇧🇷,2,5,40,Brabham 🇬🇧,1975-01-26,4,+43.28,1975,Carlos Pace 🇧🇷
1975 British Grand Prix 🇬🇧,10,4,54,McLaren 🇬🇧,1975-07-19,13,,1975,Emerson Fittipaldi 🇧🇷
1975 Dutch Grand Prix 🇳🇱,8,2,75,Hesketh 🇬🇧,1975-06-22,3,+55.06,1975,James Hunt 🇬🇧
1975 French Grand Prix 🇫🇷,9,9,6,Ferrari 🇮🇹,1975-07-06,R,,1975,Niki Lauda 🇦🇹
1975 German Grand Prix 🇩🇪,11,5,9,Brabham 🇬🇧,1975-08-03,R,,1975,Carlos Reutemann 🇦🇷
