name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2011 Abu Dhabi Grand Prix 🇦🇪,18,10,55,McLaren 🇬🇧,2011-11-13,9,+1:41.087,2011,Lewis Hamilton 🇬🇧
2011 Australian Grand Prix 🇦🇺,1,14,57,Red Bull 🇦🇹,2011-03-27,10,,2011,Sebastian Vettel 🇩🇪
2011 Belgian Grand Prix 🇧🇪,12,17,44,Red Bull 🇦🇹,2011-08-28,11,+1:23.994,2011,Sebastian Vettel 🇩🇪
2011 Brazilian Grand Prix 🇧🇷,19,11,70,Red Bull 🇦🇹,2011-11-27,8,,2011,Mark Webber 🇦🇺
2011 British Grand Prix 🇬🇧,9,6,51,Ferrari 🇮🇹,2011-07-10,15,,2011,Fernando Alonso 🇪🇸
2011 Canadian Grand Prix 🇨🇦,7,11,67,McLaren 🇬🇧,2011-06-12,18,,2011,Jenson Button 🇬🇧
2011 Chinese Grand Prix 🇨🇳,3,8,56,McLaren 🇬🇧,2011-04-17,11,+1:08.757,2011,Lewis Hamilton 🇬🇧
2011 European Grand Prix 🇪🇸,8,12,56,Red Bull 🇦🇹,2011-06-26,14,,2011,Sebastian Vettel 🇩🇪
2011 German Grand Prix 🇩🇪,10,12,59,McLaren 🇬🇧,2011-07-24,13,,2011,Lewis Hamilton 🇬🇧
2011 Hungarian Grand Prix 🇭🇺,11,11,69,McLaren 🇬🇧,2011-07-31,7,,2011,Jenson Button 🇬🇧
2011 Indian Grand Prix 🇮🇳,17,12,59,Red Bull 🇦🇹,2011-10-30,13,,2011,Sebastian Vettel 🇩🇪
2011 Italian Grand Prix 🇮🇹,13,11,52,Red Bull 🇦🇹,2011-09-11,8,,2011,Sebastian Vettel 🇩🇪
2011 Japanese Grand Prix 🇯🇵,15,12,53,McLaren 🇬🇧,2011-10-09,12,+1:02.326,2011,Jenson Button 🇬🇧
2011 Korean Grand Prix 🇰🇷,16,9,55,Red Bull 🇦🇹,2011-10-16,10,+1:08.602,2011,Sebastian Vettel 🇩🇪
2011 Malaysian Grand Prix 🇲🇾,2,14,56,Red Bull 🇦🇹,2011-04-10,10,+1:31.563,2011,Sebastian Vettel 🇩🇪
2011 Monaco Grand Prix 🇲🇨,6,13,76,Red Bull 🇦🇹,2011-05-29,12,,2011,Sebastian Vettel 🇩🇪
2011 Singapore Grand Prix 🇸🇬,14,10,61,Red Bull 🇦🇹,2011-09-25,6,+1:51.067,2011,Sebastian Vettel 🇩🇪
2011 Spanish Grand Prix 🇪🇸,5,16,65,Red Bull 🇦🇹,2011-05-22,12,,2011,Sebastian Vettel 🇩🇪
2011 Turkish Grand Prix 🇹🇷,4,13,44,Red Bull 🇦🇹,2011-05-08,R,,2011,Sebastian Vettel 🇩🇪
2012 Abu Dhabi Grand Prix 🇦🇪,18,12,55,Lotus F1 🇬🇧,2012-11-04,9,+24.160,2012,Kimi Räikkönen 🇫🇮
2012 Australian Grand Prix 🇦🇺,1,15,58,McLaren 🇬🇧,2012-03-18,10,+39.737,2012,Jenson Button 🇬🇧
2012 Bahrain Grand Prix 🇧🇭,4,10,57,Red Bull 🇦🇹,2012-04-22,6,+57.543,2012,Sebastian Vettel 🇩🇪
2012 Belgian Grand Prix 🇧🇪,12,9,44,McLaren 🇬🇧,2012-09-02,10,+63.783,2012,Jenson Button 🇬🇧
2012 Brazilian Grand Prix 🇧🇷,20,10,68,McLaren 🇬🇧,2012-11-25,19,,2012,Jenson Button 🇬🇧
2012 British Grand Prix 🇬🇧,9,10,2,Red Bull 🇦🇹,2012-07-08,R,,2012,Mark Webber 🇦🇺
2012 Canadian Grand Prix 🇨🇦,7,8,70,McLaren 🇬🇧,2012-06-10,11,+37.693,2012,Lewis Hamilton 🇬🇧
2012 Chinese Grand Prix 🇨🇳,3,15,56,Mercedes 🇩🇪,2012-04-15,12,+42.273,2012,Nico Rosberg 🇩🇪
2012 European Grand Prix 🇪🇸,8,10,57,Ferrari 🇮🇹,2012-06-24,7,+22.866,2012,Fernando Alonso 🇪🇸
2012 German Grand Prix 🇩🇪,10,9,67,Ferrari 🇮🇹,2012-07-22,11,+59.227,2012,Fernando Alonso 🇪🇸
2012 Hungarian Grand Prix 🇭🇺,11,12,69,McLaren 🇬🇧,2012-07-29,12,+1:02.887,2012,Lewis Hamilton 🇬🇧
2012 Indian Grand Prix 🇮🇳,17,16,60,Red Bull 🇦🇹,2012-10-28,12,+1:22.815,2012,Sebastian Vettel 🇩🇪
2012 Italian Grand Prix 🇮🇹,13,9,53,McLaren 🇬🇧,2012-09-09,8,+41.057,2012,Lewis Hamilton 🇬🇧
2012 Japanese Grand Prix 🇯🇵,15,11,53,Red Bull 🇦🇹,2012-10-07,12,+83.460,2012,Sebastian Vettel 🇩🇪
2012 Korean Grand Prix 🇰🇷,16,14,55,Red Bull 🇦🇹,2012-10-14,12,+84.448,2012,Sebastian Vettel 🇩🇪
2012 Malaysian Grand Prix 🇲🇾,2,14,56,Ferrari 🇮🇹,2012-03-25,7,+44.412,2012,Fernando Alonso 🇪🇸
2012 Monaco Grand Prix 🇲🇨,6,14,78,Red Bull 🇦🇹,2012-05-27,7,+41.537,2012,Mark Webber 🇦🇺
2012 Singapore Grand Prix 🇸🇬,14,6,59,Red Bull 🇦🇹,2012-09-23,4,+19.063,2012,Sebastian Vettel 🇩🇪
2012 Spanish Grand Prix 🇪🇸,5,12,65,Williams 🇬🇧,2012-05-13,14,,2012,Pastor Maldonado 🇻🇪
2012 United States Grand Prix 🇺🇸,19,13,55,McLaren 🇬🇧,2012-11-18,15,,2012,Lewis Hamilton 🇬🇧
2013 Abu Dhabi Grand Prix 🇦🇪,17,11,55,Red Bull 🇦🇹,2013-11-03,6,+1:18.174,2013,Sebastian Vettel 🇩🇪
2013 Australian Grand Prix 🇦🇺,1,9,58,Lotus F1 🇬🇧,2013-03-17,8,+1:08.449,2013,Kimi Räikkönen 🇫🇮
2013 Bahrain Grand Prix 🇧🇭,4,5,57,Red Bull 🇦🇹,2013-04-21,4,+21.727,2013,Sebastian Vettel 🇩🇪
2013 Belgian Grand Prix 🇧🇪,11,5,26,Red Bull 🇦🇹,2013-08-25,R,,2013,Sebastian Vettel 🇩🇪
2013 Brazilian Grand Prix 🇧🇷,19,12,70,Red Bull 🇦🇹,2013-11-24,11,,2013,Sebastian Vettel 🇩🇪
2013 British Grand Prix 🇬🇧,8,21,52,Mercedes 🇩🇪,2013-06-30,9,+17.943,2013,Nico Rosberg 🇩🇪
2013 Canadian Grand Prix 🇨🇦,7,17,69,Red Bull 🇦🇹,2013-06-09,7,,2013,Sebastian Vettel 🇩🇪
2013 Chinese Grand Prix 🇨🇳,3,11,56,Ferrari 🇮🇹,2013-04-14,8,+51.084,2013,Fernando Alonso 🇪🇸
2013 German Grand Prix 🇩🇪,9,12,60,Red Bull 🇦🇹,2013-07-07,11,+53.771,2013,Sebastian Vettel 🇩🇪
2013 Hungarian Grand Prix 🇭🇺,10,18,66,Mercedes 🇩🇪,2013-07-28,18,,2013,Lewis Hamilton 🇬🇧
2013 Indian Grand Prix 🇮🇳,16,12,60,Red Bull 🇦🇹,2013-10-27,8,+1:12.868,2013,Sebastian Vettel 🇩🇪
2013 Italian Grand Prix 🇮🇹,12,15,0,Red Bull 🇦🇹,2013-09-08,R,,2013,Sebastian Vettel 🇩🇪
2013 Japanese Grand Prix 🇯🇵,15,12,53,Red Bull 🇦🇹,2013-10-13,11,+1:38.572,2013,Sebastian Vettel 🇩🇪
2013 Korean Grand Prix 🇰🇷,14,15,24,Red Bull 🇦🇹,2013-10-06,R,,2013,Sebastian Vettel 🇩🇪
2013 Malaysian Grand Prix 🇲🇾,2,15,22,Red Bull 🇦🇹,2013-03-24,R,,2013,Sebastian Vettel 🇩🇪
2013 Monaco Grand Prix 🇲🇨,6,17,78,Mercedes 🇩🇪,2013-05-26,9,+27.608,2013,Nico Rosberg 🇩🇪
2013 Singapore Grand Prix 🇸🇬,13,17,54,Red Bull 🇦🇹,2013-09-22,20,,2013,Sebastian Vettel 🇩🇪
2013 Spanish Grand Prix 🇪🇸,5,10,66,Ferrari 🇮🇹,2013-05-12,7,+1:08.988,2013,Fernando Alonso 🇪🇸
2013 United States Grand Prix 🇺🇸,18,11,56,Red Bull 🇦🇹,2013-11-17,16,+1:36.853,2013,Sebastian Vettel 🇩🇪
