name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1976 United States Grand Prix 🇺🇸,15,22,57,McLaren 🇬🇧,1976-10-10,12,,1976,James Hunt 🇬🇧
1977 Argentine Grand Prix 🇦🇷,1,20,39,Wolf 🇨🇦,1977-01-09,R,,1977,Jody Scheckter 🇿🇦
1977 Austrian Grand Prix 🇦🇹,12,0,0,Shadow 🇬🇧,1977-08-14,F,,1977,Alan Jones 🇦🇺
1977 Belgian Grand Prix 🇧🇪,7,0,0,Team Lotus 🇬🇧,1977-06-05,F,,1977,Gunnar Nilsson 🇸🇪
1977 Brazilian Grand Prix 🇧🇷,2,21,16,Ferrari 🇮🇹,1977-01-23,R,,1977,Carlos Reutemann 🇦🇷
1977 British Grand Prix 🇬🇧,10,0,0,McLaren 🇬🇧,1977-07-16,F,,1977,James Hunt 🇬🇧
1977 Canadian Grand Prix 🇨🇦,16,23,78,Wolf 🇨🇦,1977-10-09,8,,1977,Jody Scheckter 🇿🇦
1977 Dutch Grand Prix 🇳🇱,13,24,72,Ferrari 🇮🇹,1977-08-28,11,,1977,Niki Lauda 🇦🇹
1977 French Grand Prix 🇫🇷,9,0,0,Team Lotus 🇬🇧,1977-07-03,F,,1977,Mario Andretti 🇺🇸
1977 German Grand Prix 🇩🇪,11,20,46,Ferrari 🇮🇹,1977-07-31,8,,1977,Niki Lauda 🇦🇹
1977 Italian Grand Prix 🇮🇹,14,0,0,Team Lotus 🇬🇧,1977-09-11,F,,1977,Mario Andretti 🇺🇸
1977 Japanese Grand Prix 🇯🇵,17,23,69,McLaren 🇬🇧,1977-10-23,12,,1977,James Hunt 🇬🇧
1977 Monaco Grand Prix 🇲🇨,6,0,0,Wolf 🇨🇦,1977-05-22,F,,1977,Jody Scheckter 🇿🇦
1977 South African Grand Prix 🇿🇦,3,17,66,Ferrari 🇮🇹,1977-03-05,R,,1977,Niki Lauda 🇦🇹
1977 Spanish Grand Prix 🇪🇸,5,0,0,Team Lotus 🇬🇧,1977-05-08,F,,1977,Mario Andretti 🇺🇸
1977 Swedish Grand Prix 🇸🇪,8,0,0,Ligier 🇫🇷,1977-06-19,F,,1977,Jacques Laffite 🇫🇷
1977 United States Grand Prix West 🇺🇸,4,22,15,Team Lotus 🇬🇧,1977-04-03,R,,1977,Mario Andretti 🇺🇸
1977 United States Grand Prix 🇺🇸,15,23,56,McLaren 🇬🇧,1977-10-02,15,,1977,James Hunt 🇬🇧
1979 Canadian Grand Prix 🇨🇦,14,0,0,Williams 🇬🇧,1979-09-30,F,,1979,Alan Jones 🇦🇺
1979 United States Grand Prix 🇺🇸,15,0,0,Ferrari 🇮🇹,1979-10-07,F,,1979,Gilles Villeneuve 🇨🇦
