name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1961 Italian Grand Prix 🇮🇹,1,2,1961-09-10T00:00:00.000Z,R,1961,Phil Hill 🇺🇸,Ferrari 🇮🇹,7,4,13,,0.0
1961 Italian Grand Prix 🇮🇹,R,2,1961-09-10T00:00:00.000Z,R,1961,Richie Ginther 🇺🇸,Ferrari 🇮🇹,7,3,13,,0.0
1961 Italian Grand Prix 🇮🇹,R,2,1961-09-10T00:00:00.000Z,R,1961,Giancarlo Baghetti 🇮🇹,Ferrari 🇮🇹,7,6,13,,0.0
1961 Italian Grand Prix 🇮🇹,R,2,1961-09-10T00:00:00.000Z,R,1961,Wolfgang von Trips 🇩🇪,Ferrari 🇮🇹,7,1,13,,0.0
1962 Belgian Grand Prix 🇧🇪,3,7,1962-06-17T00:00:00.000Z,4,1962,Phil Hill 🇺🇸,Ferrari 🇮🇹,3,4,32,+2:06.6,3.0
1962 Belgian Grand Prix 🇧🇪,R,7,1962-06-17T00:00:00.000Z,4,1962,Willy Mairesse 🇧🇪,Ferrari 🇮🇹,3,6,32,+2:06.6,3.0
1962 Belgian Grand Prix 🇧🇪,R,7,1962-06-17T00:00:00.000Z,4,1962,Giancarlo Baghetti 🇮🇹,Ferrari 🇮🇹,3,14,32,+2:06.6,3.0
1962 Dutch Grand Prix 🇳🇱,3,11,1962-05-20T00:00:00.000Z,R,1962,Phil Hill 🇺🇸,Ferrari 🇮🇹,1,9,73,,0.0
1962 Dutch Grand Prix 🇳🇱,4,11,1962-05-20T00:00:00.000Z,R,1962,Giancarlo Baghetti 🇮🇹,Ferrari 🇮🇹,1,12,73,,0.0
1962 German Grand Prix 🇩🇪,10,10,1962-08-05T00:00:00.000Z,6,1962,Giancarlo Baghetti 🇮🇹,Ferrari 🇮🇹,6,13,15,+1:23.8,1.0
1962 German Grand Prix 🇩🇪,R,10,1962-08-05T00:00:00.000Z,6,1962,Phil Hill 🇺🇸,Ferrari 🇮🇹,6,12,15,+1:23.8,1.0
1962 German Grand Prix 🇩🇪,R,10,1962-08-05T00:00:00.000Z,6,1962,Lorenzo Bandini 🇮🇹,Ferrari 🇮🇹,6,18,15,+1:23.8,1.0
1962 Italian Grand Prix 🇮🇹,4,11,1962-09-16T00:00:00.000Z,14,1962,Willy Mairesse 🇧🇪,Ferrari 🇮🇹,7,10,63,,0.0
1962 Italian Grand Prix 🇮🇹,5,11,1962-09-16T00:00:00.000Z,14,1962,Giancarlo Baghetti 🇮🇹,Ferrari 🇮🇹,7,18,63,,0.0
1962 Italian Grand Prix 🇮🇹,8,11,1962-09-16T00:00:00.000Z,14,1962,Lorenzo Bandini 🇮🇹,Ferrari 🇮🇹,7,17,63,,0.0
1962 Italian Grand Prix 🇮🇹,11,11,1962-09-16T00:00:00.000Z,14,1962,Phil Hill 🇺🇸,Ferrari 🇮🇹,7,15,63,,0.0
1962 Monaco Grand Prix 🇲🇨,2,0,1962-06-03T00:00:00.000Z,W,1962,Phil Hill 🇺🇸,Ferrari 🇮🇹,2,9,0,,0.0
1962 Monaco Grand Prix 🇲🇨,3,0,1962-06-03T00:00:00.000Z,W,1962,Lorenzo Bandini 🇮🇹,Ferrari 🇮🇹,2,10,0,,0.0
1962 Monaco Grand Prix 🇲🇨,7,0,1962-06-03T00:00:00.000Z,W,1962,Willy Mairesse 🇧🇪,Ferrari 🇮🇹,2,4,0,,0.0
