name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1964 Austrian Grand Prix 🇦🇹,R,13,1964-08-23,R,1964,Jo Siffert 🇨🇭,Brabham-BRM 🇬🇧,7,12,58,,0.0
1965 Belgian Grand Prix 🇧🇪,3,14,1965-06-13,11,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,3,9,29,,0.0
1965 British Grand Prix 🇬🇧,R,12,1965-07-10,14,1965,John Rhodes 🇬🇧,Cooper-Climax 🇬🇧,5,21,62,,0.0
1965 British Grand Prix 🇬🇧,10,12,1965-07-10,14,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,5,11,62,,0.0
1965 Dutch Grand Prix 🇳🇱,R,14,1965-07-18,R,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,6,9,48,,0.0
1965 French Grand Prix 🇫🇷,R,12,1965-06-27,R,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,4,9,3,,0.0
1965 German Grand Prix 🇩🇪,R,8,1965-08-01,4,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,7,10,15,+3:29.6,3.0
1965 Italian Grand Prix 🇮🇹,5,7,1965-09-12,8,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,8,11,74,,0.0
1965 Mexican Grand Prix 🇲🇽,R,16,1965-10-24,R,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,10,15,39,,0.0
1965 Monaco Grand Prix 🇲🇨,5,0,1965-05-30,F,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,2,7,0,,0.0
1965 South African Grand Prix 🇿🇦,5,10,1965-01-01,R,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,1,8,39,,0.0
1965 South African Grand Prix 🇿🇦,W,10,1965-01-01,R,1965,Alex Blignaut 🇿🇦,Cooper-Climax 🇬🇧,1,0,39,,0.0
1965 South African Grand Prix 🇿🇦,R,10,1965-01-01,R,1965,John Love 🇿🇼,Cooper-Climax 🇬🇧,1,18,39,,0.0
1965 United States Grand Prix 🇺🇸,R,13,1965-10-03,6,1965,Bruce McLaren 🇳🇿,Cooper-Climax 🇬🇧,9,2,108,,1.0
1966 Belgian Grand Prix 🇧🇪,5,2,1966-06-12,2,1966,Richie Ginther 🇺🇸,Cooper-Maserati 🇬🇧,2,8,28,+42.1,6.0
1966 Belgian Grand Prix 🇧🇪,R,2,1966-06-12,2,1966,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,2,14,28,+42.1,6.0
1966 Belgian Grand Prix 🇧🇪,R,2,1966-06-12,2,1966,Jo Bonnier 🇸🇪,Cooper-Maserati 🇬🇧,2,6,28,+42.1,6.0
1966 Belgian Grand Prix 🇧🇪,N,2,1966-06-12,2,1966,Guy Ligier 🇫🇷,Cooper-Maserati 🇬🇧,2,12,28,+42.1,6.0
1966 British Grand Prix 🇬🇧,R,7,1966-07-16,5,1966,John Surtees 🇬🇧,Cooper-Maserati 🇬🇧,4,6,79,,2.0
1966 British Grand Prix 🇬🇧,N,7,1966-07-16,5,1966,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,4,11,79,,2.0
1966 British Grand Prix 🇬🇧,10,7,1966-07-16,5,1966,Guy Ligier 🇫🇷,Cooper-Maserati 🇬🇧,4,17,79,,2.0
1966 Dutch Grand Prix 🇳🇱,7,6,1966-07-24,R,1966,Jo Bonnier 🇸🇪,Cooper-Maserati 🇬🇧,5,13,2,,0.0
1966 Dutch Grand Prix 🇳🇱,9,6,1966-07-24,R,1966,Guy Ligier 🇫🇷,Cooper-Maserati 🇬🇧,5,16,2,,0.0
1966 Dutch Grand Prix 🇳🇱,R,6,1966-07-24,R,1966,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,5,11,2,,0.0
1966 Dutch Grand Prix 🇳🇱,R,6,1966-07-24,R,1966,John Surtees 🇬🇧,Cooper-Maserati 🇬🇧,5,10,2,,0.0
1966 French Grand Prix 🇫🇷,N,5,1966-07-03,4,1966,Guy Ligier 🇫🇷,Cooper-Maserati 🇬🇧,3,11,46,,3.0
1966 French Grand Prix 🇫🇷,R,5,1966-07-03,4,1966,John Surtees 🇬🇧,Cooper-Maserati 🇬🇧,3,2,46,,3.0
1966 French Grand Prix 🇫🇷,8,5,1966-07-03,4,1966,Chris Amon 🇳🇿,Cooper-Maserati 🇬🇧,3,7,46,,3.0
