name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 French Grand Prix 🇫🇷,R,7,1950-07-02T00:00:00.000Z,R,1950,José Froilán González 🇦🇷,Maserati 🇮🇹,6,8,6,,0.0
1950 French Grand Prix 🇫🇷,R,7,1950-07-02T00:00:00.000Z,R,1950,David Hampshire 🇬🇧,Maserati 🇮🇹,6,17,6,,0.0
1950 French Grand Prix 🇫🇷,R,7,1950-07-02T00:00:00.000Z,R,1950,Louis Chiron 🇲🇨,Maserati 🇮🇹,6,13,6,,0.0
1950 French Grand Prix 🇫🇷,R,7,1950-07-02T00:00:00.000Z,R,1950,Reg Parnell 🇬🇧,Maserati 🇮🇹,6,11,6,,0.0
1950 French Grand Prix 🇫🇷,R,7,1950-07-02T00:00:00.000Z,R,1950,Felice Bonetto 🇮🇹,Maserati 🇮🇹,6,10,6,,0.0
1950 Italian Grand Prix 🇮🇹,R,9,1950-09-03T00:00:00.000Z,R,1950,Prince Bira 🇹🇭,Maserati 🇮🇹,7,15,39,,0.0
1950 Italian Grand Prix 🇮🇹,R,9,1950-09-03T00:00:00.000Z,R,1950,Paul Pietsch 🇩🇪,Maserati 🇮🇹,7,27,39,,0.0
1950 Italian Grand Prix 🇮🇹,6,9,1950-09-03T00:00:00.000Z,R,1950,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,7,17,39,,0.0
1950 Italian Grand Prix 🇮🇹,R,9,1950-09-03T00:00:00.000Z,R,1950,David Murray 🇬🇧,Maserati 🇮🇹,7,24,39,,0.0
1950 Italian Grand Prix 🇮🇹,R,9,1950-09-03T00:00:00.000Z,R,1950,Franco Comotti 🇮🇹,Maserati 🇮🇹,7,26,39,,0.0
1950 Italian Grand Prix 🇮🇹,R,9,1950-09-03T00:00:00.000Z,R,1950,Louis Chiron 🇲🇨,Maserati 🇮🇹,7,19,39,,0.0
1950 Monaco Grand Prix 🇲🇨,W,17,1950-05-21T00:00:00.000Z,R,1950,Alfredo Pián 🇦🇷,Maserati 🇮🇹,2,18,0,,0.0
1950 Monaco Grand Prix 🇲🇨,3,17,1950-05-21T00:00:00.000Z,R,1950,Louis Chiron 🇲🇨,Maserati 🇮🇹,2,8,0,,0.0
1950 Monaco Grand Prix 🇲🇨,5,17,1950-05-21T00:00:00.000Z,R,1950,Prince Bira 🇹🇭,Maserati 🇮🇹,2,15,0,,0.0
1950 Monaco Grand Prix 🇲🇨,R,17,1950-05-21T00:00:00.000Z,R,1950,José Froilán González 🇦🇷,Maserati 🇮🇹,2,3,0,,0.0
1950 Monaco Grand Prix 🇲🇨,R,17,1950-05-21T00:00:00.000Z,R,1950,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,2,12,0,,0.0
1952 Italian Grand Prix 🇮🇹,F,16,1952-09-07T00:00:00.000Z,R,1952,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,8,0,24,,0.0
1952 Italian Grand Prix 🇮🇹,F,16,1952-09-07T00:00:00.000Z,R,1952,Alberto Crespo 🇦🇷,Maserati 🇮🇹,8,0,24,,0.0
1952 Italian Grand Prix 🇮🇹,R,16,1952-09-07T00:00:00.000Z,R,1952,Gino Bianco 🇧🇷,Maserati 🇮🇹,8,25,24,,0.0
1952 Italian Grand Prix 🇮🇹,11,16,1952-09-07T00:00:00.000Z,R,1952,Eitel Cantoni 🇺🇾,Maserati 🇮🇹,8,23,24,,0.0
1952 Italian Grand Prix 🇮🇹,8,16,1952-09-07T00:00:00.000Z,R,1952,Chico Landi 🇧🇷,Maserati 🇮🇹,8,18,24,,0.0
1952 Italian Grand Prix 🇮🇹,5,16,1952-09-07T00:00:00.000Z,R,1952,Felice Bonetto 🇮🇹,Maserati 🇮🇹,8,13,24,,0.0
1952 Italian Grand Prix 🇮🇹,2,16,1952-09-07T00:00:00.000Z,R,1952,José Froilán González 🇦🇷,Maserati 🇮🇹,8,5,24,,0.0
