name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1999 Australian Grand Prix 🇦🇺,7,18,1999-03-07,6,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,1,17,57,+1:24.317,1.0
1999 Austrian Grand Prix 🇦🇹,R,21,1999-07-25,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,9,20,38,,0.0
1999 Belgian Grand Prix 🇧🇪,R,22,1999-08-29,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,12,19,35,,0.0
1999 Brazilian Grand Prix 🇧🇷,8,17,1999-04-11,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,2,19,52,,0.0
1999 British Grand Prix 🇬🇧,16,20,1999-07-11,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,8,19,0,,0.0
1999 Canadian Grand Prix 🇨🇦,R,20,1999-06-13,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,6,19,22,,0.0
1999 European Grand Prix 🇩🇪,R,22,1999-09-26,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,14,21,52,,0.0
1999 French Grand Prix 🇫🇷,D,21,1999-06-27,11,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,7,22,71,,0.0
1999 German Grand Prix 🇩🇪,R,20,1999-08-01,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,10,22,37,,0.0
1999 Hungarian Grand Prix 🇭🇺,R,20,1999-08-15,15,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,11,21,75,,0.0
1999 Italian Grand Prix 🇮🇹,R,21,1999-09-12,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,13,22,35,,0.0
1999 Japanese Grand Prix 🇯🇵,R,21,1999-10-31,13,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,16,19,51,,0.0
1999 Malaysian Grand Prix 🇲🇾,R,20,1999-10-17,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,15,22,30,,0.0
1999 Monaco Grand Prix 🇲🇨,R,21,1999-05-16,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,4,19,30,,0.0
1999 San Marino Grand Prix 🇮🇹,R,18,1999-05-02,R,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,3,20,5,,0.0
1999 Spanish Grand Prix 🇪🇸,12,19,1999-05-30,11,1999,Toranosuke Takagi 🇯🇵,Arrows 🇬🇧,5,20,63,,0.0
2000 Australian Grand Prix 🇦🇺,R,12,2000-03-12,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,1,13,6,,0.0
2000 Austrian Grand Prix 🇦🇹,R,12,2000-07-16,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,10,10,32,,0.0
2000 Belgian Grand Prix 🇧🇪,15,16,2000-08-27,16,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,13,20,42,,0.0
2000 Brazilian Grand Prix 🇧🇷,7,16,2000-03-26,8,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,2,14,70,,0.0
2000 British Grand Prix 🇬🇧,R,19,2000-04-23,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,4,8,26,,0.0
2000 Canadian Grand Prix 🇨🇦,5,9,2000-06-18,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,8,13,48,,0.0
2000 European Grand Prix 🇩🇪,R,12,2000-05-21,6,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,6,13,66,,1.0
2000 French Grand Prix 🇫🇷,R,13,2000-07-02,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,9,20,45,,0.0
2000 German Grand Prix 🇩🇪,R,5,2000-07-30,6,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,11,11,45,+29.080,1.0
2000 Hungarian Grand Prix 🇭🇺,13,15,2000-08-13,16,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,12,20,73,,0.0
2000 Italian Grand Prix 🇮🇹,4,10,2000-09-10,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,14,11,0,,0.0
2000 Japanese Grand Prix 🇯🇵,R,13,2000-10-08,12,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,16,14,52,,0.0
2000 Malaysian Grand Prix 🇲🇾,10,14,2000-10-22,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,17,15,0,,0.0
2000 Monaco Grand Prix 🇲🇨,R,16,2000-06-04,R,2000,Jos Verstappen 🇳🇱,Arrows 🇬🇧,7,15,0,,0.0
