name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1986 Australian Grand Prix 🇦🇺,9,23,1986-10-26T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,16,21,29,,0.0
1986 Austrian Grand Prix 🇦🇹,R,24,1986-08-17T00:00:00.000Z,8,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,12,21,48,,0.0
1986 Belgian Grand Prix 🇧🇪,13,23,1986-05-25T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,5,20,25,,0.0
1986 British Grand Prix 🇬🇧,9,25,1986-07-13T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,9,22,24,,0.0
1986 Canadian Grand Prix 🇨🇦,R,24,1986-06-15T00:00:00.000Z,12,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,6,22,63,,0.0
1986 Detroit Grand Prix 🇺🇸,8,26,1986-06-22T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,7,20,0,,0.0
1986 French Grand Prix 🇫🇷,R,24,1986-07-06T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,8,22,32,,0.0
1986 German Grand Prix 🇩🇪,R,24,1986-07-27T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,10,16,38,,0.0
1986 Hungarian Grand Prix 🇭🇺,10,25,1986-08-10T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,11,24,2,,0.0
1986 Italian Grand Prix 🇮🇹,R,24,1986-09-07T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,13,22,1,,0.0
1986 Monaco Grand Prix 🇲🇨,12,0,1986-05-11T00:00:00.000Z,F,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,4,19,0,,0.0
1986 Portuguese Grand Prix 🇵🇹,12,26,1986-09-21T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,14,20,9,,0.0
1986 San Marino Grand Prix 🇮🇹,R,24,1986-04-27T00:00:00.000Z,R,1986,Jonathan Palmer 🇬🇧,Zakspeed 🇩🇪,3,20,7,,0.0
